attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767772000,1170596,medium_user_01,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,214.43510624781104,
2,1767772000.214435,1170596,medium_user_01,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,263.6888390198407,
3,1767772000.478124,1170596,medium_user_01,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,258.1463373039655,
4,1767772000.7362702,1170596,medium_user_01,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,248.86988685516855,
5,1767772000.98514,1170596,medium_user_01,password_5,unknown,ARGON2ID,False,True,False,False,False,401,False,208.3955803121555,
7,1767772301.98514,1170596,medium_user_01,password_7,unknown,ARGON2ID,False,True,False,False,False,401,False,288.9579392422686,
8,1767772302.274098,1170596,medium_user_01,password_8,unknown,ARGON2ID,False,True,False,False,False,401,False,286.8115328164765,
9,1767772302.5609095,1170596,medium_user_01,password_9,unknown,ARGON2ID,False,True,False,False,False,401,False,271.03636687241334,
10,1767772302.831946,1170596,medium_user_01,password_10,unknown,ARGON2ID,False,True,False,False,False,401,False,287.1622551848181,
11,1767772303.1191082,1170596,medium_user_01,password_11,unknown,ARGON2ID,False,True,False,False,False,401,False,219.127549071534,
13,1767772604.1191082,1170596,medium_user_01,password_13,unknown,ARGON2ID,False,True,False,False,False,401,False,255.01681180433337,
14,1767772604.374125,1170596,medium_user_01,password_14,unknown,ARGON2ID,False,True,False,False,False,401,False,235.86427740111967,
15,1767772604.6099892,1170596,medium_user_01,password_15,unknown,ARGON2ID,False,True,False,False,False,401,False,240.8328740467235,
16,1767772604.850822,1170596,medium_user_01,password_16,unknown,ARGON2ID,False,True,False,False,False,401,False,209.60454245337834,
17,1767772605.0604265,1170596,medium_user_01,password_17,unknown,ARGON2ID,False,True,False,False,False,401,False,282.37407839723437,
19,1767772906.0604265,1170596,medium_user_01,password_19,unknown,ARGON2ID,False,True,False,False,False,401,False,297.1863280554712,
20,1767772906.3576128,1170596,medium_user_01,password_20,unknown,ARGON2ID,False,True,False,False,False,401,False,295.5365185986913,
21,1767772906.6531494,1170596,medium_user_01,password_21,unknown,ARGON2ID,False,True,False,False,False,401,False,242.29405269375198,
22,1767772906.8954434,1170596,medium_user_01,password_22,unknown,ARGON2ID,False,True,False,False,False,401,False,225.40415529267057,
23,1767772907.1208477,1170596,medium_user_01,password_23,unknown,ARGON2ID,False,True,False,False,False,401,False,292.1855076421856,
25,1767773208.1208477,1170596,medium_user_01,password_25,unknown,ARGON2ID,False,True,False,False,False,401,False,233.03110625785686,
26,1767773208.3538787,1170596,medium_user_01,password_26,unknown,ARGON2ID,False,True,False,False,False,401,False,211.99184783682256,
27,1767773208.5658705,1170596,medium_user_01,password_27,unknown,ARGON2ID,False,True,False,False,False,401,False,249.30421650494037,
28,1767773208.8151748,1170596,medium_user_01,password_28,unknown,ARGON2ID,False,True,False,False,False,401,False,229.01006349204195,
29,1767773209.044185,1170596,medium_user_01,password_29,unknown,ARGON2ID,False,True,False,False,False,401,False,203.68044284768652,
31,1767773510.044185,1170596,medium_user_01,password_31,unknown,ARGON2ID,False,True,False,False,False,401,False,290.3144020159074,
32,1767773510.3344994,1170596,medium_user_01,password_32,unknown,ARGON2ID,False,True,False,False,False,401,False,278.4686828634782,
33,1767773510.612968,1170596,medium_user_01,password_33,unknown,ARGON2ID,False,True,False,False,False,401,False,221.3996560771579,
34,1767773510.8343675,1170596,medium_user_01,password_34,unknown,ARGON2ID,False,True,False,False,False,401,False,286.20690948920077,
35,1767773511.1205745,1170596,medium_user_01,password_35,unknown,ARGON2ID,False,True,False,False,False,401,False,266.92545991235284,
37,1767773812.1205745,1170596,medium_user_01,password_37,unknown,ARGON2ID,False,True,False,False,False,401,False,293.5182601337668,
38,1767773812.4140928,1170596,medium_user_01,password_38,unknown,ARGON2ID,False,True,False,False,False,401,False,226.0818655257124,
39,1767773812.6401746,1170596,medium_user_01,password_39,unknown,ARGON2ID,False,True,False,False,False,401,False,231.55277058635707,
40,1767773812.8717275,1170596,medium_user_01,password_40,unknown,ARGON2ID,False,True,False,False,False,401,False,280.3705943832623,
41,1767773813.1520982,1170596,medium_user_01,password_41,unknown,ARGON2ID,False,True,False,False,False,401,False,211.92758692940652,
43,1767774114.1520982,1170596,medium_user_01,password_43,unknown,ARGON2ID,False,True,False,False,False,401,False,248.0427659034643,
44,1767774114.400141,1170596,medium_user_01,password_44,unknown,ARGON2ID,False,True,False,False,False,401,False,273.7580421422512,
45,1767774114.673899,1170596,medium_user_01,password_45,unknown,ARGON2ID,False,True,False,False,False,401,False,292.9762339809065,
46,1767774114.966875,1170596,medium_user_01,password_46,unknown,ARGON2ID,False,True,False,False,False,401,False,289.2679996900869,
47,1767774115.256143,1170596,medium_user_01,password_47,unknown,ARGON2ID,False,True,False,False,False,401,False,290.94564490119706,
49,1767774416.256143,1170596,medium_user_01,password_49,unknown,ARGON2ID,False,True,False,False,False,401,False,270.2858563242782,
50,1767774416.526429,1170596,medium_user_01,password_50,unknown,ARGON2ID,False,True,False,False,False,401,False,215.94432756020495,
51,1767774416.7423732,1170596,medium_user_01,password_51,unknown,ARGON2ID,False,True,False,False,False,401,False,217.39366063716324,
52,1767774416.9597669,1170596,medium_user_01,password_52,unknown,ARGON2ID,False,True,False,False,False,401,False,266.7440805749319,
53,1767774417.226511,1170596,medium_user_01,password_53,unknown,ARGON2ID,False,True,False,False,False,401,False,210.4212699430696,
55,1767774718.226511,1170596,medium_user_01,password_55,unknown,ARGON2ID,False,True,False,False,False,401,False,209.14257622613394,
56,1767774718.4356537,1170596,medium_user_01,password_56,unknown,ARGON2ID,False,True,False,False,False,401,False,232.44064260650543,
57,1767774718.6680944,1170596,medium_user_01,password_57,unknown,ARGON2ID,False,True,False,False,False,401,False,230.8583788495414,
58,1767774718.8989527,1170596,medium_user_01,password_58,unknown,ARGON2ID,False,True,False,False,False,401,False,297.88390259577193,
59,1767774719.1968367,1170596,medium_user_01,password_59,unknown,ARGON2ID,False,True,False,False,False,401,False,272.25287327582345,
61,1767775020.1968367,1170596,medium_user_01,password_61,unknown,ARGON2ID,False,True,False,False,False,401,False,262.27004648340875,
62,1767775020.4591067,1170596,medium_user_01,password_62,unknown,ARGON2ID,False,True,False,False,False,401,False,298.7927174540731,
63,1767775020.7578993,1170596,medium_user_01,password_63,unknown,ARGON2ID,False,True,False,False,False,401,False,204.71379432687004,
64,1767775020.962613,1170596,medium_user_01,password_64,unknown,ARGON2ID,False,True,False,False,False,401,False,266.4699183490331,
65,1767775021.229083,1170596,medium_user_01,password_65,unknown,ARGON2ID,False,True,False,False,False,401,False,276.437608207318,
67,1767775322.229083,1170596,medium_user_01,password_67,unknown,ARGON2ID,False,True,False,False,False,401,False,253.56069784246557,
68,1767775322.4826438,1170596,medium_user_01,password_68,unknown,ARGON2ID,False,True,False,False,False,401,False,286.11100327137297,
69,1767775322.768755,1170596,medium_user_01,password_69,unknown,ARGON2ID,False,True,False,False,False,401,False,281.3403269295344,
70,1767775323.0500953,1170596,medium_user_01,password_70,unknown,ARGON2ID,False,True,False,False,False,401,False,263.5195711950741,
71,1767775323.3136148,1170596,medium_user_01,password_71,unknown,ARGON2ID,False,True,False,False,False,401,False,275.75655319978296,
73,1767775624.3136148,1170596,medium_user_01,password_73,unknown,ARGON2ID,False,True,False,False,False,401,False,258.41820712566056,
74,1767775624.5720332,1170596,medium_user_01,password_74,unknown,ARGON2ID,False,True,False,False,False,401,False,223.1426805728205,
75,1767775624.7951758,1170596,medium_user_01,password_75,unknown,ARGON2ID,False,True,False,False,False,401,False,218.11088877221312,
76,1767775625.0132866,1170596,medium_user_01,password_76,unknown,ARGON2ID,False,True,False,False,False,401,False,268.8440451286494,
77,1767775625.2821307,1170596,medium_user_01,password_77,unknown,ARGON2ID,False,True,False,False,False,401,False,223.5466675093221,
79,1767775926.2821307,1170596,medium_user_01,password_79,unknown,ARGON2ID,False,True,False,False,False,401,False,245.58277673300626,
80,1767775926.5277135,1170596,medium_user_01,password_80,unknown,ARGON2ID,False,True,False,False,False,401,False,237.3413541809459,
81,1767775926.765055,1170596,medium_user_01,password_81,unknown,ARGON2ID,False,True,False,False,False,401,False,298.78101712857523,
82,1767775927.0638359,1170596,medium_user_01,password_82,unknown,ARGON2ID,False,True,False,False,False,401,False,234.59841648792457,
83,1767775927.2984343,1170596,medium_user_01,password_83,unknown,ARGON2ID,False,True,False,False,False,401,False,248.63184382347055,
85,1767776228.2984343,1170596,medium_user_01,password_85,unknown,ARGON2ID,False,True,False,False,False,401,False,299.546118349145,
86,1767776228.5979803,1170596,medium_user_01,password_86,unknown,ARGON2ID,False,True,False,False,False,401,False,275.51022370592773,
87,1767776228.8734906,1170596,medium_user_01,password_87,unknown,ARGON2ID,False,True,False,False,False,401,False,248.21112929935097,
