attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767770000,1170596,medium_user_01,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,280.01745481480856,
2,1767770000.2800174,1170596,medium_user_01,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,260.0681003761131,
3,1767770000.5400856,1170596,medium_user_01,password_3,unknown,ARGON2ID,False,False,False,False,False,401,False,206.558750975346,
4,1767770000.7466443,1170596,medium_user_01,password_4,unknown,ARGON2ID,False,False,False,False,False,401,False,233.99975028841877,
5,1767770000.980644,1170596,medium_user_01,password_5,unknown,ARGON2ID,False,False,False,False,False,401,False,272.0550643940244,
6,1767770001.2526991,1170596,medium_user_01,password_6,unknown,ARGON2ID,False,False,False,False,False,401,False,231.55036628244133,
7,1767770001.4842496,1170596,medium_user_01,password_7,unknown,ARGON2ID,False,False,False,False,False,401,False,223.0270360193237,
8,1767770001.7072766,1170596,medium_user_01,password_8,unknown,ARGON2ID,False,False,False,False,False,401,False,263.7269646474599,
9,1767770001.9710035,1170596,medium_user_01,password_9,unknown,ARGON2ID,False,False,False,False,False,401,False,295.29097978239827,
10,1767770002.2662945,1170596,medium_user_01,password_10,unknown,ARGON2ID,False,False,False,False,False,401,False,200.06044433503905,
11,1767770002.4663548,1170596,medium_user_01,password_11,unknown,ARGON2ID,False,False,False,False,False,401,False,281.37183526360695,
12,1767770002.7477267,1170596,medium_user_01,password_12,unknown,ARGON2ID,False,False,False,False,False,401,False,228.71755919324386,
13,1767770002.9764442,1170596,medium_user_01,password_13,unknown,ARGON2ID,False,False,False,False,False,401,False,212.69919664211125,
14,1767770003.1891434,1170596,medium_user_01,password_14,unknown,ARGON2ID,False,False,False,False,False,401,False,242.86033689413745,
15,1767770003.4320037,1170596,medium_user_01,password_15,unknown,ARGON2ID,False,False,False,False,False,401,False,282.4212807280911,
16,1767770003.714425,1170596,medium_user_01,password_16,unknown,ARGON2ID,False,False,False,False,False,401,False,297.56305750647823,
17,1767770004.0119882,1170596,medium_user_01,password_17,unknown,ARGON2ID,False,False,False,False,False,401,False,285.32713597278524,
18,1767770004.2973154,1170596,medium_user_01,password_18,unknown,ARGON2ID,False,False,False,False,False,401,False,283.8985738301844,
19,1767770004.581214,1170596,medium_user_01,password_19,unknown,ARGON2ID,False,False,False,False,False,401,False,266.3010860333061,
20,1767770004.847515,1170596,medium_user_01,password_20,unknown,ARGON2ID,False,False,False,False,False,401,False,234.1771769878436,
21,1767770005.0816922,1170596,medium_user_01,password_21,unknown,ARGON2ID,False,False,False,False,False,401,False,270.97898715416056,
22,1767770005.3526711,1170596,medium_user_01,password_22,unknown,ARGON2ID,False,False,False,False,False,401,False,290.7021855680688,
23,1767770005.6433733,1170596,medium_user_01,password_23,unknown,ARGON2ID,False,False,False,False,False,401,False,201.32493424592505,
24,1767770005.8446982,1170596,medium_user_01,password_24,unknown,ARGON2ID,False,False,False,False,False,401,False,211.10955569585343,
25,1767770006.0558078,1170596,medium_user_01,password_25,unknown,ARGON2ID,False,False,False,False,False,401,False,227.14260685603173,
26,1767770006.2829504,1170596,medium_user_01,password_26,unknown,ARGON2ID,False,False,False,False,False,401,False,290.0990304497851,
27,1767770006.5730495,1170596,medium_user_01,password_27,unknown,ARGON2ID,False,False,False,False,False,401,False,288.6488842210168,
28,1767770006.8616984,1170596,medium_user_01,password_28,unknown,ARGON2ID,False,False,False,False,False,401,False,242.30815605031637,
29,1767770007.1040065,1170596,medium_user_01,password_29,unknown,ARGON2ID,False,False,False,False,False,401,False,209.88492399609416,
30,1767770007.3138914,1170596,medium_user_01,password_30,unknown,ARGON2ID,False,False,False,False,False,401,False,226.51553139677358,
31,1767770007.540407,1170596,medium_user_01,password_31,unknown,ARGON2ID,False,False,False,False,False,401,False,228.89191889486767,
32,1767770007.7692988,1170596,medium_user_01,password_32,unknown,ARGON2ID,False,False,False,False,False,401,False,281.87595944814336,
