attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767774000,1170596,medium_user_01,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,279.41165126185655,
2,1767774000.2794116,1170596,medium_user_01,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,292.4084974296939,
3,1767774000.57182,1170596,medium_user_01,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,295.72094189247576,
4,1767774000.867541,1170596,medium_user_01,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,225.36934480859222,
5,1767774001.0929105,1170596,medium_user_01,password_5,unknown,ARGON2ID,False,False,False,True,False,401,False,243.313799824798,
6,1767774001.3362243,1170596,medium_user_01,password_6,unknown,ARGON2ID,False,False,False,True,False,401,False,246.20503459817297,
7,1767774001.5824294,1170596,medium_user_01,password_7,unknown,ARGON2ID,False,False,False,True,False,401,False,293.6729857782759,
8,1767774001.8761024,1170596,medium_user_01,password_8,unknown,ARGON2ID,False,False,False,True,False,401,False,242.53470016009103,
9,1767774002.118637,1170596,medium_user_01,password_9,unknown,ARGON2ID,False,False,False,True,False,401,False,282.7664829140938,
10,1767774002.4014037,1170596,medium_user_01,password_10,unknown,ARGON2ID,False,False,False,True,False,401,False,295.4328224215765,
11,1767774002.6968365,1170596,medium_user_01,password_11,unknown,ARGON2ID,False,False,False,True,False,401,False,236.45739131672724,
12,1767774002.9332938,1170596,medium_user_01,password_12,unknown,ARGON2ID,False,False,False,True,False,401,False,288.33166497530044,
13,1767774003.2216256,1170596,medium_user_01,password_13,unknown,ARGON2ID,False,False,False,True,False,401,False,299.1451264190069,
14,1767774003.5207708,1170596,medium_user_01,password_14,unknown,ARGON2ID,False,False,False,True,False,401,False,272.3978491209214,
15,1767774003.7931685,1170596,medium_user_01,password_15,unknown,ARGON2ID,False,False,False,True,False,401,False,271.23540030964017,
16,1767774004.064404,1170596,medium_user_01,password_16,unknown,ARGON2ID,False,False,False,True,False,401,False,294.7850299532197,
17,1767774004.359189,1170596,medium_user_01,password_17,unknown,ARGON2ID,False,False,False,True,False,401,False,295.57357728195996,
18,1767774004.6547625,1170596,medium_user_01,password_18,unknown,ARGON2ID,False,False,False,True,False,401,False,246.97296610358447,
19,1767774004.9017355,1170596,medium_user_01,password_19,unknown,ARGON2ID,False,False,False,True,False,401,False,295.8662042935187,
20,1767774005.1976018,1170596,medium_user_01,password_20,unknown,ARGON2ID,False,False,False,True,False,401,False,240.41792926841634,
21,1767774005.4380198,1170596,medium_user_01,password_21,unknown,ARGON2ID,False,False,False,True,False,401,False,203.2118837538955,
22,1767774005.6412315,1170596,medium_user_01,password_22,unknown,ARGON2ID,False,False,False,True,False,401,False,252.2036109216415,
23,1767774005.8934352,1170596,medium_user_01,password_23,unknown,ARGON2ID,False,False,False,True,False,401,False,282.73357612432756,
24,1767774006.176169,1170596,medium_user_01,password_24,unknown,ARGON2ID,False,False,False,True,False,401,False,224.97044067137733,
25,1767774006.4011393,1170596,medium_user_01,password_25,unknown,ARGON2ID,False,False,False,True,False,401,False,268.183427004781,
26,1767774006.6693227,1170596,medium_user_01,password_26,unknown,ARGON2ID,False,False,False,True,False,401,False,229.75700872958743,
27,1767774006.8990798,1170596,medium_user_01,password_27,unknown,ARGON2ID,False,False,False,True,False,401,False,244.11023106034946,
28,1767774007.1431901,1170596,medium_user_01,password_28,unknown,ARGON2ID,False,False,False,True,False,401,False,257.5251981129039,
29,1767774007.4007154,1170596,medium_user_01,password_29,unknown,ARGON2ID,False,False,False,True,False,401,False,200.4983970315586,
30,1767774007.6012137,1170596,medium_user_01,password_30,unknown,ARGON2ID,False,False,False,True,False,401,False,229.93336980864495,
31,1767774007.831147,1170596,medium_user_01,password_31,unknown,ARGON2ID,False,False,False,True,False,401,False,288.2583166140721,
32,1767774008.1194053,1170596,medium_user_01,password_32,unknown,ARGON2ID,False,False,False,True,False,401,False,275.51980261257967,
33,1767774008.394925,1170596,medium_user_01,password_33,unknown,ARGON2ID,False,False,False,True,False,401,False,290.5358530486297,
34,1767774008.685461,1170596,medium_user_01,password_34,unknown,ARGON2ID,False,False,False,True,False,401,False,214.24587395962882,
35,1767774008.8997068,1170596,medium_user_01,password_35,unknown,ARGON2ID,False,False,False,True,False,401,False,261.16976706220555,
36,1767774009.1608765,1170596,medium_user_01,password_36,unknown,ARGON2ID,False,False,False,True,False,401,False,240.98952279015242,
37,1767774009.401866,1170596,medium_user_01,password_37,unknown,ARGON2ID,False,False,False,True,False,401,False,232.8074473183012,
38,1767774009.6346734,1170596,medium_user_01,password_38,unknown,ARGON2ID,False,False,False,True,False,401,False,287.8455199095164,
39,1767774009.922519,1170596,medium_user_01,password_39,unknown,ARGON2ID,False,False,False,True,False,401,False,274.76365469371694,
40,1767774010.1972826,1170596,medium_user_01,password_40,unknown,ARGON2ID,False,False,False,True,False,401,False,299.2748399692065,
41,1767774010.4965575,1170596,medium_user_01,password_41,unknown,ARGON2ID,False,False,False,True,False,401,False,296.4862388088691,
42,1767774010.7930436,1170596,medium_user_01,password_42,unknown,ARGON2ID,False,False,False,True,False,401,False,231.48114783848854,
43,1767774011.0245247,1170596,medium_user_01,password_43,unknown,ARGON2ID,False,False,False,True,False,401,False,206.41884634729968,
44,1767774011.2309434,1170596,medium_user_01,password_44,unknown,ARGON2ID,False,False,False,True,False,401,False,228.97408572116422,
45,1767774011.4599175,1170596,medium_user_01,password_45,unknown,ARGON2ID,False,False,False,True,False,401,False,204.20683169251492,
46,1767774011.6641245,1170596,medium_user_01,password_46,unknown,ARGON2ID,False,False,False,True,False,401,False,244.9255255562787,
47,1767774011.90905,1170596,medium_user_01,password_47,unknown,ARGON2ID,False,False,False,True,False,401,False,252.09772966841,
48,1767774012.1611478,1170596,medium_user_01,password_48,unknown,ARGON2ID,False,False,False,True,False,401,False,212.7519729549706,
49,1767774012.3738997,1170596,medium_user_01,password_49,unknown,ARGON2ID,False,False,False,True,False,401,False,253.91395908571766,
50,1767774012.6278136,1170596,medium_user_01,password_50,unknown,ARGON2ID,False,False,False,True,False,401,False,228.33820605513048,
51,1767774012.8561518,1170596,medium_user_01,password_51,unknown,ARGON2ID,False,False,False,True,False,401,False,267.4848665747469,
52,1767774013.1236367,1170596,medium_user_01,password_52,unknown,ARGON2ID,False,False,False,True,False,401,False,210.5554861661568,
53,1767774013.3341923,1170596,medium_user_01,password_53,unknown,ARGON2ID,False,False,False,True,False,401,False,278.81239745664317,
54,1767774013.6130047,1170596,medium_user_01,password_54,unknown,ARGON2ID,False,False,False,True,False,401,False,213.07524606832823,
55,1767774013.8260798,1170596,medium_user_01,password_55,unknown,ARGON2ID,False,False,False,True,False,401,False,215.5215182993723,
56,1767774014.0416014,1170596,medium_user_01,password_56,unknown,ARGON2ID,False,False,False,True,False,401,False,268.6987134913903,
57,1767774014.3103,1170596,medium_user_01,password_57,unknown,ARGON2ID,False,False,False,True,False,401,False,236.41535084401963,
58,1767774014.5467155,1170596,medium_user_01,password_58,unknown,ARGON2ID,False,False,False,True,False,401,False,210.4482167376266,
59,1767774014.7571638,1170596,medium_user_01,password_59,unknown,ARGON2ID,False,False,False,True,False,401,False,283.2729449511813,
60,1767774015.0404367,1170596,medium_user_01,password_60,unknown,ARGON2ID,False,False,False,True,False,401,False,244.6524798835163,
61,1767774015.2850893,1170596,medium_user_01,password_61,unknown,ARGON2ID,False,False,False,True,False,401,False,240.5293347548105,
