attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767771000,1170596,medium_user_01,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,209.36029006919694,
2,1767771000.2093604,1170596,medium_user_01,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,215.37218251173292,
3,1767771000.4247324,1170596,medium_user_01,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,207.40286668059937,
4,1767771000.6321354,1170596,medium_user_01,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,263.75970466720094,
5,1767771000.895895,1170596,medium_user_01,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,273.9602427309383,
6,1767771001.1698554,1170596,medium_user_01,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,267.9888804685355,
7,1767771001.4378443,1170596,medium_user_01,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,208.75890182842056,
8,1767771001.646603,1170596,medium_user_01,password_8,unknown,ARGON2ID,True,False,False,False,False,401,False,240.92116084306215,
9,1767771001.8875244,1170596,medium_user_01,password_9,unknown,ARGON2ID,True,False,False,False,False,401,False,292.27672915402025,
10,1767771002.179801,1170596,medium_user_01,password_10,unknown,ARGON2ID,True,False,False,False,False,401,False,228.6894851629982,
11,1767771007.4084904,1170596,medium_user_01,password_11,unknown,ARGON2ID,True,False,False,False,False,401,False,279.9868814446521,
12,1767771007.6884773,1170596,medium_user_01,password_12,unknown,ARGON2ID,True,False,False,False,False,401,False,290.47651439433264,
13,1767771007.9789538,1170596,medium_user_01,password_13,unknown,ARGON2ID,True,False,False,False,False,401,False,233.14674933875602,
14,1767771008.2121005,1170596,medium_user_01,password_14,unknown,ARGON2ID,True,False,False,False,False,401,False,263.63251370509033,
15,1767771008.475733,1170596,medium_user_01,password_15,unknown,ARGON2ID,True,False,False,False,False,401,False,290.1649180211581,
16,1767771008.765898,1170596,medium_user_01,password_16,unknown,ARGON2ID,True,False,False,False,False,401,False,227.93228151403162,
17,1767771008.9938302,1170596,medium_user_01,password_17,unknown,ARGON2ID,True,False,False,False,False,401,False,273.24828680872906,
18,1767771009.2670784,1170596,medium_user_01,password_18,unknown,ARGON2ID,True,False,False,False,False,401,False,253.54346571651138,
19,1767771009.5206218,1170596,medium_user_01,password_19,unknown,ARGON2ID,True,False,False,False,False,401,False,281.48290081467326,
20,1767771009.8021047,1170596,medium_user_01,password_20,unknown,ARGON2ID,True,False,False,False,False,401,False,287.15783861763026,
21,1767771015.0892625,1170596,medium_user_01,password_21,unknown,ARGON2ID,True,False,False,False,False,401,False,222.24314757706986,
22,1767771015.3115056,1170596,medium_user_01,password_22,unknown,ARGON2ID,True,False,False,False,False,401,False,298.4276921412912,
