attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767776000,1170596,medium_user_01,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,278.74604641343484,
2,1767776000.2787461,1170596,medium_user_01,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,237.16153811139486,
3,1767776000.5159078,1170596,medium_user_01,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,218.8262369704849,
4,1767776000.734734,1170596,medium_user_01,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,232.40239438447364,
5,1767776000.9671364,1170596,medium_user_01,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,282.77568154577517,
7,1767776301.9671364,1170596,medium_user_01,password_7,unknown,ARGON2ID,True,True,False,False,False,401,False,291.3301412178968,
8,1767776302.2584665,1170596,medium_user_01,password_8,unknown,ARGON2ID,True,True,False,False,False,401,False,219.12074106944192,
9,1767776302.4775872,1170596,medium_user_01,password_9,unknown,ARGON2ID,True,True,False,False,False,401,False,228.04099367844782,
10,1767776302.7056282,1170596,medium_user_01,password_10,unknown,ARGON2ID,True,True,False,False,False,401,False,205.92140806546686,
11,1767776302.9115496,1170596,medium_user_01,password_11,unknown,ARGON2ID,True,True,False,False,False,401,False,232.3654003175725,
13,1767776603.9115496,1170596,medium_user_01,password_13,unknown,ARGON2ID,True,True,False,False,False,401,False,288.9829679715672,
14,1767776604.2005324,1170596,medium_user_01,password_14,unknown,ARGON2ID,True,True,False,False,False,401,False,238.3054992192571,
15,1767776604.438838,1170596,medium_user_01,password_15,unknown,ARGON2ID,True,True,False,False,False,401,False,278.4061680771014,
16,1767776604.7172441,1170596,medium_user_01,password_16,unknown,ARGON2ID,True,True,False,False,False,401,False,292.4709877793302,
17,1767776605.009715,1170596,medium_user_01,password_17,unknown,ARGON2ID,True,True,False,False,False,401,False,276.3397931592882,
19,1767776906.009715,1170596,medium_user_01,password_19,unknown,ARGON2ID,True,True,False,False,False,401,False,223.20345858664604,
20,1767776906.2329185,1170596,medium_user_01,password_20,unknown,ARGON2ID,True,True,False,False,False,401,False,205.04175790251895,
21,1767776906.4379601,1170596,medium_user_01,password_21,unknown,ARGON2ID,True,True,False,False,False,401,False,267.032425735316,
22,1767776906.7049925,1170596,medium_user_01,password_22,unknown,ARGON2ID,True,True,False,False,False,401,False,215.98954147653825,
23,1767776906.9209821,1170596,medium_user_01,password_23,unknown,ARGON2ID,True,True,False,False,False,401,False,217.3952583606099,
25,1767777207.9209821,1170596,medium_user_01,password_25,unknown,ARGON2ID,True,True,False,False,False,401,False,248.27812210961798,
26,1767777208.1692603,1170596,medium_user_01,password_26,unknown,ARGON2ID,True,True,False,False,False,401,False,224.00972980541263,
27,1767777208.39327,1170596,medium_user_01,password_27,unknown,ARGON2ID,True,True,False,False,False,401,False,239.55415164538135,
28,1767777208.6328242,1170596,medium_user_01,password_28,unknown,ARGON2ID,True,True,False,False,False,401,False,209.8650801356316,
29,1767777208.8426893,1170596,medium_user_01,password_29,unknown,ARGON2ID,True,True,False,False,False,401,False,247.14649090031946,
31,1767777509.8426893,1170596,medium_user_01,password_31,unknown,ARGON2ID,True,True,False,False,False,401,False,262.2960246578609,
32,1767777510.1049852,1170596,medium_user_01,password_32,unknown,ARGON2ID,True,True,False,False,False,401,False,253.51800092052616,
33,1767777510.3585033,1170596,medium_user_01,password_33,unknown,ARGON2ID,True,True,False,False,False,401,False,225.7771785585685,
34,1767777510.5842805,1170596,medium_user_01,password_34,unknown,ARGON2ID,True,True,False,False,False,401,False,213.80152703940624,
35,1767777510.798082,1170596,medium_user_01,password_35,unknown,ARGON2ID,True,True,False,False,False,401,False,279.1533726806485,
37,1767777811.798082,1170596,medium_user_01,password_37,unknown,ARGON2ID,True,True,False,False,False,401,False,286.57209914260744,
38,1767777812.0846543,1170596,medium_user_01,password_38,unknown,ARGON2ID,True,True,False,False,False,401,False,246.40869112981784,
39,1767777812.331063,1170596,medium_user_01,password_39,unknown,ARGON2ID,True,True,False,False,False,401,False,260.92695005753353,
40,1767777812.59199,1170596,medium_user_01,password_40,unknown,ARGON2ID,True,True,False,False,False,401,False,289.9472700822396,
41,1767777812.8819373,1170596,medium_user_01,password_41,unknown,ARGON2ID,True,True,False,False,False,401,False,231.79964209815117,
43,1767778113.8819373,1170596,medium_user_01,password_43,unknown,ARGON2ID,True,True,False,False,False,401,False,266.9643210077056,
44,1767778114.1489017,1170596,medium_user_01,password_44,unknown,ARGON2ID,True,True,False,False,False,401,False,286.80922581893674,
45,1767778114.435711,1170596,medium_user_01,password_45,unknown,ARGON2ID,True,True,False,False,False,401,False,284.500750649384,
46,1767778114.7202117,1170596,medium_user_01,password_46,unknown,ARGON2ID,True,True,False,False,False,401,False,263.08273561858607,
47,1767778114.9832945,1170596,medium_user_01,password_47,unknown,ARGON2ID,True,True,False,False,False,401,False,213.76807582557547,
49,1767778415.9832945,1170596,medium_user_01,password_49,unknown,ARGON2ID,True,True,False,False,False,401,False,274.100645451885,
50,1767778416.257395,1170596,medium_user_01,password_50,unknown,ARGON2ID,True,True,False,False,False,401,False,295.65142929820547,
51,1767778416.5530465,1170596,medium_user_01,password_51,unknown,ARGON2ID,True,True,False,False,False,401,False,266.92777988535954,
52,1767778416.8199742,1170596,medium_user_01,password_52,unknown,ARGON2ID,True,True,False,False,False,401,False,237.68152242531167,
53,1767778417.0576558,1170596,medium_user_01,password_53,unknown,ARGON2ID,True,True,False,False,False,401,False,233.86523371183463,
55,1767778718.0576558,1170596,medium_user_01,password_55,unknown,ARGON2ID,True,True,False,False,False,401,False,278.672815282587,
56,1767778718.3363287,1170596,medium_user_01,password_56,unknown,ARGON2ID,True,True,False,False,False,401,False,227.38339649606226,
57,1767778718.5637121,1170596,medium_user_01,password_57,unknown,ARGON2ID,True,True,False,False,False,401,False,205.38787155177312,
58,1767778718.7691,1170596,medium_user_01,password_58,unknown,ARGON2ID,True,True,False,False,False,401,False,232.34193678287548,
59,1767778719.001442,1170596,medium_user_01,password_59,unknown,ARGON2ID,True,True,False,False,False,401,False,201.83692864641523,
61,1767779020.001442,1170596,medium_user_01,password_61,unknown,ARGON2ID,True,True,False,False,False,401,False,254.6023485545601,
62,1767779020.2560444,1170596,medium_user_01,password_62,unknown,ARGON2ID,True,True,False,False,False,401,False,239.6889299699932,
63,1767779020.4957333,1170596,medium_user_01,password_63,unknown,ARGON2ID,True,True,False,False,False,401,False,228.37247319393006,
64,1767779020.7241058,1170596,medium_user_01,password_64,unknown,ARGON2ID,True,True,False,False,False,401,False,287.296095492999,
65,1767779021.011402,1170596,medium_user_01,password_65,unknown,ARGON2ID,True,True,False,False,False,401,False,214.41704134908628,
67,1767779322.011402,1170596,medium_user_01,password_67,unknown,ARGON2ID,True,True,False,False,False,401,False,219.4465593535092,
68,1767779322.2308486,1170596,medium_user_01,password_68,unknown,ARGON2ID,True,True,False,False,False,401,False,203.18895895742452,
69,1767779322.4340374,1170596,medium_user_01,password_69,unknown,ARGON2ID,True,True,False,False,False,401,False,214.84187723150225,
70,1767779322.6488793,1170596,medium_user_01,password_70,unknown,ARGON2ID,True,True,False,False,False,401,False,278.16513281743755,
71,1767779322.9270444,1170596,medium_user_01,password_71,unknown,ARGON2ID,True,True,False,False,False,401,False,249.43641103153445,
73,1767779623.9270444,1170596,medium_user_01,password_73,unknown,ARGON2ID,True,True,False,False,False,401,False,230.95096396516715,
74,1767779624.1579955,1170596,medium_user_01,password_74,unknown,ARGON2ID,True,True,False,False,False,401,False,235.3695034973602,
75,1767779624.393365,1170596,medium_user_01,password_75,unknown,ARGON2ID,True,True,False,False,False,401,False,297.60106109606215,
76,1767779624.690966,1170596,medium_user_01,password_76,unknown,ARGON2ID,True,True,False,False,False,401,False,258.25787431197955,
77,1767779624.9492238,1170596,medium_user_01,password_77,unknown,ARGON2ID,True,True,False,False,False,401,False,230.86630780694486,
79,1767779925.9492238,1170596,medium_user_01,password_79,unknown,ARGON2ID,True,True,False,False,False,401,False,270.7079490304361,
80,1767779926.2199316,1170596,medium_user_01,password_80,unknown,ARGON2ID,True,True,False,False,False,401,False,284.70554939499516,
81,1767779926.5046372,1170596,medium_user_01,password_81,unknown,ARGON2ID,True,True,False,False,False,401,False,253.19864590376932,
82,1767779926.7578359,1170596,medium_user_01,password_82,unknown,ARGON2ID,True,True,False,False,False,401,False,236.48897776742925,
83,1767779926.994325,1170596,medium_user_01,password_83,unknown,ARGON2ID,True,True,False,False,False,401,False,256.9754058402644,
85,1767780227.994325,1170596,medium_user_01,password_85,unknown,ARGON2ID,True,True,False,False,False,401,False,220.35832080238748,
86,1767780228.2146833,1170596,medium_user_01,password_86,unknown,ARGON2ID,True,True,False,False,False,401,False,222.2409336458153,
87,1767780228.4369242,1170596,medium_user_01,password_87,unknown,ARGON2ID,True,True,False,False,False,401,False,208.21462429774382,
88,1767780228.6451387,1170596,medium_user_01,password_88,unknown,ARGON2ID,True,True,False,False,False,401,False,269.3073662333101,
89,1767780228.914446,1170596,medium_user_01,password_89,unknown,ARGON2ID,True,True,False,False,False,401,False,213.10028872712883,
91,1767780529.914446,1170596,medium_user_01,password_91,unknown,ARGON2ID,True,True,False,False,False,401,False,267.9075177279139,
92,1767780530.1823537,1170596,medium_user_01,password_92,unknown,ARGON2ID,True,True,False,False,False,401,False,204.32450957623084,
93,1767780530.3866782,1170596,medium_user_01,password_93,unknown,ARGON2ID,True,True,False,False,False,401,False,264.68415695474613,
94,1767780530.6513624,1170596,medium_user_01,password_94,unknown,ARGON2ID,True,True,False,False,False,401,False,230.62378216428908,
95,1767780530.8819861,1170596,medium_user_01,password_95,unknown,ARGON2ID,True,True,False,False,False,401,False,207.5582395408916,
97,1767780831.8819861,1170596,medium_user_01,password_97,unknown,ARGON2ID,True,True,False,False,False,401,False,295.77449327698923,
98,1767780832.1777606,1170596,medium_user_01,password_98,unknown,ARGON2ID,True,True,False,False,False,401,False,222.2881700506733,
99,1767780832.4000487,1170596,medium_user_01,password_99,unknown,ARGON2ID,True,True,False,False,False,401,False,227.31754005989546,
100,1767780832.6273663,1170596,medium_user_01,password_100,unknown,ARGON2ID,True,True,False,False,False,401,False,251.77392836873102,
101,1767780832.8791401,1170596,medium_user_01,password_101,unknown,ARGON2ID,True,True,False,False,False,401,False,274.0648237049364,
103,1767781133.8791401,1170596,medium_user_01,password_103,unknown,ARGON2ID,True,True,False,False,False,401,False,250.38467559178804,
104,1767781134.1295247,1170596,medium_user_01,password_104,unknown,ARGON2ID,True,True,False,False,False,401,False,227.13302890140127,
105,1767781134.3566577,1170596,medium_user_01,password_105,unknown,ARGON2ID,True,True,False,False,False,401,False,221.11233321712507,
106,1767781134.57777,1170596,medium_user_01,password_106,unknown,ARGON2ID,True,True,False,False,False,401,False,216.8563659605059,
107,1767781134.7946265,1170596,medium_user_01,password_107,unknown,ARGON2ID,True,True,False,False,False,401,False,256.2670276021597,
109,1767781435.7946265,1170596,medium_user_01,password_109,unknown,ARGON2ID,True,True,False,False,False,401,False,254.36627595099577,
110,1767781436.0489926,1170596,medium_user_01,password_110,unknown,ARGON2ID,True,True,False,False,False,401,False,293.8947193722173,
111,1767781436.3428874,1170596,medium_user_01,password_111,unknown,ARGON2ID,True,True,False,False,False,401,False,248.35126370901986,
112,1767781436.5912387,1170596,medium_user_01,password_112,unknown,ARGON2ID,True,True,False,False,False,401,False,274.4976704002215,
113,1767781436.8657365,1170596,medium_user_01,password_113,unknown,ARGON2ID,True,True,False,False,False,401,False,296.1049846672401,
115,1767781737.8657365,1170596,medium_user_01,password_115,unknown,ARGON2ID,True,True,False,False,False,401,False,214.2205478890711,
116,1767781738.079957,1170596,medium_user_01,password_116,unknown,ARGON2ID,True,True,False,False,False,401,False,261.9250111143151,
117,1767781738.341882,1170596,medium_user_01,password_117,unknown,ARGON2ID,True,True,False,False,False,401,False,226.7560186349168,
118,1767781738.568638,1170596,medium_user_01,password_118,unknown,ARGON2ID,True,True,False,False,False,401,False,275.28369483597436,
119,1767781738.843922,1170596,medium_user_01,password_119,unknown,ARGON2ID,True,True,False,False,False,401,False,262.64388501871576,
121,1767782039.843922,1170596,medium_user_01,password_121,unknown,ARGON2ID,True,True,False,False,False,401,False,216.59515084590086,
122,1767782040.060517,1170596,medium_user_01,password_122,unknown,ARGON2ID,True,True,False,False,False,401,False,231.16948480561967,
123,1767782040.2916865,1170596,medium_user_01,password_123,unknown,ARGON2ID,True,True,False,False,False,401,False,206.56419507030617,
124,1767782040.4982507,1170596,medium_user_01,password_124,unknown,ARGON2ID,True,True,False,False,False,401,False,228.00321086721482,
125,1767782040.726254,1170596,medium_user_01,password_125,unknown,ARGON2ID,True,True,False,False,False,401,False,206.33112306025345,
127,1767782341.726254,1170596,medium_user_01,password_127,unknown,ARGON2ID,True,True,False,False,False,401,False,285.2487169307432,
128,1767782342.0115027,1170596,medium_user_01,password_128,unknown,ARGON2ID,True,True,False,False,False,401,False,226.61931558807197,
129,1767782342.238122,1170596,medium_user_01,password_129,unknown,ARGON2ID,True,True,False,False,False,401,False,225.34161108565206,
130,1767782342.4634635,1170596,medium_user_01,password_130,unknown,ARGON2ID,True,True,False,False,False,401,False,229.60450817761358,
131,1767782342.693068,1170596,medium_user_01,password_131,unknown,ARGON2ID,True,True,False,False,False,401,False,260.03175190407893,
133,1767782643.693068,1170596,medium_user_01,password_133,unknown,ARGON2ID,True,True,False,False,False,401,False,260.62554091988284,
134,1767782643.9536936,1170596,medium_user_01,password_134,unknown,ARGON2ID,True,True,False,False,False,401,False,295.23448219484067,
135,1767782644.248928,1170596,medium_user_01,password_135,unknown,ARGON2ID,True,True,False,False,False,401,False,299.8974108217151,
136,1767782644.5488255,1170596,medium_user_01,password_136,unknown,ARGON2ID,True,True,False,False,False,401,False,285.94288168005073,
137,1767782644.8347683,1170596,medium_user_01,password_137,unknown,ARGON2ID,True,True,False,False,False,401,False,250.3256799779511,
139,1767782945.8347683,1170596,medium_user_01,password_139,unknown,ARGON2ID,True,True,False,False,False,401,False,203.73563016590393,
140,1767782946.038504,1170596,medium_user_01,password_140,unknown,ARGON2ID,True,True,False,False,False,401,False,269.6657838124696,
141,1767782946.3081696,1170596,medium_user_01,password_141,unknown,ARGON2ID,True,True,False,False,False,401,False,233.39266863759732,
142,1767782946.5415623,1170596,medium_user_01,password_142,unknown,ARGON2ID,True,True,False,False,False,401,False,219.39312171084953,
143,1767782946.7609553,1170596,medium_user_01,password_143,unknown,ARGON2ID,True,True,False,False,False,401,False,261.55702936431413,
145,1767783247.7609553,1170596,medium_user_01,password_145,unknown,ARGON2ID,True,True,False,False,False,401,False,260.7290540860372,
146,1767783248.0216844,1170596,medium_user_01,password_146,unknown,ARGON2ID,True,True,False,False,False,401,False,216.73301825041116,
147,1767783248.2384174,1170596,medium_user_01,password_147,unknown,ARGON2ID,True,True,False,False,False,401,False,277.5329527952138,
148,1767783248.5159504,1170596,medium_user_01,password_148,unknown,ARGON2ID,True,True,False,False,False,401,False,209.66809740749363,
149,1767783248.7256186,1170596,medium_user_01,password_149,unknown,ARGON2ID,True,True,False,False,False,401,False,286.4407109325882,
151,1767783549.7256186,1170596,medium_user_01,correct_password_medium,medium,ARGON2ID,True,True,False,False,False,200,True,290.2150071734301,
