attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767775000,1170596,medium_user_01,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,219.62459846514298,Invalid TOTP code
2,1767775000.2196245,1170596,medium_user_01,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,207.46282919420997,Invalid TOTP code
3,1767775000.4270873,1170596,medium_user_01,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,299.6189216827355,Invalid TOTP code
4,1767775000.7267063,1170596,medium_user_01,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,204.57673351761767,Invalid TOTP code
5,1767775000.931283,1170596,medium_user_01,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,257.6288114021871,Invalid TOTP code
6,1767775001.188912,1170596,medium_user_01,password_6,unknown,ARGON2ID,False,False,False,False,True,401,False,280.15732844837436,Invalid TOTP code
7,1767775001.4690692,1170596,medium_user_01,password_7,unknown,ARGON2ID,False,False,False,False,True,401,False,292.04470637561644,Invalid TOTP code
8,1767775001.761114,1170596,medium_user_01,password_8,unknown,ARGON2ID,False,False,False,False,True,401,False,277.1635683120174,Invalid TOTP code
9,1767775002.0382774,1170596,medium_user_01,password_9,unknown,ARGON2ID,False,False,False,False,True,401,False,257.36915908762904,Invalid TOTP code
10,1767775002.2956464,1170596,medium_user_01,password_10,unknown,ARGON2ID,False,False,False,False,True,401,False,234.34267492531285,Invalid TOTP code
11,1767775002.529989,1170596,medium_user_01,password_11,unknown,ARGON2ID,False,False,False,False,True,401,False,219.86594718770098,Invalid TOTP code
12,1767775002.749855,1170596,medium_user_01,password_12,unknown,ARGON2ID,False,False,False,False,True,401,False,262.0686824949499,Invalid TOTP code
13,1767775003.0119238,1170596,medium_user_01,password_13,unknown,ARGON2ID,False,False,False,False,True,401,False,281.1121457699063,Invalid TOTP code
14,1767775003.293036,1170596,medium_user_01,password_14,unknown,ARGON2ID,False,False,False,False,True,401,False,216.90414634755734,Invalid TOTP code
15,1767775003.5099401,1170596,medium_user_01,password_15,unknown,ARGON2ID,False,False,False,False,True,401,False,265.3126365536491,Invalid TOTP code
16,1767775003.7752528,1170596,medium_user_01,password_16,unknown,ARGON2ID,False,False,False,False,True,401,False,218.7809371091195,Invalid TOTP code
17,1767775003.9940338,1170596,medium_user_01,password_17,unknown,ARGON2ID,False,False,False,False,True,401,False,277.669412681982,Invalid TOTP code
18,1767775004.2717032,1170596,medium_user_01,password_18,unknown,ARGON2ID,False,False,False,False,True,401,False,236.1069151676918,Invalid TOTP code
19,1767775004.50781,1170596,medium_user_01,password_19,unknown,ARGON2ID,False,False,False,False,True,401,False,204.7090693131985,Invalid TOTP code
20,1767775004.7125192,1170596,medium_user_01,password_20,unknown,ARGON2ID,False,False,False,False,True,401,False,266.0663565592636,Invalid TOTP code
21,1767775004.9785855,1170596,medium_user_01,password_21,unknown,ARGON2ID,False,False,False,False,True,401,False,273.27540937288506,Invalid TOTP code
22,1767775005.2518609,1170596,medium_user_01,password_22,unknown,ARGON2ID,False,False,False,False,True,401,False,203.7429803605778,Invalid TOTP code
23,1767775005.4556038,1170596,medium_user_01,password_23,unknown,ARGON2ID,False,False,False,False,True,401,False,230.2317146326018,Invalid TOTP code
24,1767775005.6858356,1170596,medium_user_01,password_24,unknown,ARGON2ID,False,False,False,False,True,401,False,256.395431491897,Invalid TOTP code
25,1767775005.942231,1170596,medium_user_01,password_25,unknown,ARGON2ID,False,False,False,False,True,401,False,284.5171663703209,Invalid TOTP code
26,1767775006.226748,1170596,medium_user_01,password_26,unknown,ARGON2ID,False,False,False,False,True,401,False,203.80920843185515,Invalid TOTP code
27,1767775006.4305573,1170596,medium_user_01,password_27,unknown,ARGON2ID,False,False,False,False,True,401,False,200.62223565165831,Invalid TOTP code
28,1767775006.6311796,1170596,medium_user_01,password_28,unknown,ARGON2ID,False,False,False,False,True,401,False,259.85894991495377,Invalid TOTP code
