attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767742000,1170596,medium_user_01,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,341.4105526671168,
2,1767742000.3414106,1170596,medium_user_01,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,340.4705531139956,
3,1767742000.6818812,1170596,medium_user_01,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,322.30088155599566,
4,1767742001.004182,1170596,medium_user_01,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,358.0417191880211,
5,1767742001.3622239,1170596,medium_user_01,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,356.2774349343114,
7,1767742302.3622239,1170596,medium_user_01,password_7,unknown,BCRYPT,False,True,False,False,False,401,False,316.7780989909519,
8,1767742302.679002,1170596,medium_user_01,password_8,unknown,BCRYPT,False,True,False,False,False,401,False,314.4385847327767,
9,1767742302.9934406,1170596,medium_user_01,password_9,unknown,BCRYPT,False,True,False,False,False,401,False,357.0341917157323,
10,1767742303.3504748,1170596,medium_user_01,password_10,unknown,BCRYPT,False,True,False,False,False,401,False,304.5478944751503,
11,1767742303.6550226,1170596,medium_user_01,password_11,unknown,BCRYPT,False,True,False,False,False,401,False,392.8720184753,
13,1767742604.6550226,1170596,medium_user_01,password_13,unknown,BCRYPT,False,True,False,False,False,401,False,355.32322400749604,
14,1767742605.010346,1170596,medium_user_01,password_14,unknown,BCRYPT,False,True,False,False,False,401,False,309.51565440602417,
15,1767742605.3198617,1170596,medium_user_01,password_15,unknown,BCRYPT,False,True,False,False,False,401,False,384.39690113845614,
16,1767742605.7042584,1170596,medium_user_01,password_16,unknown,BCRYPT,False,True,False,False,False,401,False,374.0789143016989,
17,1767742606.0783374,1170596,medium_user_01,password_17,unknown,BCRYPT,False,True,False,False,False,401,False,361.9912261456595,
19,1767742907.0783374,1170596,medium_user_01,password_19,unknown,BCRYPT,False,True,False,False,False,401,False,367.3167946869271,
