attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767740000,1170596,medium_user_01,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,353.43756380441016,
2,1767740000.3534377,1170596,medium_user_01,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,316.33253540915723,
3,1767740000.6697702,1170596,medium_user_01,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,343.5911326735987,
4,1767740001.0133615,1170596,medium_user_01,password_4,unknown,BCRYPT,False,False,False,False,False,401,False,330.66946448674184,
5,1767740001.3440309,1170596,medium_user_01,password_5,unknown,BCRYPT,False,False,False,False,False,401,False,397.4389491909924,
6,1767740001.7414699,1170596,medium_user_01,password_6,unknown,BCRYPT,False,False,False,False,False,401,False,339.06364888833554,
7,1767740002.0805335,1170596,medium_user_01,password_7,unknown,BCRYPT,False,False,False,False,False,401,False,363.7131027211559,
8,1767740002.4442465,1170596,medium_user_01,password_8,unknown,BCRYPT,False,False,False,False,False,401,False,318.66712583859777,
9,1767740002.7629137,1170596,medium_user_01,password_9,unknown,BCRYPT,False,False,False,False,False,401,False,338.0737993630777,
10,1767740003.1009874,1170596,medium_user_01,password_10,unknown,BCRYPT,False,False,False,False,False,401,False,399.1371074243625,
11,1767740003.5001245,1170596,medium_user_01,password_11,unknown,BCRYPT,False,False,False,False,False,401,False,305.0053603289241,
12,1767740003.8051298,1170596,medium_user_01,password_12,unknown,BCRYPT,False,False,False,False,False,401,False,325.71300768790377,
13,1767740004.1308427,1170596,medium_user_01,password_13,unknown,BCRYPT,False,False,False,False,False,401,False,321.2536032041262,
14,1767740004.4520962,1170596,medium_user_01,password_14,unknown,BCRYPT,False,False,False,False,False,401,False,368.08006289191565,
15,1767740004.8201764,1170596,medium_user_01,password_15,unknown,BCRYPT,False,False,False,False,False,401,False,327.22018149342654,
16,1767740005.1473966,1170596,medium_user_01,password_16,unknown,BCRYPT,False,False,False,False,False,401,False,323.9824135648561,
17,1767740005.471379,1170596,medium_user_01,password_17,unknown,BCRYPT,False,False,False,False,False,401,False,370.44955107155926,
18,1767740005.8418286,1170596,medium_user_01,password_18,unknown,BCRYPT,False,False,False,False,False,401,False,300.57955076097613,
19,1767740006.1424081,1170596,medium_user_01,password_19,unknown,BCRYPT,False,False,False,False,False,401,False,309.5978777692797,
20,1767740006.452006,1170596,medium_user_01,password_20,unknown,BCRYPT,False,False,False,False,False,401,False,372.30850012991743,
21,1767740006.8243146,1170596,medium_user_01,password_21,unknown,BCRYPT,False,False,False,False,False,401,False,351.5788757467585,
22,1767740007.1758935,1170596,medium_user_01,password_22,unknown,BCRYPT,False,False,False,False,False,401,False,340.13435557678235,
23,1767740007.516028,1170596,medium_user_01,password_23,unknown,BCRYPT,False,False,False,False,False,401,False,359.02750649884956,
24,1767740007.8750556,1170596,medium_user_01,password_24,unknown,BCRYPT,False,False,False,False,False,401,False,315.35006300554477,
25,1767740008.1904056,1170596,medium_user_01,password_25,unknown,BCRYPT,False,False,False,False,False,401,False,368.5460747396079,
26,1767740008.5589516,1170596,medium_user_01,password_26,unknown,BCRYPT,False,False,False,False,False,401,False,335.044068711076,
27,1767740008.8939958,1170596,medium_user_01,password_27,unknown,BCRYPT,False,False,False,False,False,401,False,370.6120346894562,
28,1767740009.264608,1170596,medium_user_01,password_28,unknown,BCRYPT,False,False,False,False,False,401,False,362.95488197422486,
29,1767740009.6275628,1170596,medium_user_01,password_29,unknown,BCRYPT,False,False,False,False,False,401,False,361.21023899917645,
30,1767740009.988773,1170596,medium_user_01,password_30,unknown,BCRYPT,False,False,False,False,False,401,False,398.7451536818961,
31,1767740010.3875182,1170596,medium_user_01,password_31,unknown,BCRYPT,False,False,False,False,False,401,False,358.73025439281275,
32,1767740010.7462485,1170596,medium_user_01,password_32,unknown,BCRYPT,False,False,False,False,False,401,False,367.0675636864724,
33,1767740011.113316,1170596,medium_user_01,password_33,unknown,BCRYPT,False,False,False,False,False,401,False,343.44825455406783,
34,1767740011.4567642,1170596,medium_user_01,password_34,unknown,BCRYPT,False,False,False,False,False,401,False,377.72453647832924,
35,1767740011.8344889,1170596,medium_user_01,password_35,unknown,BCRYPT,False,False,False,False,False,401,False,361.66001975996215,
36,1767740012.1961489,1170596,medium_user_01,password_36,unknown,BCRYPT,False,False,False,False,False,401,False,361.8042275305735,
37,1767740012.5579531,1170596,medium_user_01,password_37,unknown,BCRYPT,False,False,False,False,False,401,False,381.8526317659109,
38,1767740012.9398057,1170596,medium_user_01,password_38,unknown,BCRYPT,False,False,False,False,False,401,False,397.20473738823034,
39,1767740013.3370104,1170596,medium_user_01,password_39,unknown,BCRYPT,False,False,False,False,False,401,False,342.4984795632043,
40,1767740013.679509,1170596,medium_user_01,password_40,unknown,BCRYPT,False,False,False,False,False,401,False,347.90696418874813,
