attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767744000,1170596,medium_user_01,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,310.14016677069037,
2,1767744000.3101401,1170596,medium_user_01,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,329.4681536486174,
3,1767744000.6396084,1170596,medium_user_01,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,319.35126868904706,
4,1767744000.9589596,1170596,medium_user_01,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,352.2195291246828,
5,1767744001.3111792,1170596,medium_user_01,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,348.5121100843104,
6,1767744001.6596913,1170596,medium_user_01,password_6,unknown,BCRYPT,False,False,False,True,False,401,False,353.27462319421466,
7,1767744002.012966,1170596,medium_user_01,password_7,unknown,BCRYPT,False,False,False,True,False,401,False,306.2615109443566,
8,1767744002.3192275,1170596,medium_user_01,password_8,unknown,BCRYPT,False,False,False,True,False,401,False,326.3017647723051,
9,1767744002.6455293,1170596,medium_user_01,password_9,unknown,BCRYPT,False,False,False,True,False,401,False,320.5124393130148,
10,1767744002.9660418,1170596,medium_user_01,password_10,unknown,BCRYPT,False,False,False,True,False,401,False,368.73051458458383,
11,1767744003.3347723,1170596,medium_user_01,password_11,unknown,BCRYPT,False,False,False,True,False,401,False,360.0832814159814,
12,1767744003.6948557,1170596,medium_user_01,password_12,unknown,BCRYPT,False,False,False,True,False,401,False,316.80190792469625,
13,1767744004.0116577,1170596,medium_user_01,password_13,unknown,BCRYPT,False,False,False,True,False,401,False,344.50581652397693,
14,1767744004.3561635,1170596,medium_user_01,password_14,unknown,BCRYPT,False,False,False,True,False,401,False,368.7813966137427,
15,1767744004.7249448,1170596,medium_user_01,password_15,unknown,BCRYPT,False,False,False,True,False,401,False,354.6595611637226,
16,1767744005.0796044,1170596,medium_user_01,password_16,unknown,BCRYPT,False,False,False,True,False,401,False,343.60438895756374,
17,1767744005.4232087,1170596,medium_user_01,password_17,unknown,BCRYPT,False,False,False,True,False,401,False,332.11359115400796,
18,1767744005.7553222,1170596,medium_user_01,password_18,unknown,BCRYPT,False,False,False,True,False,401,False,382.9677991974669,
19,1767744006.13829,1170596,medium_user_01,password_19,unknown,BCRYPT,False,False,False,True,False,401,False,344.07731673963434,
20,1767744006.4823673,1170596,medium_user_01,password_20,unknown,BCRYPT,False,False,False,True,False,401,False,302.8536803750378,
21,1767744006.7852209,1170596,medium_user_01,password_21,unknown,BCRYPT,False,False,False,True,False,401,False,378.7219565541814,
22,1767744007.1639428,1170596,medium_user_01,password_22,unknown,BCRYPT,False,False,False,True,False,401,False,373.39288002209304,
23,1767744007.5373356,1170596,medium_user_01,password_23,unknown,BCRYPT,False,False,False,True,False,401,False,359.0156035965032,
24,1767744007.8963513,1170596,medium_user_01,password_24,unknown,BCRYPT,False,False,False,True,False,401,False,302.78752341717836,
25,1767744008.1991389,1170596,medium_user_01,password_25,unknown,BCRYPT,False,False,False,True,False,401,False,303.7252467816749,
26,1767744008.5028641,1170596,medium_user_01,password_26,unknown,BCRYPT,False,False,False,True,False,401,False,326.34201448261024,
27,1767744008.8292062,1170596,medium_user_01,password_27,unknown,BCRYPT,False,False,False,True,False,401,False,350.0185891897876,
28,1767744009.1792247,1170596,medium_user_01,password_28,unknown,BCRYPT,False,False,False,True,False,401,False,377.1567779668275,
29,1767744009.5563815,1170596,medium_user_01,password_29,unknown,BCRYPT,False,False,False,True,False,401,False,329.3613108408907,
30,1767744009.8857427,1170596,medium_user_01,password_30,unknown,BCRYPT,False,False,False,True,False,401,False,320.76200310015156,
31,1767744010.2065046,1170596,medium_user_01,password_31,unknown,BCRYPT,False,False,False,True,False,401,False,382.010741634866,
32,1767744010.5885153,1170596,medium_user_01,password_32,unknown,BCRYPT,False,False,False,True,False,401,False,339.65326635876147,
33,1767744010.9281685,1170596,medium_user_01,password_33,unknown,BCRYPT,False,False,False,True,False,401,False,394.15110115237087,
34,1767744011.3223197,1170596,medium_user_01,password_34,unknown,BCRYPT,False,False,False,True,False,401,False,388.76483784330077,
35,1767744011.7110846,1170596,medium_user_01,password_35,unknown,BCRYPT,False,False,False,True,False,401,False,325.30064789400296,
36,1767744012.0363853,1170596,medium_user_01,password_36,unknown,BCRYPT,False,False,False,True,False,401,False,380.0275124179425,
37,1767744012.4164128,1170596,medium_user_01,password_37,unknown,BCRYPT,False,False,False,True,False,401,False,339.03950555310956,
38,1767744012.7554524,1170596,medium_user_01,password_38,unknown,BCRYPT,False,False,False,True,False,401,False,319.8324490807328,
39,1767744013.075285,1170596,medium_user_01,password_39,unknown,BCRYPT,False,False,False,True,False,401,False,393.2132473022711,
40,1767744013.4684982,1170596,medium_user_01,password_40,unknown,BCRYPT,False,False,False,True,False,401,False,398.21268480369076,
41,1767744013.866711,1170596,medium_user_01,password_41,unknown,BCRYPT,False,False,False,True,False,401,False,305.74638616037686,
42,1767744014.1724572,1170596,medium_user_01,password_42,unknown,BCRYPT,False,False,False,True,False,401,False,374.89650435741254,
43,1767744014.5473537,1170596,medium_user_01,password_43,unknown,BCRYPT,False,False,False,True,False,401,False,313.34990930527124,
44,1767744014.8607037,1170596,medium_user_01,password_44,unknown,BCRYPT,False,False,False,True,False,401,False,399.8664975758553,
45,1767744015.2605703,1170596,medium_user_01,password_45,unknown,BCRYPT,False,False,False,True,False,401,False,330.14397157585614,
46,1767744015.5907142,1170596,medium_user_01,password_46,unknown,BCRYPT,False,False,False,True,False,401,False,303.96181260589105,
47,1767744015.894676,1170596,medium_user_01,password_47,unknown,BCRYPT,False,False,False,True,False,401,False,390.9997016815943,
48,1767744016.2856758,1170596,medium_user_01,password_48,unknown,BCRYPT,False,False,False,True,False,401,False,326.5363240032109,
49,1767744016.6122122,1170596,medium_user_01,password_49,unknown,BCRYPT,False,False,False,True,False,401,False,320.2010048569257,
50,1767744016.932413,1170596,medium_user_01,password_50,unknown,BCRYPT,False,False,False,True,False,401,False,327.52879342482953,
51,1767744017.2599418,1170596,medium_user_01,password_51,unknown,BCRYPT,False,False,False,True,False,401,False,359.3385045749417,
52,1767744017.6192803,1170596,medium_user_01,password_52,unknown,BCRYPT,False,False,False,True,False,401,False,353.21225858219293,
53,1767744017.9724927,1170596,medium_user_01,password_53,unknown,BCRYPT,False,False,False,True,False,401,False,327.46196623871776,
54,1767744018.2999547,1170596,medium_user_01,password_54,unknown,BCRYPT,False,False,False,True,False,401,False,365.0768512376854,
55,1767744018.6650314,1170596,medium_user_01,password_55,unknown,BCRYPT,False,False,False,True,False,401,False,338.50046796504364,
56,1767744019.003532,1170596,medium_user_01,password_56,unknown,BCRYPT,False,False,False,True,False,401,False,327.54695057676327,
57,1767744019.3310788,1170596,medium_user_01,password_57,unknown,BCRYPT,False,False,False,True,False,401,False,374.1725483021318,
58,1767744019.7052512,1170596,medium_user_01,password_58,unknown,BCRYPT,False,False,False,True,False,401,False,397.2540604242769,
59,1767744020.1025052,1170596,medium_user_01,password_59,unknown,BCRYPT,False,False,False,True,False,401,False,386.34371159196667,
60,1767744020.488849,1170596,medium_user_01,password_60,unknown,BCRYPT,False,False,False,True,False,401,False,352.35646121597034,
61,1767744020.8412054,1170596,medium_user_01,password_61,unknown,BCRYPT,False,False,False,True,False,401,False,350.5183265322934,
62,1767744021.1917236,1170596,medium_user_01,password_62,unknown,BCRYPT,False,False,False,True,False,401,False,392.1337596072095,
63,1767744021.5838573,1170596,medium_user_01,password_63,unknown,BCRYPT,False,False,False,True,False,401,False,388.8281224402873,
64,1767744021.9726853,1170596,medium_user_01,password_64,unknown,BCRYPT,False,False,False,True,False,401,False,304.2761622736407,
65,1767744022.2769616,1170596,medium_user_01,password_65,unknown,BCRYPT,False,False,False,True,False,401,False,344.3400995672696,
66,1767744022.6213017,1170596,medium_user_01,password_66,unknown,BCRYPT,False,False,False,True,False,401,False,318.8906246523736,
67,1767744022.9401922,1170596,medium_user_01,password_67,unknown,BCRYPT,False,False,False,True,False,401,False,375.1312247524364,
68,1767744023.3153234,1170596,medium_user_01,password_68,unknown,BCRYPT,False,False,False,True,False,401,False,348.3844383361393,
69,1767744023.6637077,1170596,medium_user_01,password_69,unknown,BCRYPT,False,False,False,True,False,401,False,346.19549905243,
70,1767744024.0099032,1170596,medium_user_01,password_70,unknown,BCRYPT,False,False,False,True,False,401,False,397.58031946629313,
71,1767744024.4074836,1170596,medium_user_01,password_71,unknown,BCRYPT,False,False,False,True,False,401,False,384.93633886035076,
72,1767744024.79242,1170596,medium_user_01,password_72,unknown,BCRYPT,False,False,False,True,False,401,False,317.3083856907559,
73,1767744025.1097283,1170596,medium_user_01,password_73,unknown,BCRYPT,False,False,False,True,False,401,False,310.5857552877215,
74,1767744025.420314,1170596,medium_user_01,password_74,unknown,BCRYPT,False,False,False,True,False,401,False,349.9438763916433,
75,1767744025.770258,1170596,medium_user_01,password_75,unknown,BCRYPT,False,False,False,True,False,401,False,377.48050568142787,
76,1767744026.1477385,1170596,medium_user_01,password_76,unknown,BCRYPT,False,False,False,True,False,401,False,361.9821611497425,
77,1767744026.5097206,1170596,medium_user_01,password_77,unknown,BCRYPT,False,False,False,True,False,401,False,384.79767017336627,
78,1767744026.8945181,1170596,medium_user_01,password_78,unknown,BCRYPT,False,False,False,True,False,401,False,348.5579097624618,
79,1767744027.243076,1170596,medium_user_01,password_79,unknown,BCRYPT,False,False,False,True,False,401,False,357.4005744124654,
80,1767744027.6004767,1170596,medium_user_01,password_80,unknown,BCRYPT,False,False,False,True,False,401,False,379.5476828037839,
81,1767744027.9800243,1170596,medium_user_01,password_81,unknown,BCRYPT,False,False,False,True,False,401,False,379.7940903126476,
82,1767744028.3598185,1170596,medium_user_01,password_82,unknown,BCRYPT,False,False,False,True,False,401,False,342.2124386301331,
83,1767744028.702031,1170596,medium_user_01,password_83,unknown,BCRYPT,False,False,False,True,False,401,False,358.81286920560046,
84,1767744029.0608437,1170596,medium_user_01,password_84,unknown,BCRYPT,False,False,False,True,False,401,False,344.3085459571186,
