attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767741000,1170596,medium_user_01,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,387.23926263596707,
2,1767741000.3872392,1170596,medium_user_01,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,365.83213570893076,
3,1767741000.7530713,1170596,medium_user_01,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,313.33342754005815,
4,1767741001.0664048,1170596,medium_user_01,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,337.2664161504881,
5,1767741001.4036713,1170596,medium_user_01,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,338.90253103943485,
6,1767741001.7425737,1170596,medium_user_01,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,316.87104650589276,
7,1767741002.0594447,1170596,medium_user_01,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,354.6101437801766,
8,1767741002.4140549,1170596,medium_user_01,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,391.6934399061057,
9,1767741002.8057482,1170596,medium_user_01,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,343.35614266740475,
10,1767741003.1491044,1170596,medium_user_01,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,303.43142469879535,
11,1767741008.4525359,1170596,medium_user_01,password_11,unknown,BCRYPT,True,False,False,False,False,401,False,312.1001721841706,
12,1767741008.764636,1170596,medium_user_01,password_12,unknown,BCRYPT,True,False,False,False,False,401,False,348.2627450251698,
13,1767741009.1128988,1170596,medium_user_01,password_13,unknown,BCRYPT,True,False,False,False,False,401,False,335.8671262404581,
14,1767741009.448766,1170596,medium_user_01,password_14,unknown,BCRYPT,True,False,False,False,False,401,False,390.90767780504177,
15,1767741009.8396738,1170596,medium_user_01,password_15,unknown,BCRYPT,True,False,False,False,False,401,False,322.41017535886306,
16,1767741010.1620839,1170596,medium_user_01,password_16,unknown,BCRYPT,True,False,False,False,False,401,False,314.70683521088,
17,1767741010.4767907,1170596,medium_user_01,password_17,unknown,BCRYPT,True,False,False,False,False,401,False,342.3175313322714,
18,1767741010.8191082,1170596,medium_user_01,password_18,unknown,BCRYPT,True,False,False,False,False,401,False,388.3489317551367,
19,1767741011.207457,1170596,medium_user_01,password_19,unknown,BCRYPT,True,False,False,False,False,401,False,301.68559382717086,
20,1767741011.5091426,1170596,medium_user_01,password_20,unknown,BCRYPT,True,False,False,False,False,401,False,303.89341239873244,
21,1767741016.813036,1170596,medium_user_01,password_21,unknown,BCRYPT,True,False,False,False,False,401,False,372.21958769412635,
22,1767741017.1852555,1170596,medium_user_01,password_22,unknown,BCRYPT,True,False,False,False,False,401,False,340.46540454159594,
23,1767741017.5257208,1170596,medium_user_01,password_23,unknown,BCRYPT,True,False,False,False,False,401,False,315.7775975191556,
24,1767741017.8414984,1170596,medium_user_01,password_24,unknown,BCRYPT,True,False,False,False,False,401,False,383.7047985514214,
25,1767741018.2252033,1170596,medium_user_01,password_25,unknown,BCRYPT,True,False,False,False,False,401,False,365.51559857878664,
26,1767741018.590719,1170596,medium_user_01,password_26,unknown,BCRYPT,True,False,False,False,False,401,False,305.1568280163058,
27,1767741018.895876,1170596,medium_user_01,password_27,unknown,BCRYPT,True,False,False,False,False,401,False,356.7841644527138,
28,1767741019.25266,1170596,medium_user_01,password_28,unknown,BCRYPT,True,False,False,False,False,401,False,396.54419867394057,
29,1767741019.6492043,1170596,medium_user_01,password_29,unknown,BCRYPT,True,False,False,False,False,401,False,346.5388503075829,
30,1767741019.995743,1170596,medium_user_01,password_30,unknown,BCRYPT,True,False,False,False,False,401,False,343.3334193517144,
31,1767741025.3390765,1170596,medium_user_01,password_31,unknown,BCRYPT,True,False,False,False,False,401,False,361.34725844417807,
32,1767741025.7004237,1170596,medium_user_01,password_32,unknown,BCRYPT,True,False,False,False,False,401,False,304.6598339640624,
33,1767741026.0050836,1170596,medium_user_01,password_33,unknown,BCRYPT,True,False,False,False,False,401,False,397.1081005218681,
34,1767741026.4021916,1170596,medium_user_01,password_34,unknown,BCRYPT,True,False,False,False,False,401,False,313.66585152612646,
35,1767741026.7158575,1170596,medium_user_01,password_35,unknown,BCRYPT,True,False,False,False,False,401,False,377.44552200431394,
36,1767741027.093303,1170596,medium_user_01,password_36,unknown,BCRYPT,True,False,False,False,False,401,False,397.6824337597179,
37,1767741027.4909854,1170596,medium_user_01,password_37,unknown,BCRYPT,True,False,False,False,False,401,False,394.30563027938206,
38,1767741027.885291,1170596,medium_user_01,password_38,unknown,BCRYPT,True,False,False,False,False,401,False,312.2534272017494,
39,1767741028.1975446,1170596,medium_user_01,password_39,unknown,BCRYPT,True,False,False,False,False,401,False,395.98237568267945,
40,1767741028.5935268,1170596,medium_user_01,password_40,unknown,BCRYPT,True,False,False,False,False,401,False,392.28605552252594,
41,1767741033.985813,1170596,medium_user_01,password_41,unknown,BCRYPT,True,False,False,False,False,401,False,331.35068781341545,
42,1767741034.3171637,1170596,medium_user_01,password_42,unknown,BCRYPT,True,False,False,False,False,401,False,396.93068028812604,
43,1767741034.7140944,1170596,medium_user_01,password_43,unknown,BCRYPT,True,False,False,False,False,401,False,339.65028039679345,
44,1767741035.0537448,1170596,medium_user_01,password_44,unknown,BCRYPT,True,False,False,False,False,401,False,353.99797737373603,
45,1767741035.4077427,1170596,medium_user_01,password_45,unknown,BCRYPT,True,False,False,False,False,401,False,320.9464806512666,
46,1767741035.7286892,1170596,medium_user_01,password_46,unknown,BCRYPT,True,False,False,False,False,401,False,362.38301600989155,
47,1767741036.0910723,1170596,medium_user_01,password_47,unknown,BCRYPT,True,False,False,False,False,401,False,389.1003177269592,
48,1767741036.4801726,1170596,medium_user_01,password_48,unknown,BCRYPT,True,False,False,False,False,401,False,311.7653548644306,
49,1767741036.791938,1170596,medium_user_01,password_49,unknown,BCRYPT,True,False,False,False,False,401,False,352.28598610631343,
50,1767741037.1442242,1170596,medium_user_01,password_50,unknown,BCRYPT,True,False,False,False,False,401,False,377.8074834108188,
51,1767741042.5220315,1170596,medium_user_01,password_51,unknown,BCRYPT,True,False,False,False,False,401,False,342.68818302251657,
52,1767741042.8647196,1170596,medium_user_01,password_52,unknown,BCRYPT,True,False,False,False,False,401,False,322.58626472077674,
53,1767741043.187306,1170596,medium_user_01,password_53,unknown,BCRYPT,True,False,False,False,False,401,False,332.22896223510406,
54,1767741043.5195348,1170596,medium_user_01,password_54,unknown,BCRYPT,True,False,False,False,False,401,False,303.019325790847,
55,1767741043.822554,1170596,medium_user_01,password_55,unknown,BCRYPT,True,False,False,False,False,401,False,353.2497924281505,
56,1767741044.175804,1170596,medium_user_01,password_56,unknown,BCRYPT,True,False,False,False,False,401,False,392.2784395349588,
57,1767741044.5680823,1170596,medium_user_01,password_57,unknown,BCRYPT,True,False,False,False,False,401,False,308.9142585685644,
58,1767741044.8769965,1170596,medium_user_01,password_58,unknown,BCRYPT,True,False,False,False,False,401,False,311.75817585217163,
59,1767741045.1887548,1170596,medium_user_01,password_59,unknown,BCRYPT,True,False,False,False,False,401,False,321.92085606147634,
60,1767741045.5106757,1170596,medium_user_01,password_60,unknown,BCRYPT,True,False,False,False,False,401,False,366.797463467952,
61,1767741050.877473,1170596,medium_user_01,password_61,unknown,BCRYPT,True,False,False,False,False,401,False,314.2320667368907,
62,1767741051.1917052,1170596,medium_user_01,password_62,unknown,BCRYPT,True,False,False,False,False,401,False,350.7267893290802,
63,1767741051.542432,1170596,medium_user_01,password_63,unknown,BCRYPT,True,False,False,False,False,401,False,341.9767134317826,
64,1767741051.8844087,1170596,medium_user_01,password_64,unknown,BCRYPT,True,False,False,False,False,401,False,335.95081909449266,
65,1767741052.2203596,1170596,medium_user_01,password_65,unknown,BCRYPT,True,False,False,False,False,401,False,359.6684771022919,
66,1767741052.580028,1170596,medium_user_01,password_66,unknown,BCRYPT,True,False,False,False,False,401,False,386.7990219400504,
67,1767741052.9668272,1170596,medium_user_01,password_67,unknown,BCRYPT,True,False,False,False,False,401,False,399.15120802491407,
68,1767741053.3659785,1170596,medium_user_01,password_68,unknown,BCRYPT,True,False,False,False,False,401,False,356.00268825413764,
69,1767741053.721981,1170596,medium_user_01,password_69,unknown,BCRYPT,True,False,False,False,False,401,False,318.0067477120782,
70,1767741054.0399878,1170596,medium_user_01,password_70,unknown,BCRYPT,True,False,False,False,False,401,False,394.65576586174734,
71,1767741059.4346435,1170596,medium_user_01,password_71,unknown,BCRYPT,True,False,False,False,False,401,False,399.6136585405859,
72,1767741059.8342571,1170596,medium_user_01,password_72,unknown,BCRYPT,True,False,False,False,False,401,False,369.1053693750104,
73,1767741060.2033625,1170596,medium_user_01,password_73,unknown,BCRYPT,True,False,False,False,False,401,False,394.75285630928016,
74,1767741060.5981152,1170596,medium_user_01,password_74,unknown,BCRYPT,True,False,False,False,False,401,False,356.9457047919188,
75,1767741060.955061,1170596,medium_user_01,password_75,unknown,BCRYPT,True,False,False,False,False,401,False,353.6641161344178,
76,1767741061.308725,1170596,medium_user_01,password_76,unknown,BCRYPT,True,False,False,False,False,401,False,384.7200080035719,
77,1767741061.6934452,1170596,medium_user_01,password_77,unknown,BCRYPT,True,False,False,False,False,401,False,357.9597602550685,
78,1767741062.051405,1170596,medium_user_01,password_78,unknown,BCRYPT,True,False,False,False,False,401,False,395.0546805322676,
79,1767741062.4464595,1170596,medium_user_01,password_79,unknown,BCRYPT,True,False,False,False,False,401,False,330.47159420221607,
80,1767741062.776931,1170596,medium_user_01,password_80,unknown,BCRYPT,True,False,False,False,False,401,False,392.8792132205477,
81,1767741068.1698103,1170596,medium_user_01,password_81,unknown,BCRYPT,True,False,False,False,False,401,False,329.91857069134744,
82,1767741068.499729,1170596,medium_user_01,password_82,unknown,BCRYPT,True,False,False,False,False,401,False,333.5522467503772,
83,1767741068.8332813,1170596,medium_user_01,password_83,unknown,BCRYPT,True,False,False,False,False,401,False,319.38615334482415,
84,1767741069.1526675,1170596,medium_user_01,password_84,unknown,BCRYPT,True,False,False,False,False,401,False,374.0183579837352,
85,1767741069.526686,1170596,medium_user_01,password_85,unknown,BCRYPT,True,False,False,False,False,401,False,388.99201985174625,
86,1767741069.915678,1170596,medium_user_01,password_86,unknown,BCRYPT,True,False,False,False,False,401,False,357.53961491093827,
87,1767741070.2732177,1170596,medium_user_01,password_87,unknown,BCRYPT,True,False,False,False,False,401,False,331.17194495855625,
88,1767741070.6043897,1170596,medium_user_01,password_88,unknown,BCRYPT,True,False,False,False,False,401,False,372.37005731360205,
89,1767741070.9767597,1170596,medium_user_01,password_89,unknown,BCRYPT,True,False,False,False,False,401,False,385.5484622419992,
90,1767741071.362308,1170596,medium_user_01,password_90,unknown,BCRYPT,True,False,False,False,False,401,False,324.6646513561604,
91,1767741076.6869726,1170596,medium_user_01,password_91,unknown,BCRYPT,True,False,False,False,False,401,False,327.77138216313057,
92,1767741077.014744,1170596,medium_user_01,password_92,unknown,BCRYPT,True,False,False,False,False,401,False,332.44333430529406,
93,1767741077.3471873,1170596,medium_user_01,password_93,unknown,BCRYPT,True,False,False,False,False,401,False,398.3511585677698,
94,1767741077.7455385,1170596,medium_user_01,password_94,unknown,BCRYPT,True,False,False,False,False,401,False,318.0198893788586,
95,1767741078.0635583,1170596,medium_user_01,password_95,unknown,BCRYPT,True,False,False,False,False,401,False,306.08150447301597,
96,1767741078.3696399,1170596,medium_user_01,password_96,unknown,BCRYPT,True,False,False,False,False,401,False,312.9031730619797,
97,1767741078.682543,1170596,medium_user_01,password_97,unknown,BCRYPT,True,False,False,False,False,401,False,342.3561865943575,
98,1767741079.0248992,1170596,medium_user_01,password_98,unknown,BCRYPT,True,False,False,False,False,401,False,369.27705760914597,
