attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767746000,1170596,medium_user_01,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,318.3841546892904,
2,1767746000.3183842,1170596,medium_user_01,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,378.63557155307126,
3,1767746000.6970198,1170596,medium_user_01,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,377.2984526291258,
4,1767746001.0743182,1170596,medium_user_01,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,334.4029110368752,
5,1767746001.408721,1170596,medium_user_01,password_5,unknown,BCRYPT,True,True,False,False,False,401,False,358.9633248544216,
7,1767746302.408721,1170596,medium_user_01,password_7,unknown,BCRYPT,True,True,False,False,False,401,False,317.77917908987183,
8,1767746302.7265,1170596,medium_user_01,password_8,unknown,BCRYPT,True,True,False,False,False,401,False,348.49123084521204,
9,1767746303.0749912,1170596,medium_user_01,password_9,unknown,BCRYPT,True,True,False,False,False,401,False,311.9862341304189,
10,1767746303.3869774,1170596,medium_user_01,password_10,unknown,BCRYPT,True,True,False,False,False,401,False,300.0213942263717,
11,1767746303.6869988,1170596,medium_user_01,password_11,unknown,BCRYPT,True,True,False,False,False,401,False,398.44566523238615,
13,1767746604.6869988,1170596,medium_user_01,password_13,unknown,BCRYPT,True,True,False,False,False,401,False,360.3493729361272,
14,1767746605.0473483,1170596,medium_user_01,password_14,unknown,BCRYPT,True,True,False,False,False,401,False,318.4090379580243,
15,1767746605.3657572,1170596,medium_user_01,password_15,unknown,BCRYPT,True,True,False,False,False,401,False,316.1992952149348,
16,1767746605.6819565,1170596,medium_user_01,password_16,unknown,BCRYPT,True,True,False,False,False,401,False,342.27215655539385,
17,1767746606.0242286,1170596,medium_user_01,password_17,unknown,BCRYPT,True,True,False,False,False,401,False,338.9867997253174,
19,1767746907.0242286,1170596,medium_user_01,password_19,unknown,BCRYPT,True,True,False,False,False,401,False,329.8327779258814,
20,1767746907.3540614,1170596,medium_user_01,password_20,unknown,BCRYPT,True,True,False,False,False,401,False,328.0748759057399,
21,1767746907.6821363,1170596,medium_user_01,password_21,unknown,BCRYPT,True,True,False,False,False,401,False,310.58968036197297,
22,1767746907.992726,1170596,medium_user_01,password_22,unknown,BCRYPT,True,True,False,False,False,401,False,327.3853045712414,
23,1767746908.3201113,1170596,medium_user_01,password_23,unknown,BCRYPT,True,True,False,False,False,401,False,316.17351865176306,
25,1767747209.3201113,1170596,medium_user_01,password_25,unknown,BCRYPT,True,True,False,False,False,401,False,328.75089940436396,
26,1767747209.6488621,1170596,medium_user_01,password_26,unknown,BCRYPT,True,True,False,False,False,401,False,375.35475837670947,
27,1767747210.024217,1170596,medium_user_01,password_27,unknown,BCRYPT,True,True,False,False,False,401,False,387.50604577397075,
28,1767747210.411723,1170596,medium_user_01,password_28,unknown,BCRYPT,True,True,False,False,False,401,False,394.8450135120803,
29,1767747210.806568,1170596,medium_user_01,password_29,unknown,BCRYPT,True,True,False,False,False,401,False,379.5596820301833,
31,1767747511.806568,1170596,medium_user_01,password_31,unknown,BCRYPT,True,True,False,False,False,401,False,373.09158072056175,
32,1767747512.1796596,1170596,medium_user_01,password_32,unknown,BCRYPT,True,True,False,False,False,401,False,393.1718337877892,
33,1767747512.5728314,1170596,medium_user_01,password_33,unknown,BCRYPT,True,True,False,False,False,401,False,303.2002676321559,
34,1767747512.8760316,1170596,medium_user_01,password_34,unknown,BCRYPT,True,True,False,False,False,401,False,338.71152386799554,
35,1767747513.2147431,1170596,medium_user_01,password_35,unknown,BCRYPT,True,True,False,False,False,401,False,342.8720092484092,
37,1767747814.2147431,1170596,medium_user_01,password_37,unknown,BCRYPT,True,True,False,False,False,401,False,362.88085475502726,
38,1767747814.577624,1170596,medium_user_01,password_38,unknown,BCRYPT,True,True,False,False,False,401,False,386.76950010983927,
39,1767747814.9643936,1170596,medium_user_01,password_39,unknown,BCRYPT,True,True,False,False,False,401,False,345.50920326372005,
40,1767747815.309903,1170596,medium_user_01,password_40,unknown,BCRYPT,True,True,False,False,False,401,False,365.8641208948515,
