attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767745000,1170596,medium_user_01,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,326.8083681803505,Invalid TOTP code
2,1767745000.3268085,1170596,medium_user_01,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,305.37330782391484,Invalid TOTP code
3,1767745000.6321816,1170596,medium_user_01,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,391.6072744756732,Invalid TOTP code
4,1767745001.023789,1170596,medium_user_01,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,353.9383695803229,Invalid TOTP code
5,1767745001.3777273,1170596,medium_user_01,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,356.55404928323594,Invalid TOTP code
6,1767745001.7342813,1170596,medium_user_01,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,376.3373297498176,Invalid TOTP code
7,1767745002.1106186,1170596,medium_user_01,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,347.3544071363033,Invalid TOTP code
8,1767745002.457973,1170596,medium_user_01,password_8,unknown,BCRYPT,False,False,False,False,True,401,False,398.8025391451097,Invalid TOTP code
9,1767745002.8567755,1170596,medium_user_01,password_9,unknown,BCRYPT,False,False,False,False,True,401,False,305.2468196663859,Invalid TOTP code
10,1767745003.1620224,1170596,medium_user_01,password_10,unknown,BCRYPT,False,False,False,False,True,401,False,365.89301304348066,Invalid TOTP code
11,1767745003.5279155,1170596,medium_user_01,password_11,unknown,BCRYPT,False,False,False,False,True,401,False,333.45996552945314,Invalid TOTP code
12,1767745003.8613753,1170596,medium_user_01,password_12,unknown,BCRYPT,False,False,False,False,True,401,False,336.70267218873136,Invalid TOTP code
13,1767745004.198078,1170596,medium_user_01,password_13,unknown,BCRYPT,False,False,False,False,True,401,False,345.7142526439843,Invalid TOTP code
14,1767745004.5437922,1170596,medium_user_01,password_14,unknown,BCRYPT,False,False,False,False,True,401,False,389.61573521488907,Invalid TOTP code
15,1767745004.933408,1170596,medium_user_01,password_15,unknown,BCRYPT,False,False,False,False,True,401,False,359.7753067329954,Invalid TOTP code
16,1767745005.2931833,1170596,medium_user_01,password_16,unknown,BCRYPT,False,False,False,False,True,401,False,348.54741490916047,Invalid TOTP code
17,1767745005.6417308,1170596,medium_user_01,password_17,unknown,BCRYPT,False,False,False,False,True,401,False,342.5647978048554,Invalid TOTP code
18,1767745005.9842956,1170596,medium_user_01,password_18,unknown,BCRYPT,False,False,False,False,True,401,False,300.02281742470433,Invalid TOTP code
19,1767745006.2843184,1170596,medium_user_01,password_19,unknown,BCRYPT,False,False,False,False,True,401,False,317.8666982974147,Invalid TOTP code
20,1767745006.6021852,1170596,medium_user_01,password_20,unknown,BCRYPT,False,False,False,False,True,401,False,312.7849591740717,Invalid TOTP code
21,1767745006.9149702,1170596,medium_user_01,password_21,unknown,BCRYPT,False,False,False,False,True,401,False,366.51062343794536,Invalid TOTP code
22,1767745007.2814808,1170596,medium_user_01,password_22,unknown,BCRYPT,False,False,False,False,True,401,False,329.8202819935768,Invalid TOTP code
23,1767745007.6113012,1170596,medium_user_01,password_23,unknown,BCRYPT,False,False,False,False,True,401,False,309.04753007757563,Invalid TOTP code
24,1767745007.9203486,1170596,medium_user_01,password_24,unknown,BCRYPT,False,False,False,False,True,401,False,390.01858589864963,Invalid TOTP code
25,1767745008.3103673,1170596,medium_user_01,password_25,unknown,BCRYPT,False,False,False,False,True,401,False,314.40614074496244,Invalid TOTP code
26,1767745008.6247735,1170596,medium_user_01,password_26,unknown,BCRYPT,False,False,False,False,True,401,False,382.4197323901904,Invalid TOTP code
27,1767745009.0071933,1170596,medium_user_01,password_27,unknown,BCRYPT,False,False,False,False,True,401,False,374.5036058192529,Invalid TOTP code
28,1767745009.381697,1170596,medium_user_01,password_28,unknown,BCRYPT,False,False,False,False,True,401,False,328.7540589700887,Invalid TOTP code
29,1767745009.710451,1170596,medium_user_01,password_29,unknown,BCRYPT,False,False,False,False,True,401,False,387.3690268918888,Invalid TOTP code
30,1767745010.0978198,1170596,medium_user_01,password_30,unknown,BCRYPT,False,False,False,False,True,401,False,354.9121843988308,Invalid TOTP code
31,1767745010.452732,1170596,medium_user_01,password_31,unknown,BCRYPT,False,False,False,False,True,401,False,340.33668345347206,Invalid TOTP code
32,1767745010.793069,1170596,medium_user_01,password_32,unknown,BCRYPT,False,False,False,False,True,401,False,350.4010582808837,Invalid TOTP code
33,1767745011.14347,1170596,medium_user_01,password_33,unknown,BCRYPT,False,False,False,False,True,401,False,370.19300537539795,Invalid TOTP code
34,1767745011.513663,1170596,medium_user_01,password_34,unknown,BCRYPT,False,False,False,False,True,401,False,324.5518429074347,Invalid TOTP code
35,1767745011.8382149,1170596,medium_user_01,password_35,unknown,BCRYPT,False,False,False,False,True,401,False,392.94521041763727,Invalid TOTP code
36,1767745012.2311602,1170596,medium_user_01,password_36,unknown,BCRYPT,False,False,False,False,True,401,False,367.8576780604611,Invalid TOTP code
37,1767745012.5990179,1170596,medium_user_01,password_37,unknown,BCRYPT,False,False,False,False,True,401,False,333.28220022043024,Invalid TOTP code
38,1767745012.9323,1170596,medium_user_01,password_38,unknown,BCRYPT,False,False,False,False,True,401,False,348.8976415303332,Invalid TOTP code
39,1767745013.2811978,1170596,medium_user_01,password_39,unknown,BCRYPT,False,False,False,False,True,401,False,362.4301920641136,Invalid TOTP code
40,1767745013.643628,1170596,medium_user_01,password_40,unknown,BCRYPT,False,False,False,False,True,401,False,383.9699138649921,Invalid TOTP code
41,1767745014.027598,1170596,medium_user_01,password_41,unknown,BCRYPT,False,False,False,False,True,401,False,365.00593311987205,Invalid TOTP code
42,1767745014.3926039,1170596,medium_user_01,password_42,unknown,BCRYPT,False,False,False,False,True,401,False,358.58841608212424,Invalid TOTP code
43,1767745014.7511923,1170596,medium_user_01,password_43,unknown,BCRYPT,False,False,False,False,True,401,False,368.19182236620634,Invalid TOTP code
44,1767745015.119384,1170596,medium_user_01,password_44,unknown,BCRYPT,False,False,False,False,True,401,False,338.38251841361364,Invalid TOTP code
45,1767745015.4577665,1170596,medium_user_01,password_45,unknown,BCRYPT,False,False,False,False,True,401,False,361.3028526164156,Invalid TOTP code
46,1767745015.8190694,1170596,medium_user_01,password_46,unknown,BCRYPT,False,False,False,False,True,401,False,336.76330695392676,Invalid TOTP code
47,1767745016.1558328,1170596,medium_user_01,password_47,unknown,BCRYPT,False,False,False,False,True,401,False,381.8015199131908,Invalid TOTP code
48,1767745016.5376344,1170596,medium_user_01,password_48,unknown,BCRYPT,False,False,False,False,True,401,False,351.34655661012596,Invalid TOTP code
49,1767745016.8889809,1170596,medium_user_01,password_49,unknown,BCRYPT,False,False,False,False,True,401,False,376.1018126958279,Invalid TOTP code
50,1767745017.2650826,1170596,medium_user_01,password_50,unknown,BCRYPT,False,False,False,False,True,401,False,304.8329659284768,Invalid TOTP code
51,1767745017.5699155,1170596,medium_user_01,password_51,unknown,BCRYPT,False,False,False,False,True,401,False,396.48903891650946,Invalid TOTP code
52,1767745017.9664047,1170596,medium_user_01,password_52,unknown,BCRYPT,False,False,False,False,True,401,False,361.12231800889754,Invalid TOTP code
53,1767745018.327527,1170596,medium_user_01,password_53,unknown,BCRYPT,False,False,False,False,True,401,False,376.80209646595915,Invalid TOTP code
54,1767745018.7043293,1170596,medium_user_01,password_54,unknown,BCRYPT,False,False,False,False,True,401,False,331.04626261143557,Invalid TOTP code
55,1767745019.0353756,1170596,medium_user_01,password_55,unknown,BCRYPT,False,False,False,False,True,401,False,366.3039938548859,Invalid TOTP code
56,1767745019.4016795,1170596,medium_user_01,password_56,unknown,BCRYPT,False,False,False,False,True,401,False,342.81571973795013,Invalid TOTP code
57,1767745019.7444952,1170596,medium_user_01,password_57,unknown,BCRYPT,False,False,False,False,True,401,False,383.4360090681262,Invalid TOTP code
