attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767712000,1170596,medium_user_01,password_1,unknown,SHA256,False,True,False,False,False,401,False,113.35080989441691,
2,1767712000.1133509,1170596,medium_user_01,password_2,unknown,SHA256,False,True,False,False,False,401,False,181.26691804461205,
3,1767712000.294618,1170596,medium_user_01,password_3,unknown,SHA256,False,True,False,False,False,401,False,115.48465834940419,
4,1767712000.4101026,1170596,medium_user_01,password_4,unknown,SHA256,False,True,False,False,False,401,False,179.4826224247135,
5,1767712000.5895853,1170596,medium_user_01,password_5,unknown,SHA256,False,True,False,False,False,401,False,143.18534250273257,
7,1767712301.5895853,1170596,medium_user_01,password_7,unknown,SHA256,False,True,False,False,False,401,False,189.61049641725938,
8,1767712301.7791958,1170596,medium_user_01,password_8,unknown,SHA256,False,True,False,False,False,401,False,104.80682408511684,
9,1767712301.8840027,1170596,medium_user_01,password_9,unknown,SHA256,False,True,False,False,False,401,False,121.1688652091948,
10,1767712302.0051715,1170596,medium_user_01,password_10,unknown,SHA256,False,True,False,False,False,401,False,195.58682748877214,
11,1767712302.2007585,1170596,medium_user_01,password_11,unknown,SHA256,False,True,False,False,False,401,False,101.20062346458408,
13,1767712603.2007585,1170596,medium_user_01,password_13,unknown,SHA256,False,True,False,False,False,401,False,141.55042803867678,
14,1767712603.342309,1170596,medium_user_01,password_14,unknown,SHA256,False,True,False,False,False,401,False,171.0315882138866,
15,1767712603.5133405,1170596,medium_user_01,password_15,unknown,SHA256,False,True,False,False,False,401,False,153.48473983153517,
16,1767712603.6668253,1170596,medium_user_01,password_16,unknown,SHA256,False,True,False,False,False,401,False,162.0025044948377,
17,1767712603.8288279,1170596,medium_user_01,password_17,unknown,SHA256,False,True,False,False,False,401,False,192.7240070616696,
19,1767712904.8288279,1170596,medium_user_01,password_19,unknown,SHA256,False,True,False,False,False,401,False,106.15092915482255,
20,1767712904.9349787,1170596,medium_user_01,password_20,unknown,SHA256,False,True,False,False,False,401,False,106.9573925776862,
21,1767712905.0419362,1170596,medium_user_01,password_21,unknown,SHA256,False,True,False,False,False,401,False,185.25886698499903,
22,1767712905.227195,1170596,medium_user_01,password_22,unknown,SHA256,False,True,False,False,False,401,False,144.27763099936888,
23,1767712905.3714726,1170596,medium_user_01,password_23,unknown,SHA256,False,True,False,False,False,401,False,172.24592015384573,
25,1767713206.3714726,1170596,medium_user_01,password_25,unknown,SHA256,False,True,False,False,False,401,False,175.80107390295376,
26,1767713206.5472736,1170596,medium_user_01,password_26,unknown,SHA256,False,True,False,False,False,401,False,133.46288370898472,
27,1767713206.6807365,1170596,medium_user_01,password_27,unknown,SHA256,False,True,False,False,False,401,False,190.32240526788263,
28,1767713206.871059,1170596,medium_user_01,password_28,unknown,SHA256,False,True,False,False,False,401,False,120.9311544444368,
29,1767713206.99199,1170596,medium_user_01,password_29,unknown,SHA256,False,True,False,False,False,401,False,126.78116455642164,
31,1767713507.99199,1170596,medium_user_01,password_31,unknown,SHA256,False,True,False,False,False,401,False,117.22126229347168,
32,1767713508.1092114,1170596,medium_user_01,password_32,unknown,SHA256,False,True,False,False,False,401,False,182.85981530432696,
