attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767710000,1170596,medium_user_01,password_1,unknown,SHA256,False,False,False,False,False,401,False,140.50266411490853,
2,1767710000.1405027,1170596,medium_user_01,password_2,unknown,SHA256,False,False,False,False,False,401,False,194.4302745004944,
3,1767710000.334933,1170596,medium_user_01,password_3,unknown,SHA256,False,False,False,False,False,401,False,176.45088504072532,
4,1767710000.511384,1170596,medium_user_01,password_4,unknown,SHA256,False,False,False,False,False,401,False,124.12334865645306,
5,1767710000.6355073,1170596,medium_user_01,password_5,unknown,SHA256,False,False,False,False,False,401,False,196.91192763071655,
6,1767710000.8324192,1170596,medium_user_01,password_6,unknown,SHA256,False,False,False,False,False,401,False,114.06256538447687,
7,1767710000.9464817,1170596,medium_user_01,password_7,unknown,SHA256,False,False,False,False,False,401,False,117.96560458087635,
8,1767710001.0644474,1170596,medium_user_01,password_8,unknown,SHA256,False,False,False,False,False,401,False,124.37067292320492,
9,1767710001.188818,1170596,medium_user_01,password_9,unknown,SHA256,False,False,False,False,False,401,False,169.0845967509699,
10,1767710001.3579025,1170596,medium_user_01,password_10,unknown,SHA256,False,False,False,False,False,401,False,146.26023206091364,
11,1767710001.5041628,1170596,medium_user_01,password_11,unknown,SHA256,False,False,False,False,False,401,False,199.28279450367828,
12,1767710001.7034457,1170596,medium_user_01,password_12,unknown,SHA256,False,False,False,False,False,401,False,194.07251301833173,
13,1767710001.8975182,1170596,medium_user_01,password_13,unknown,SHA256,False,False,False,False,False,401,False,109.26019849150192,
14,1767710002.0067782,1170596,medium_user_01,password_14,unknown,SHA256,False,False,False,False,False,401,False,188.1407218869054,
15,1767710002.1949189,1170596,medium_user_01,password_15,unknown,SHA256,False,False,False,False,False,401,False,193.9962972822624,
16,1767710002.388915,1170596,medium_user_01,password_16,unknown,SHA256,False,False,False,False,False,401,False,168.04207465851692,
17,1767710002.5569572,1170596,medium_user_01,password_17,unknown,SHA256,False,False,False,False,False,401,False,155.1509331375742,
18,1767710002.7121081,1170596,medium_user_01,password_18,unknown,SHA256,False,False,False,False,False,401,False,136.85352643239986,
19,1767710002.8489616,1170596,medium_user_01,password_19,unknown,SHA256,False,False,False,False,False,401,False,178.7622616642489,
20,1767710003.0277238,1170596,medium_user_01,password_20,unknown,SHA256,False,False,False,False,False,401,False,110.8378860629604,
21,1767710003.1385617,1170596,medium_user_01,password_21,unknown,SHA256,False,False,False,False,False,401,False,114.26802294226208,
22,1767710003.2528298,1170596,medium_user_01,password_22,unknown,SHA256,False,False,False,False,False,401,False,115.69290451973441,
23,1767710003.3685226,1170596,medium_user_01,password_23,unknown,SHA256,False,False,False,False,False,401,False,125.35503571877904,
24,1767710003.4938776,1170596,medium_user_01,password_24,unknown,SHA256,False,False,False,False,False,401,False,164.39085586822188,
25,1767710003.6582685,1170596,medium_user_01,password_25,unknown,SHA256,False,False,False,False,False,401,False,187.2488942056219,
26,1767710003.8455174,1170596,medium_user_01,password_26,unknown,SHA256,False,False,False,False,False,401,False,177.26038481646916,
27,1767710004.0227778,1170596,medium_user_01,password_27,unknown,SHA256,False,False,False,False,False,401,False,165.06983492518773,
28,1767710004.1878476,1170596,medium_user_01,password_28,unknown,SHA256,False,False,False,False,False,401,False,121.33370899850941,
29,1767710004.3091812,1170596,medium_user_01,password_29,unknown,SHA256,False,False,False,False,False,401,False,128.15418679595297,
30,1767710004.4373355,1170596,medium_user_01,password_30,unknown,SHA256,False,False,False,False,False,401,False,167.95784657477563,
31,1767710004.6052933,1170596,medium_user_01,password_31,unknown,SHA256,False,False,False,False,False,401,False,127.70767393930072,
32,1767710004.733001,1170596,medium_user_01,password_32,unknown,SHA256,False,False,False,False,False,401,False,156.39041069081026,
33,1767710004.8893914,1170596,medium_user_01,password_33,unknown,SHA256,False,False,False,False,False,401,False,178.0851537356023,
34,1767710005.0674765,1170596,medium_user_01,password_34,unknown,SHA256,False,False,False,False,False,401,False,107.88894414278627,
35,1767710005.1753654,1170596,medium_user_01,password_35,unknown,SHA256,False,False,False,False,False,401,False,150.6420101376466,
36,1767710005.3260074,1170596,medium_user_01,password_36,unknown,SHA256,False,False,False,False,False,401,False,178.46768160181813,
37,1767710005.504475,1170596,medium_user_01,password_37,unknown,SHA256,False,False,False,False,False,401,False,183.40805306673516,
38,1767710005.6878831,1170596,medium_user_01,password_38,unknown,SHA256,False,False,False,False,False,401,False,169.54770603601008,
39,1767710005.857431,1170596,medium_user_01,password_39,unknown,SHA256,False,False,False,False,False,401,False,121.44726792406026,
40,1767710005.9788783,1170596,medium_user_01,password_40,unknown,SHA256,False,False,False,False,False,401,False,122.79525834849431,
41,1767710006.1016736,1170596,medium_user_01,password_41,unknown,SHA256,False,False,False,False,False,401,False,154.8596522313224,
42,1767710006.2565331,1170596,medium_user_01,password_42,unknown,SHA256,False,False,False,False,False,401,False,146.68317287045187,
43,1767710006.4032164,1170596,medium_user_01,password_43,unknown,SHA256,False,False,False,False,False,401,False,124.49537280593653,
44,1767710006.5277116,1170596,medium_user_01,password_44,unknown,SHA256,False,False,False,False,False,401,False,109.62250055146866,
45,1767710006.637334,1170596,medium_user_01,password_45,unknown,SHA256,False,False,False,False,False,401,False,104.62023242887986,
46,1767710006.7419543,1170596,medium_user_01,password_46,unknown,SHA256,False,False,False,False,False,401,False,189.20352984216146,
47,1767710006.9311578,1170596,medium_user_01,password_47,unknown,SHA256,False,False,False,False,False,401,False,171.35507475721693,
48,1767710007.1025128,1170596,medium_user_01,password_48,unknown,SHA256,False,False,False,False,False,401,False,107.65486476747013,
49,1767710007.2101676,1170596,medium_user_01,password_49,unknown,SHA256,False,False,False,False,False,401,False,194.6227100196829,
50,1767710007.4047904,1170596,medium_user_01,password_50,unknown,SHA256,False,False,False,False,False,401,False,132.22345324432683,
51,1767710007.5370138,1170596,medium_user_01,password_51,unknown,SHA256,False,False,False,False,False,401,False,116.78034483898756,
52,1767710007.653794,1170596,medium_user_01,password_52,unknown,SHA256,False,False,False,False,False,401,False,147.97271652710944,
53,1767710007.8017669,1170596,medium_user_01,password_53,unknown,SHA256,False,False,False,False,False,401,False,178.35061489214567,
54,1767710007.9801176,1170596,medium_user_01,password_54,unknown,SHA256,False,False,False,False,False,401,False,199.24376553222717,
55,1767710008.1793613,1170596,medium_user_01,password_55,unknown,SHA256,False,False,False,False,False,401,False,177.72644037826154,
56,1767710008.3570879,1170596,medium_user_01,password_56,unknown,SHA256,False,False,False,False,False,401,False,100.49697907348316,
57,1767710008.4575849,1170596,medium_user_01,password_57,unknown,SHA256,False,False,False,False,False,401,False,142.25515172466663,
58,1767710008.59984,1170596,medium_user_01,password_58,unknown,SHA256,False,False,False,False,False,401,False,129.95654992842006,
59,1767710008.7297964,1170596,medium_user_01,password_59,unknown,SHA256,False,False,False,False,False,401,False,146.4565882925167,
60,1767710008.876253,1170596,medium_user_01,password_60,unknown,SHA256,False,False,False,False,False,401,False,159.8198571938297,
61,1767710009.0360727,1170596,medium_user_01,password_61,unknown,SHA256,False,False,False,False,False,401,False,151.34176865268648,
62,1767710009.1874144,1170596,medium_user_01,password_62,unknown,SHA256,False,False,False,False,False,401,False,141.2259643879833,
63,1767710009.3286405,1170596,medium_user_01,password_63,unknown,SHA256,False,False,False,False,False,401,False,106.05702735223534,
64,1767710009.4346974,1170596,medium_user_01,password_64,unknown,SHA256,False,False,False,False,False,401,False,168.24606656988888,
65,1767710009.6029434,1170596,medium_user_01,password_65,unknown,SHA256,False,False,False,False,False,401,False,142.61988433320005,
66,1767710009.7455633,1170596,medium_user_01,password_66,unknown,SHA256,False,False,False,False,False,401,False,170.470069669584,
