attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767714000,1170596,medium_user_01,password_1,unknown,SHA256,False,False,False,True,False,401,False,142.74733407353278,
2,1767714000.1427474,1170596,medium_user_01,password_2,unknown,SHA256,False,False,False,True,False,401,False,172.40728677783835,
3,1767714000.3151548,1170596,medium_user_01,password_3,unknown,SHA256,False,False,False,True,False,401,False,188.83896213180924,
4,1767714000.5039937,1170596,medium_user_01,password_4,unknown,SHA256,False,False,False,True,False,401,False,142.76807575703322,
5,1767714000.646762,1170596,medium_user_01,password_5,unknown,SHA256,False,False,False,True,False,401,False,195.41501400825047,
6,1767714000.842177,1170596,medium_user_01,password_6,unknown,SHA256,False,False,False,True,False,401,False,129.2695415408214,
7,1767714000.9714465,1170596,medium_user_01,password_7,unknown,SHA256,False,False,False,True,False,401,False,115.431779057661,
8,1767714001.0868783,1170596,medium_user_01,password_8,unknown,SHA256,False,False,False,True,False,401,False,198.05649434015788,
9,1767714001.2849348,1170596,medium_user_01,password_9,unknown,SHA256,False,False,False,True,False,401,False,141.6920353936941,
10,1767714001.4266267,1170596,medium_user_01,password_10,unknown,SHA256,False,False,False,True,False,401,False,199.4386876452175,
11,1767714001.6260653,1170596,medium_user_01,password_11,unknown,SHA256,False,False,False,True,False,401,False,180.02361833551493,
12,1767714001.806089,1170596,medium_user_01,password_12,unknown,SHA256,False,False,False,True,False,401,False,185.75708827032844,
13,1767714001.991846,1170596,medium_user_01,password_13,unknown,SHA256,False,False,False,True,False,401,False,188.08941392080936,
14,1767714002.1799355,1170596,medium_user_01,password_14,unknown,SHA256,False,False,False,True,False,401,False,192.95797323595542,
15,1767714002.3728933,1170596,medium_user_01,password_15,unknown,SHA256,False,False,False,True,False,401,False,132.70653825273413,
16,1767714002.5056,1170596,medium_user_01,password_16,unknown,SHA256,False,False,False,True,False,401,False,128.49888640059413,
17,1767714002.6340988,1170596,medium_user_01,password_17,unknown,SHA256,False,False,False,True,False,401,False,119.24612368715032,
18,1767714002.7533448,1170596,medium_user_01,password_18,unknown,SHA256,False,False,False,True,False,401,False,121.70429106575065,
19,1767714002.875049,1170596,medium_user_01,password_19,unknown,SHA256,False,False,False,True,False,401,False,136.02661010363937,
20,1767714003.0110757,1170596,medium_user_01,password_20,unknown,SHA256,False,False,False,True,False,401,False,183.4960610193354,
21,1767714003.1945717,1170596,medium_user_01,password_21,unknown,SHA256,False,False,False,True,False,401,False,126.22347301496808,
22,1767714003.3207953,1170596,medium_user_01,password_22,unknown,SHA256,False,False,False,True,False,401,False,111.33700772785849,
23,1767714003.4321322,1170596,medium_user_01,password_23,unknown,SHA256,False,False,False,True,False,401,False,122.73646236838904,
24,1767714003.5548687,1170596,medium_user_01,password_24,unknown,SHA256,False,False,False,True,False,401,False,177.08291595397657,
25,1767714003.7319517,1170596,medium_user_01,password_25,unknown,SHA256,False,False,False,True,False,401,False,142.79775061879738,
26,1767714003.8747494,1170596,medium_user_01,password_26,unknown,SHA256,False,False,False,True,False,401,False,152.52673532359142,
27,1767714004.027276,1170596,medium_user_01,password_27,unknown,SHA256,False,False,False,True,False,401,False,146.3731273223783,
28,1767714004.173649,1170596,medium_user_01,password_28,unknown,SHA256,False,False,False,True,False,401,False,149.31599612933022,
29,1767714004.3229651,1170596,medium_user_01,password_29,unknown,SHA256,False,False,False,True,False,401,False,159.7746819661456,
30,1767714004.48274,1170596,medium_user_01,password_30,unknown,SHA256,False,False,False,True,False,401,False,107.14629500725137,
31,1767714004.5898862,1170596,medium_user_01,password_31,unknown,SHA256,False,False,False,True,False,401,False,140.72421106421154,
32,1767714004.7306104,1170596,medium_user_01,password_32,unknown,SHA256,False,False,False,True,False,401,False,166.6058563157248,
33,1767714004.8972163,1170596,medium_user_01,password_33,unknown,SHA256,False,False,False,True,False,401,False,109.89055150417668,
34,1767714005.0071068,1170596,medium_user_01,password_34,unknown,SHA256,False,False,False,True,False,401,False,123.41489041970203,
35,1767714005.1305218,1170596,medium_user_01,password_35,unknown,SHA256,False,False,False,True,False,401,False,131.1104767874211,
36,1767714005.2616322,1170596,medium_user_01,password_36,unknown,SHA256,False,False,False,True,False,401,False,153.5328038515907,
37,1767714005.415165,1170596,medium_user_01,password_37,unknown,SHA256,False,False,False,True,False,401,False,120.81845902545024,
38,1767714005.5359833,1170596,medium_user_01,password_38,unknown,SHA256,False,False,False,True,False,401,False,152.2224709234993,
39,1767714005.6882057,1170596,medium_user_01,password_39,unknown,SHA256,False,False,False,True,False,401,False,171.69584347795734,
40,1767714005.8599017,1170596,medium_user_01,password_40,unknown,SHA256,False,False,False,True,False,401,False,157.3748697424145,
41,1767714006.0172765,1170596,medium_user_01,password_41,unknown,SHA256,False,False,False,True,False,401,False,115.32802868154286,
42,1767714006.1326046,1170596,medium_user_01,password_42,unknown,SHA256,False,False,False,True,False,401,False,197.23140104220448,
43,1767714006.329836,1170596,medium_user_01,password_43,unknown,SHA256,False,False,False,True,False,401,False,177.1404340741983,
44,1767714006.5069764,1170596,medium_user_01,password_44,unknown,SHA256,False,False,False,True,False,401,False,133.9493589919682,
45,1767714006.6409256,1170596,medium_user_01,password_45,unknown,SHA256,False,False,False,True,False,401,False,104.51495407141205,
46,1767714006.7454405,1170596,medium_user_01,password_46,unknown,SHA256,False,False,False,True,False,401,False,149.29539405804687,
47,1767714006.8947358,1170596,medium_user_01,password_47,unknown,SHA256,False,False,False,True,False,401,False,192.9200507595003,
48,1767714007.0876558,1170596,medium_user_01,password_48,unknown,SHA256,False,False,False,True,False,401,False,147.19069805815093,
