attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767716000,1170596,medium_user_01,password_1,unknown,SHA256,True,True,False,False,False,401,False,143.59649414793728,
2,1767716000.1435964,1170596,medium_user_01,password_2,unknown,SHA256,True,True,False,False,False,401,False,180.86511346125488,
3,1767716000.3244615,1170596,medium_user_01,password_3,unknown,SHA256,True,True,False,False,False,401,False,121.33368482893435,
4,1767716000.445795,1170596,medium_user_01,password_4,unknown,SHA256,True,True,False,False,False,401,False,193.52831940025874,
5,1767716000.6393235,1170596,medium_user_01,password_5,unknown,SHA256,True,True,False,False,False,401,False,139.31326998249486,
7,1767716301.6393235,1170596,medium_user_01,password_7,unknown,SHA256,True,True,False,False,False,401,False,142.28176816041125,
8,1767716301.7816052,1170596,medium_user_01,password_8,unknown,SHA256,True,True,False,False,False,401,False,167.45487700127072,
9,1767716301.9490602,1170596,medium_user_01,password_9,unknown,SHA256,True,True,False,False,False,401,False,161.4828837690089,
10,1767716302.110543,1170596,medium_user_01,password_10,unknown,SHA256,True,True,False,False,False,401,False,177.06097443926785,
11,1767716302.287604,1170596,medium_user_01,password_11,unknown,SHA256,True,True,False,False,False,401,False,122.39995667982637,
13,1767716603.287604,1170596,medium_user_01,password_13,unknown,SHA256,True,True,False,False,False,401,False,149.62595159068718,
14,1767716603.43723,1170596,medium_user_01,password_14,unknown,SHA256,True,True,False,False,False,401,False,194.41505185234917,
15,1767716603.6316452,1170596,medium_user_01,password_15,unknown,SHA256,True,True,False,False,False,401,False,161.5942849642305,
16,1767716603.7932396,1170596,medium_user_01,password_16,unknown,SHA256,True,True,False,False,False,401,False,166.12369718386105,
17,1767716603.9593632,1170596,medium_user_01,password_17,unknown,SHA256,True,True,False,False,False,401,False,130.9742576860744,
19,1767716904.9593632,1170596,medium_user_01,password_19,unknown,SHA256,True,True,False,False,False,401,False,104.32403821893257,
20,1767716905.0636873,1170596,medium_user_01,password_20,unknown,SHA256,True,True,False,False,False,401,False,186.60616410368527,
21,1767716905.2502935,1170596,medium_user_01,password_21,unknown,SHA256,True,True,False,False,False,401,False,195.25286989768912,
22,1767716905.4455464,1170596,medium_user_01,password_22,unknown,SHA256,True,True,False,False,False,401,False,188.93620234814642,
23,1767716905.6344826,1170596,medium_user_01,password_23,unknown,SHA256,True,True,False,False,False,401,False,136.8464026217203,
25,1767717206.6344826,1170596,medium_user_01,password_25,unknown,SHA256,True,True,False,False,False,401,False,121.01238552029241,
