attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767782000,1170596,strong_user_01,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,254.5321809476522,
2,1767782000.254532,1170596,strong_user_01,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,274.54703720796317,
3,1767782000.5290792,1170596,strong_user_01,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,238.8415755324707,
4,1767782000.7679207,1170596,strong_user_01,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,202.06419480884816,
5,1767782000.969985,1170596,strong_user_01,password_5,unknown,ARGON2ID,False,True,False,False,False,401,False,243.40117963563353,
7,1767782301.969985,1170596,strong_user_01,password_7,unknown,ARGON2ID,False,True,False,False,False,401,False,227.99339012805314,
8,1767782302.1979785,1170596,strong_user_01,password_8,unknown,ARGON2ID,False,True,False,False,False,401,False,265.02435946245373,
9,1767782302.463003,1170596,strong_user_01,password_9,unknown,ARGON2ID,False,True,False,False,False,401,False,215.26046507064132,
10,1767782302.6782634,1170596,strong_user_01,password_10,unknown,ARGON2ID,False,True,False,False,False,401,False,273.1057633518797,
11,1767782302.9513693,1170596,strong_user_01,password_11,unknown,ARGON2ID,False,True,False,False,False,401,False,228.2499649181726,
13,1767782603.9513693,1170596,strong_user_01,password_13,unknown,ARGON2ID,False,True,False,False,False,401,False,209.97085779983865,
14,1767782604.1613402,1170596,strong_user_01,password_14,unknown,ARGON2ID,False,True,False,False,False,401,False,242.06814422054416,
15,1767782604.4034083,1170596,strong_user_01,password_15,unknown,ARGON2ID,False,True,False,False,False,401,False,226.06789425980867,
16,1767782604.629476,1170596,strong_user_01,password_16,unknown,ARGON2ID,False,True,False,False,False,401,False,288.37760738143186,
17,1767782604.9178536,1170596,strong_user_01,password_17,unknown,ARGON2ID,False,True,False,False,False,401,False,279.05110528059873,
19,1767782905.9178536,1170596,strong_user_01,password_19,unknown,ARGON2ID,False,True,False,False,False,401,False,288.16176335733087,
20,1767782906.2060153,1170596,strong_user_01,password_20,unknown,ARGON2ID,False,True,False,False,False,401,False,242.81160918109956,
21,1767782906.448827,1170596,strong_user_01,password_21,unknown,ARGON2ID,False,True,False,False,False,401,False,260.43701660491,
22,1767782906.709264,1170596,strong_user_01,password_22,unknown,ARGON2ID,False,True,False,False,False,401,False,225.15262720091948,
23,1767782906.9344168,1170596,strong_user_01,password_23,unknown,ARGON2ID,False,True,False,False,False,401,False,275.7498754232565,
25,1767783207.9344168,1170596,strong_user_01,password_25,unknown,ARGON2ID,False,True,False,False,False,401,False,211.89456675418936,
26,1767783208.1463113,1170596,strong_user_01,password_26,unknown,ARGON2ID,False,True,False,False,False,401,False,280.85090051201195,
27,1767783208.4271622,1170596,strong_user_01,password_27,unknown,ARGON2ID,False,True,False,False,False,401,False,276.1333846245448,
28,1767783208.7032955,1170596,strong_user_01,password_28,unknown,ARGON2ID,False,True,False,False,False,401,False,219.4201377500874,
29,1767783208.9227157,1170596,strong_user_01,password_29,unknown,ARGON2ID,False,True,False,False,False,401,False,292.11806354398504,
31,1767783509.9227157,1170596,strong_user_01,password_31,unknown,ARGON2ID,False,True,False,False,False,401,False,233.05100452494594,
32,1767783510.1557667,1170596,strong_user_01,password_32,unknown,ARGON2ID,False,True,False,False,False,401,False,213.1975665123784,
33,1767783510.3689642,1170596,strong_user_01,password_33,unknown,ARGON2ID,False,True,False,False,False,401,False,231.8550654326038,
34,1767783510.6008193,1170596,strong_user_01,password_34,unknown,ARGON2ID,False,True,False,False,False,401,False,265.151769060614,
35,1767783510.865971,1170596,strong_user_01,password_35,unknown,ARGON2ID,False,True,False,False,False,401,False,247.42087295456352,
37,1767783811.865971,1170596,strong_user_01,password_37,unknown,ARGON2ID,False,True,False,False,False,401,False,235.26018066811758,
38,1767783812.1012313,1170596,strong_user_01,password_38,unknown,ARGON2ID,False,True,False,False,False,401,False,216.62891894308893,
39,1767783812.3178604,1170596,strong_user_01,password_39,unknown,ARGON2ID,False,True,False,False,False,401,False,295.6431064878704,
40,1767783812.6135035,1170596,strong_user_01,password_40,unknown,ARGON2ID,False,True,False,False,False,401,False,263.83409599336153,
41,1767783812.8773375,1170596,strong_user_01,password_41,unknown,ARGON2ID,False,True,False,False,False,401,False,281.02012334617564,
43,1767784113.8773375,1170596,strong_user_01,password_43,unknown,ARGON2ID,False,True,False,False,False,401,False,269.2948105791469,
44,1767784114.1466322,1170596,strong_user_01,password_44,unknown,ARGON2ID,False,True,False,False,False,401,False,238.15146250883254,
45,1767784114.3847837,1170596,strong_user_01,password_45,unknown,ARGON2ID,False,True,False,False,False,401,False,289.30400845667646,
46,1767784114.6740878,1170596,strong_user_01,password_46,unknown,ARGON2ID,False,True,False,False,False,401,False,266.61463020649546,
47,1767784114.9407024,1170596,strong_user_01,password_47,unknown,ARGON2ID,False,True,False,False,False,401,False,240.71575497071973,
