attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767780000,1170596,strong_user_01,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,213.4164957305713,
2,1767780000.2134166,1170596,strong_user_01,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,299.82192618371175,
3,1767780000.5132384,1170596,strong_user_01,password_3,unknown,ARGON2ID,False,False,False,False,False,401,False,221.84341964977972,
4,1767780000.735082,1170596,strong_user_01,password_4,unknown,ARGON2ID,False,False,False,False,False,401,False,259.9089621550209,
5,1767780000.9949908,1170596,strong_user_01,password_5,unknown,ARGON2ID,False,False,False,False,False,401,False,296.90466020247095,
6,1767780001.2918954,1170596,strong_user_01,password_6,unknown,ARGON2ID,False,False,False,False,False,401,False,290.1418388177549,
7,1767780001.5820372,1170596,strong_user_01,password_7,unknown,ARGON2ID,False,False,False,False,False,401,False,221.32114268533525,
8,1767780001.8033583,1170596,strong_user_01,password_8,unknown,ARGON2ID,False,False,False,False,False,401,False,240.98089222803702,
9,1767780002.0443392,1170596,strong_user_01,password_9,unknown,ARGON2ID,False,False,False,False,False,401,False,241.45122303474847,
10,1767780002.2857904,1170596,strong_user_01,password_10,unknown,ARGON2ID,False,False,False,False,False,401,False,243.11640694363086,
11,1767780002.5289068,1170596,strong_user_01,password_11,unknown,ARGON2ID,False,False,False,False,False,401,False,296.45674429315284,
12,1767780002.8253636,1170596,strong_user_01,password_12,unknown,ARGON2ID,False,False,False,False,False,401,False,269.336095055232,
13,1767780003.0946996,1170596,strong_user_01,password_13,unknown,ARGON2ID,False,False,False,False,False,401,False,205.9866087309295,
14,1767780003.3006861,1170596,strong_user_01,password_14,unknown,ARGON2ID,False,False,False,False,False,401,False,283.1744548128757,
15,1767780003.5838606,1170596,strong_user_01,password_15,unknown,ARGON2ID,False,False,False,False,False,401,False,237.70007371616245,
16,1767780003.8215606,1170596,strong_user_01,password_16,unknown,ARGON2ID,False,False,False,False,False,401,False,285.5402560504151,
17,1767780004.107101,1170596,strong_user_01,password_17,unknown,ARGON2ID,False,False,False,False,False,401,False,293.8058544460082,
18,1767780004.4009068,1170596,strong_user_01,password_18,unknown,ARGON2ID,False,False,False,False,False,401,False,274.22881273940436,
19,1767780004.6751356,1170596,strong_user_01,password_19,unknown,ARGON2ID,False,False,False,False,False,401,False,271.66869002251764,
20,1767780004.9468043,1170596,strong_user_01,password_20,unknown,ARGON2ID,False,False,False,False,False,401,False,257.5488192340418,
21,1767780005.204353,1170596,strong_user_01,password_21,unknown,ARGON2ID,False,False,False,False,False,401,False,237.90471762653954,
22,1767780005.442258,1170596,strong_user_01,password_22,unknown,ARGON2ID,False,False,False,False,False,401,False,229.51081899136534,
23,1767780005.6717687,1170596,strong_user_01,password_23,unknown,ARGON2ID,False,False,False,False,False,401,False,280.78626123995224,
24,1767780005.952555,1170596,strong_user_01,password_24,unknown,ARGON2ID,False,False,False,False,False,401,False,273.1765753773732,
25,1767780006.2257316,1170596,strong_user_01,password_25,unknown,ARGON2ID,False,False,False,False,False,401,False,218.500719069256,
26,1767780006.4442322,1170596,strong_user_01,password_26,unknown,ARGON2ID,False,False,False,False,False,401,False,293.34698548427775,
27,1767780006.737579,1170596,strong_user_01,password_27,unknown,ARGON2ID,False,False,False,False,False,401,False,296.3832014264753,
28,1767780007.0339622,1170596,strong_user_01,password_28,unknown,ARGON2ID,False,False,False,False,False,401,False,239.77280781135798,
29,1767780007.273735,1170596,strong_user_01,password_29,unknown,ARGON2ID,False,False,False,False,False,401,False,209.32034103904,
30,1767780007.4830554,1170596,strong_user_01,password_30,unknown,ARGON2ID,False,False,False,False,False,401,False,215.09014686627435,
31,1767780007.6981454,1170596,strong_user_01,password_31,unknown,ARGON2ID,False,False,False,False,False,401,False,264.7177361842797,
32,1767780007.9628632,1170596,strong_user_01,password_32,unknown,ARGON2ID,False,False,False,False,False,401,False,221.96835143042804,
33,1767780008.1848316,1170596,strong_user_01,password_33,unknown,ARGON2ID,False,False,False,False,False,401,False,274.98461657703245,
34,1767780008.4598162,1170596,strong_user_01,password_34,unknown,ARGON2ID,False,False,False,False,False,401,False,218.9709762265602,
35,1767780008.6787872,1170596,strong_user_01,password_35,unknown,ARGON2ID,False,False,False,False,False,401,False,266.8885035120142,
36,1767780008.9456758,1170596,strong_user_01,password_36,unknown,ARGON2ID,False,False,False,False,False,401,False,269.1426080054355,
37,1767780009.2148185,1170596,strong_user_01,password_37,unknown,ARGON2ID,False,False,False,False,False,401,False,285.22809379476837,
38,1767780009.5000465,1170596,strong_user_01,password_38,unknown,ARGON2ID,False,False,False,False,False,401,False,284.3935065646793,
39,1767780009.78444,1170596,strong_user_01,password_39,unknown,ARGON2ID,False,False,False,False,False,401,False,261.74102687654397,
