attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767784000,1170596,strong_user_01,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,268.2316328900226,
2,1767784000.2682316,1170596,strong_user_01,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,205.17320774569896,
3,1767784000.473405,1170596,strong_user_01,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,269.83578005361966,
4,1767784000.7432406,1170596,strong_user_01,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,252.11589711029413,
5,1767784000.9953566,1170596,strong_user_01,password_5,unknown,ARGON2ID,False,False,False,True,False,401,False,218.7796891738742,
6,1767784001.2141364,1170596,strong_user_01,password_6,unknown,ARGON2ID,False,False,False,True,False,401,False,218.80001151968804,
7,1767784001.4329364,1170596,strong_user_01,password_7,unknown,ARGON2ID,False,False,False,True,False,401,False,297.9209029764589,
8,1767784001.7308574,1170596,strong_user_01,password_8,unknown,ARGON2ID,False,False,False,True,False,401,False,240.68423363760337,
9,1767784001.9715416,1170596,strong_user_01,password_9,unknown,ARGON2ID,False,False,False,True,False,401,False,263.2801501074299,
10,1767784002.2348218,1170596,strong_user_01,password_10,unknown,ARGON2ID,False,False,False,True,False,401,False,238.69222802712025,
11,1767784002.473514,1170596,strong_user_01,password_11,unknown,ARGON2ID,False,False,False,True,False,401,False,216.60841424734792,
12,1767784002.6901226,1170596,strong_user_01,password_12,unknown,ARGON2ID,False,False,False,True,False,401,False,258.3529463498809,
13,1767784002.9484756,1170596,strong_user_01,password_13,unknown,ARGON2ID,False,False,False,True,False,401,False,200.64282997242552,
14,1767784003.1491184,1170596,strong_user_01,password_14,unknown,ARGON2ID,False,False,False,True,False,401,False,211.5374790925147,
15,1767784003.3606558,1170596,strong_user_01,password_15,unknown,ARGON2ID,False,False,False,True,False,401,False,230.6817553832641,
16,1767784003.5913374,1170596,strong_user_01,password_16,unknown,ARGON2ID,False,False,False,True,False,401,False,206.8193887388494,
17,1767784003.7981567,1170596,strong_user_01,password_17,unknown,ARGON2ID,False,False,False,True,False,401,False,264.5255206829021,
18,1767784004.0626822,1170596,strong_user_01,password_18,unknown,ARGON2ID,False,False,False,True,False,401,False,216.92471174501645,
19,1767784004.2796068,1170596,strong_user_01,password_19,unknown,ARGON2ID,False,False,False,True,False,401,False,292.0505586525477,
20,1767784004.5716574,1170596,strong_user_01,password_20,unknown,ARGON2ID,False,False,False,True,False,401,False,241.7219777847398,
21,1767784004.8133793,1170596,strong_user_01,password_21,unknown,ARGON2ID,False,False,False,True,False,401,False,204.3345148685013,
22,1767784005.0177138,1170596,strong_user_01,password_22,unknown,ARGON2ID,False,False,False,True,False,401,False,212.1543564044855,
23,1767784005.2298682,1170596,strong_user_01,password_23,unknown,ARGON2ID,False,False,False,True,False,401,False,294.41218947617153,
24,1767784005.5242803,1170596,strong_user_01,password_24,unknown,ARGON2ID,False,False,False,True,False,401,False,229.68062176062284,
25,1767784005.7539608,1170596,strong_user_01,password_25,unknown,ARGON2ID,False,False,False,True,False,401,False,293.7526873511839,
26,1767784006.0477135,1170596,strong_user_01,password_26,unknown,ARGON2ID,False,False,False,True,False,401,False,259.8540618015465,
27,1767784006.3075676,1170596,strong_user_01,password_27,unknown,ARGON2ID,False,False,False,True,False,401,False,213.36389259553698,
28,1767784006.5209315,1170596,strong_user_01,password_28,unknown,ARGON2ID,False,False,False,True,False,401,False,259.80615226686945,
29,1767784006.7807376,1170596,strong_user_01,password_29,unknown,ARGON2ID,False,False,False,True,False,401,False,215.84963894726727,
30,1767784006.9965873,1170596,strong_user_01,password_30,unknown,ARGON2ID,False,False,False,True,False,401,False,284.0059811931286,
31,1767784007.2805932,1170596,strong_user_01,password_31,unknown,ARGON2ID,False,False,False,True,False,401,False,211.4220637686764,
32,1767784007.4920151,1170596,strong_user_01,password_32,unknown,ARGON2ID,False,False,False,True,False,401,False,207.8554499665227,
33,1767784007.6998706,1170596,strong_user_01,password_33,unknown,ARGON2ID,False,False,False,True,False,401,False,281.2718020926849,
34,1767784007.9811423,1170596,strong_user_01,password_34,unknown,ARGON2ID,False,False,False,True,False,401,False,203.09957985862434,
35,1767784008.1842418,1170596,strong_user_01,password_35,unknown,ARGON2ID,False,False,False,True,False,401,False,290.1660001156757,
36,1767784008.4744077,1170596,strong_user_01,password_36,unknown,ARGON2ID,False,False,False,True,False,401,False,252.46836181764132,
37,1767784008.726876,1170596,strong_user_01,password_37,unknown,ARGON2ID,False,False,False,True,False,401,False,298.34841826710203,
38,1767784009.0252244,1170596,strong_user_01,password_38,unknown,ARGON2ID,False,False,False,True,False,401,False,251.81349146233114,
39,1767784009.2770379,1170596,strong_user_01,password_39,unknown,ARGON2ID,False,False,False,True,False,401,False,212.62065045452903,
40,1767784009.4896586,1170596,strong_user_01,password_40,unknown,ARGON2ID,False,False,False,True,False,401,False,217.29863321831724,
41,1767784009.7069573,1170596,strong_user_01,password_41,unknown,ARGON2ID,False,False,False,True,False,401,False,292.1298828043427,
42,1767784009.9990873,1170596,strong_user_01,password_42,unknown,ARGON2ID,False,False,False,True,False,401,False,250.84845014845683,
43,1767784010.2499359,1170596,strong_user_01,password_43,unknown,ARGON2ID,False,False,False,True,False,401,False,214.01967185793092,
44,1767784010.4639556,1170596,strong_user_01,password_44,unknown,ARGON2ID,False,False,False,True,False,401,False,253.8230640831348,
45,1767784010.7177787,1170596,strong_user_01,password_45,unknown,ARGON2ID,False,False,False,True,False,401,False,223.899087833102,
46,1767784010.9416778,1170596,strong_user_01,password_46,unknown,ARGON2ID,False,False,False,True,False,401,False,206.59315358523327,
47,1767784011.1482708,1170596,strong_user_01,password_47,unknown,ARGON2ID,False,False,False,True,False,401,False,221.40603073567624,
48,1767784011.3696768,1170596,strong_user_01,password_48,unknown,ARGON2ID,False,False,False,True,False,401,False,214.88742952614416,
49,1767784011.5845642,1170596,strong_user_01,password_49,unknown,ARGON2ID,False,False,False,True,False,401,False,299.667922131242,
50,1767784011.884232,1170596,strong_user_01,password_50,unknown,ARGON2ID,False,False,False,True,False,401,False,256.33453983409663,
51,1767784012.1405666,1170596,strong_user_01,password_51,unknown,ARGON2ID,False,False,False,True,False,401,False,290.46815935652904,
52,1767784012.4310348,1170596,strong_user_01,password_52,unknown,ARGON2ID,False,False,False,True,False,401,False,231.14992472937809,
53,1767784012.6621847,1170596,strong_user_01,password_53,unknown,ARGON2ID,False,False,False,True,False,401,False,252.7200407584099,
54,1767784012.9149048,1170596,strong_user_01,password_54,unknown,ARGON2ID,False,False,False,True,False,401,False,280.98603126322155,
55,1767784013.195891,1170596,strong_user_01,password_55,unknown,ARGON2ID,False,False,False,True,False,401,False,242.97331507272133,
56,1767784013.4388642,1170596,strong_user_01,password_56,unknown,ARGON2ID,False,False,False,True,False,401,False,213.06260092888576,
57,1767784013.6519268,1170596,strong_user_01,password_57,unknown,ARGON2ID,False,False,False,True,False,401,False,240.76126421410203,
58,1767784013.892688,1170596,strong_user_01,password_58,unknown,ARGON2ID,False,False,False,True,False,401,False,289.7136824172614,
59,1767784014.1824017,1170596,strong_user_01,password_59,unknown,ARGON2ID,False,False,False,True,False,401,False,223.49437743184612,
60,1767784014.405896,1170596,strong_user_01,password_60,unknown,ARGON2ID,False,False,False,True,False,401,False,257.06556906186745,
61,1767784014.6629615,1170596,strong_user_01,password_61,unknown,ARGON2ID,False,False,False,True,False,401,False,296.7230187325996,
62,1767784014.9596846,1170596,strong_user_01,password_62,unknown,ARGON2ID,False,False,False,True,False,401,False,297.2352648569047,
63,1767784015.2569199,1170596,strong_user_01,password_63,unknown,ARGON2ID,False,False,False,True,False,401,False,236.65104164541248,
64,1767784015.4935708,1170596,strong_user_01,password_64,unknown,ARGON2ID,False,False,False,True,False,401,False,222.97011471087316,
65,1767784015.7165408,1170596,strong_user_01,password_65,unknown,ARGON2ID,False,False,False,True,False,401,False,202.03926647281259,
66,1767784015.91858,1170596,strong_user_01,password_66,unknown,ARGON2ID,False,False,False,True,False,401,False,286.3281201703064,
67,1767784016.2049081,1170596,strong_user_01,password_67,unknown,ARGON2ID,False,False,False,True,False,401,False,271.57442267414837,
68,1767784016.4764826,1170596,strong_user_01,password_68,unknown,ARGON2ID,False,False,False,True,False,401,False,201.15530738867292,
69,1767784016.677638,1170596,strong_user_01,password_69,unknown,ARGON2ID,False,False,False,True,False,401,False,224.04937285516598,
70,1767784016.9016874,1170596,strong_user_01,password_70,unknown,ARGON2ID,False,False,False,True,False,401,False,271.35637296612236,
71,1767784017.1730437,1170596,strong_user_01,password_71,unknown,ARGON2ID,False,False,False,True,False,401,False,289.0633001523414,
72,1767784017.462107,1170596,strong_user_01,password_72,unknown,ARGON2ID,False,False,False,True,False,401,False,255.7519362172033,
73,1767784017.7178588,1170596,strong_user_01,password_73,unknown,ARGON2ID,False,False,False,True,False,401,False,205.79197314555148,
74,1767784017.9236507,1170596,strong_user_01,password_74,unknown,ARGON2ID,False,False,False,True,False,401,False,270.09113604872886,
75,1767784018.1937418,1170596,strong_user_01,password_75,unknown,ARGON2ID,False,False,False,True,False,401,False,270.7802613130903,
76,1767784018.4645221,1170596,strong_user_01,password_76,unknown,ARGON2ID,False,False,False,True,False,401,False,289.85171876847494,
77,1767784018.7543738,1170596,strong_user_01,password_77,unknown,ARGON2ID,False,False,False,True,False,401,False,243.1194661821658,
78,1767784018.9974933,1170596,strong_user_01,password_78,unknown,ARGON2ID,False,False,False,True,False,401,False,226.94178162996693,
79,1767784019.224435,1170596,strong_user_01,password_79,unknown,ARGON2ID,False,False,False,True,False,401,False,208.3862951032812,
80,1767784019.4328213,1170596,strong_user_01,password_80,unknown,ARGON2ID,False,False,False,True,False,401,False,239.20853123281975,
81,1767784019.6720297,1170596,strong_user_01,password_81,unknown,ARGON2ID,False,False,False,True,False,401,False,283.6769386573073,
82,1767784019.9557066,1170596,strong_user_01,password_82,unknown,ARGON2ID,False,False,False,True,False,401,False,274.70673501024567,
83,1767784020.2304134,1170596,strong_user_01,password_83,unknown,ARGON2ID,False,False,False,True,False,401,False,287.24360075955747,
84,1767784020.517657,1170596,strong_user_01,password_84,unknown,ARGON2ID,False,False,False,True,False,401,False,299.0752722103555,
85,1767784020.8167324,1170596,strong_user_01,password_85,unknown,ARGON2ID,False,False,False,True,False,401,False,288.77007844043703,
86,1767784021.1055024,1170596,strong_user_01,password_86,unknown,ARGON2ID,False,False,False,True,False,401,False,236.61749807756001,
87,1767784021.34212,1170596,strong_user_01,password_87,unknown,ARGON2ID,False,False,False,True,False,401,False,250.81721617039912,
88,1767784021.5929372,1170596,strong_user_01,password_88,unknown,ARGON2ID,False,False,False,True,False,401,False,227.76126507577547,
89,1767784021.8206985,1170596,strong_user_01,password_89,unknown,ARGON2ID,False,False,False,True,False,401,False,234.37165623126577,
