attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767781000,1170596,strong_user_01,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,256.06725919262277,
2,1767781000.2560673,1170596,strong_user_01,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,218.95303344231684,
3,1767781000.4750204,1170596,strong_user_01,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,246.1522079960124,
4,1767781000.7211726,1170596,strong_user_01,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,228.81157309938504,
5,1767781000.949984,1170596,strong_user_01,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,285.7420443495697,
6,1767781001.235726,1170596,strong_user_01,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,285.3668152271521,
7,1767781001.521093,1170596,strong_user_01,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,261.5296448715009,
8,1767781001.7826226,1170596,strong_user_01,password_8,unknown,ARGON2ID,True,False,False,False,False,401,False,207.31188322693663,
9,1767781001.9899344,1170596,strong_user_01,password_9,unknown,ARGON2ID,True,False,False,False,False,401,False,250.632748429636,
10,1767781002.2405672,1170596,strong_user_01,password_10,unknown,ARGON2ID,True,False,False,False,False,401,False,210.88920102911013,
11,1767781007.4514563,1170596,strong_user_01,password_11,unknown,ARGON2ID,True,False,False,False,False,401,False,263.7201049833821,
12,1767781007.7151763,1170596,strong_user_01,password_12,unknown,ARGON2ID,True,False,False,False,False,401,False,216.4852573642178,
13,1767781007.9316616,1170596,strong_user_01,password_13,unknown,ARGON2ID,True,False,False,False,False,401,False,274.15464880522546,
14,1767781008.2058163,1170596,strong_user_01,password_14,unknown,ARGON2ID,True,False,False,False,False,401,False,223.38369687650436,
15,1767781008.4292,1170596,strong_user_01,password_15,unknown,ARGON2ID,True,False,False,False,False,401,False,250.99398534613735,
16,1767781008.680194,1170596,strong_user_01,password_16,unknown,ARGON2ID,True,False,False,False,False,401,False,273.43189493356965,
17,1767781008.9536257,1170596,strong_user_01,password_17,unknown,ARGON2ID,True,False,False,False,False,401,False,270.4450408590934,
18,1767781009.2240708,1170596,strong_user_01,password_18,unknown,ARGON2ID,True,False,False,False,False,401,False,233.9700780483851,
19,1767781009.458041,1170596,strong_user_01,password_19,unknown,ARGON2ID,True,False,False,False,False,401,False,298.2279217451617,
20,1767781009.756269,1170596,strong_user_01,password_20,unknown,ARGON2ID,True,False,False,False,False,401,False,233.4250426788385,
21,1767781014.989694,1170596,strong_user_01,password_21,unknown,ARGON2ID,True,False,False,False,False,401,False,200.22927772763498,
22,1767781015.1899233,1170596,strong_user_01,password_22,unknown,ARGON2ID,True,False,False,False,False,401,False,298.9914139843427,
23,1767781015.4889147,1170596,strong_user_01,password_23,unknown,ARGON2ID,True,False,False,False,False,401,False,224.91274608783093,
