attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767786000,1170596,strong_user_01,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,232.78155406456273,
2,1767786000.2327816,1170596,strong_user_01,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,280.10571278174655,
3,1767786000.5128875,1170596,strong_user_01,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,268.69613063966216,
4,1767786000.7815835,1170596,strong_user_01,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,280.2687601031925,
5,1767786001.0618522,1170596,strong_user_01,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,268.86899822360556,
7,1767786302.0618522,1170596,strong_user_01,password_7,unknown,ARGON2ID,True,True,False,False,False,401,False,235.24892594239103,
8,1767786302.2971013,1170596,strong_user_01,password_8,unknown,ARGON2ID,True,True,False,False,False,401,False,284.3974890818713,
9,1767786302.5814989,1170596,strong_user_01,password_9,unknown,ARGON2ID,True,True,False,False,False,401,False,291.98395332333615,
10,1767786302.8734827,1170596,strong_user_01,password_10,unknown,ARGON2ID,True,True,False,False,False,401,False,282.48298176608034,
11,1767786303.1559658,1170596,strong_user_01,password_11,unknown,ARGON2ID,True,True,False,False,False,401,False,271.40113519278935,
13,1767786604.1559658,1170596,strong_user_01,password_13,unknown,ARGON2ID,True,True,False,False,False,401,False,285.08189978867244,
14,1767786604.4410477,1170596,strong_user_01,password_14,unknown,ARGON2ID,True,True,False,False,False,401,False,248.09131717197278,
15,1767786604.689139,1170596,strong_user_01,password_15,unknown,ARGON2ID,True,True,False,False,False,401,False,262.35090229235215,
16,1767786604.9514897,1170596,strong_user_01,password_16,unknown,ARGON2ID,True,True,False,False,False,401,False,268.5115109553674,
17,1767786605.2200012,1170596,strong_user_01,password_17,unknown,ARGON2ID,True,True,False,False,False,401,False,223.4849374647802,
19,1767786906.2200012,1170596,strong_user_01,password_19,unknown,ARGON2ID,True,True,False,False,False,401,False,242.5291650002403,
20,1767786906.4625304,1170596,strong_user_01,password_20,unknown,ARGON2ID,True,True,False,False,False,401,False,288.4234582488099,
21,1767786906.750954,1170596,strong_user_01,password_21,unknown,ARGON2ID,True,True,False,False,False,401,False,273.29153270525376,
