attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767785000,1170596,strong_user_01,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,287.6781821052049,Invalid TOTP code
2,1767785000.2876782,1170596,strong_user_01,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,290.1913231437248,Invalid TOTP code
3,1767785000.5778697,1170596,strong_user_01,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,265.61330053096077,Invalid TOTP code
4,1767785000.843483,1170596,strong_user_01,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,268.2349656667825,Invalid TOTP code
5,1767785001.111718,1170596,strong_user_01,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,259.21498088773507,Invalid TOTP code
6,1767785001.3709328,1170596,strong_user_01,password_6,unknown,ARGON2ID,False,False,False,False,True,401,False,249.78248446895194,Invalid TOTP code
7,1767785001.6207154,1170596,strong_user_01,password_7,unknown,ARGON2ID,False,False,False,False,True,401,False,224.75228783833734,Invalid TOTP code
8,1767785001.8454676,1170596,strong_user_01,password_8,unknown,ARGON2ID,False,False,False,False,True,401,False,272.5162010457842,Invalid TOTP code
9,1767785002.1179838,1170596,strong_user_01,password_9,unknown,ARGON2ID,False,False,False,False,True,401,False,211.67950511408208,Invalid TOTP code
10,1767785002.3296633,1170596,strong_user_01,password_10,unknown,ARGON2ID,False,False,False,False,True,401,False,237.4445030719106,Invalid TOTP code
11,1767785002.5671077,1170596,strong_user_01,password_11,unknown,ARGON2ID,False,False,False,False,True,401,False,238.53399050791302,Invalid TOTP code
12,1767785002.8056417,1170596,strong_user_01,password_12,unknown,ARGON2ID,False,False,False,False,True,401,False,279.2125264592286,Invalid TOTP code
13,1767785003.0848541,1170596,strong_user_01,password_13,unknown,ARGON2ID,False,False,False,False,True,401,False,260.79052912533194,Invalid TOTP code
14,1767785003.3456447,1170596,strong_user_01,password_14,unknown,ARGON2ID,False,False,False,False,True,401,False,254.3185907028482,Invalid TOTP code
15,1767785003.5999632,1170596,strong_user_01,password_15,unknown,ARGON2ID,False,False,False,False,True,401,False,236.0669760146581,Invalid TOTP code
16,1767785003.8360302,1170596,strong_user_01,password_16,unknown,ARGON2ID,False,False,False,False,True,401,False,289.8249825716212,Invalid TOTP code
17,1767785004.1258552,1170596,strong_user_01,password_17,unknown,ARGON2ID,False,False,False,False,True,401,False,208.40781900611836,Invalid TOTP code
18,1767785004.334263,1170596,strong_user_01,password_18,unknown,ARGON2ID,False,False,False,False,True,401,False,279.32558912823936,Invalid TOTP code
19,1767785004.6135886,1170596,strong_user_01,password_19,unknown,ARGON2ID,False,False,False,False,True,401,False,257.8763816047088,Invalid TOTP code
20,1767785004.871465,1170596,strong_user_01,password_20,unknown,ARGON2ID,False,False,False,False,True,401,False,274.93037101606774,Invalid TOTP code
21,1767785005.1463954,1170596,strong_user_01,password_21,unknown,ARGON2ID,False,False,False,False,True,401,False,250.85877211053028,Invalid TOTP code
22,1767785005.3972542,1170596,strong_user_01,password_22,unknown,ARGON2ID,False,False,False,False,True,401,False,276.7403674953075,Invalid TOTP code
23,1767785005.6739945,1170596,strong_user_01,password_23,unknown,ARGON2ID,False,False,False,False,True,401,False,226.20379453207352,Invalid TOTP code
24,1767785005.9001982,1170596,strong_user_01,password_24,unknown,ARGON2ID,False,False,False,False,True,401,False,220.89984808510093,Invalid TOTP code
25,1767785006.121098,1170596,strong_user_01,password_25,unknown,ARGON2ID,False,False,False,False,True,401,False,236.25369989787566,Invalid TOTP code
26,1767785006.3573518,1170596,strong_user_01,password_26,unknown,ARGON2ID,False,False,False,False,True,401,False,287.870732619707,Invalid TOTP code
27,1767785006.6452224,1170596,strong_user_01,password_27,unknown,ARGON2ID,False,False,False,False,True,401,False,233.12333830275392,Invalid TOTP code
28,1767785006.8783457,1170596,strong_user_01,password_28,unknown,ARGON2ID,False,False,False,False,True,401,False,252.81935047440135,Invalid TOTP code
29,1767785007.131165,1170596,strong_user_01,password_29,unknown,ARGON2ID,False,False,False,False,True,401,False,271.82579355290557,Invalid TOTP code
30,1767785007.4029908,1170596,strong_user_01,password_30,unknown,ARGON2ID,False,False,False,False,True,401,False,258.68524817809947,Invalid TOTP code
31,1767785007.6616762,1170596,strong_user_01,password_31,unknown,ARGON2ID,False,False,False,False,True,401,False,227.9707015012353,Invalid TOTP code
32,1767785007.8896468,1170596,strong_user_01,password_32,unknown,ARGON2ID,False,False,False,False,True,401,False,205.13684076814516,Invalid TOTP code
33,1767785008.0947835,1170596,strong_user_01,password_33,unknown,ARGON2ID,False,False,False,False,True,401,False,268.2788808912318,Invalid TOTP code
34,1767785008.3630624,1170596,strong_user_01,password_34,unknown,ARGON2ID,False,False,False,False,True,401,False,285.18303545803883,Invalid TOTP code
35,1767785008.6482453,1170596,strong_user_01,password_35,unknown,ARGON2ID,False,False,False,False,True,401,False,231.45153004000372,Invalid TOTP code
36,1767785008.8796968,1170596,strong_user_01,password_36,unknown,ARGON2ID,False,False,False,False,True,401,False,213.20384661980074,Invalid TOTP code
37,1767785009.0929008,1170596,strong_user_01,password_37,unknown,ARGON2ID,False,False,False,False,True,401,False,238.86101565813325,Invalid TOTP code
38,1767785009.3317618,1170596,strong_user_01,password_38,unknown,ARGON2ID,False,False,False,False,True,401,False,270.30817932877324,Invalid TOTP code
39,1767785009.60207,1170596,strong_user_01,password_39,unknown,ARGON2ID,False,False,False,False,True,401,False,214.4883290723418,Invalid TOTP code
40,1767785009.8165584,1170596,strong_user_01,password_40,unknown,ARGON2ID,False,False,False,False,True,401,False,295.0008988020922,Invalid TOTP code
41,1767785010.1115592,1170596,strong_user_01,password_41,unknown,ARGON2ID,False,False,False,False,True,401,False,230.3559319891539,Invalid TOTP code
42,1767785010.3419151,1170596,strong_user_01,password_42,unknown,ARGON2ID,False,False,False,False,True,401,False,259.6480757514697,Invalid TOTP code
43,1767785010.6015632,1170596,strong_user_01,password_43,unknown,ARGON2ID,False,False,False,False,True,401,False,286.35644578514615,Invalid TOTP code
44,1767785010.8879197,1170596,strong_user_01,password_44,unknown,ARGON2ID,False,False,False,False,True,401,False,261.3004717637541,Invalid TOTP code
45,1767785011.1492202,1170596,strong_user_01,password_45,unknown,ARGON2ID,False,False,False,False,True,401,False,228.22824513184582,Invalid TOTP code
46,1767785011.3774486,1170596,strong_user_01,password_46,unknown,ARGON2ID,False,False,False,False,True,401,False,233.2103864376639,Invalid TOTP code
47,1767785011.610659,1170596,strong_user_01,password_47,unknown,ARGON2ID,False,False,False,False,True,401,False,265.56028177165433,Invalid TOTP code
48,1767785011.8762193,1170596,strong_user_01,password_48,unknown,ARGON2ID,False,False,False,False,True,401,False,235.3370745262347,Invalid TOTP code
49,1767785012.1115563,1170596,strong_user_01,password_49,unknown,ARGON2ID,False,False,False,False,True,401,False,267.6003939338806,Invalid TOTP code
50,1767785012.3791566,1170596,strong_user_01,password_50,unknown,ARGON2ID,False,False,False,False,True,401,False,278.3498978481949,Invalid TOTP code
51,1767785012.6575065,1170596,strong_user_01,password_51,unknown,ARGON2ID,False,False,False,False,True,401,False,218.45261105949288,Invalid TOTP code
52,1767785012.8759592,1170596,strong_user_01,password_52,unknown,ARGON2ID,False,False,False,False,True,401,False,219.32217719262897,Invalid TOTP code
53,1767785013.0952814,1170596,strong_user_01,password_53,unknown,ARGON2ID,False,False,False,False,True,401,False,290.37810478740977,Invalid TOTP code
54,1767785013.3856595,1170596,strong_user_01,password_54,unknown,ARGON2ID,False,False,False,False,True,401,False,219.03445135323884,Invalid TOTP code
55,1767785013.604694,1170596,strong_user_01,password_55,unknown,ARGON2ID,False,False,False,False,True,401,False,211.5596586426497,Invalid TOTP code
56,1767785013.8162537,1170596,strong_user_01,password_56,unknown,ARGON2ID,False,False,False,False,True,401,False,299.89732956905857,Invalid TOTP code
57,1767785014.116151,1170596,strong_user_01,password_57,unknown,ARGON2ID,False,False,False,False,True,401,False,278.54239009962276,Invalid TOTP code
58,1767785014.3946934,1170596,strong_user_01,password_58,unknown,ARGON2ID,False,False,False,False,True,401,False,248.1356909916706,Invalid TOTP code
59,1767785014.6428292,1170596,strong_user_01,password_59,unknown,ARGON2ID,False,False,False,False,True,401,False,291.51663591115033,Invalid TOTP code
60,1767785014.9343457,1170596,strong_user_01,password_60,unknown,ARGON2ID,False,False,False,False,True,401,False,209.25002371504905,Invalid TOTP code
61,1767785015.1435957,1170596,strong_user_01,password_61,unknown,ARGON2ID,False,False,False,False,True,401,False,249.46358259028358,Invalid TOTP code
62,1767785015.3930593,1170596,strong_user_01,password_62,unknown,ARGON2ID,False,False,False,False,True,401,False,223.92361081526025,Invalid TOTP code
63,1767785015.616983,1170596,strong_user_01,password_63,unknown,ARGON2ID,False,False,False,False,True,401,False,248.18856973655556,Invalid TOTP code
64,1767785015.8651714,1170596,strong_user_01,password_64,unknown,ARGON2ID,False,False,False,False,True,401,False,275.225590726424,Invalid TOTP code
65,1767785016.140397,1170596,strong_user_01,password_65,unknown,ARGON2ID,False,False,False,False,True,401,False,241.55946687932072,Invalid TOTP code
66,1767785016.3819566,1170596,strong_user_01,password_66,unknown,ARGON2ID,False,False,False,False,True,401,False,233.376071258285,Invalid TOTP code
67,1767785016.6153326,1170596,strong_user_01,password_67,unknown,ARGON2ID,False,False,False,False,True,401,False,287.9550022949279,Invalid TOTP code
68,1767785016.9032876,1170596,strong_user_01,password_68,unknown,ARGON2ID,False,False,False,False,True,401,False,255.0841242333479,Invalid TOTP code
69,1767785017.1583717,1170596,strong_user_01,password_69,unknown,ARGON2ID,False,False,False,False,True,401,False,276.6002191187048,Invalid TOTP code
70,1767785017.4349718,1170596,strong_user_01,password_70,unknown,ARGON2ID,False,False,False,False,True,401,False,235.14217879276242,Invalid TOTP code
71,1767785017.670114,1170596,strong_user_01,password_71,unknown,ARGON2ID,False,False,False,False,True,401,False,216.52227008200265,Invalid TOTP code
72,1767785017.8866363,1170596,strong_user_01,password_72,unknown,ARGON2ID,False,False,False,False,True,401,False,273.59819265803173,Invalid TOTP code
73,1767785018.1602345,1170596,strong_user_01,password_73,unknown,ARGON2ID,False,False,False,False,True,401,False,273.662533038443,Invalid TOTP code
74,1767785018.433897,1170596,strong_user_01,password_74,unknown,ARGON2ID,False,False,False,False,True,401,False,281.40418002353874,Invalid TOTP code
75,1767785018.7153013,1170596,strong_user_01,password_75,unknown,ARGON2ID,False,False,False,False,True,401,False,253.92762517913596,Invalid TOTP code
76,1767785018.969229,1170596,strong_user_01,password_76,unknown,ARGON2ID,False,False,False,False,True,401,False,231.53522593536923,Invalid TOTP code
77,1767785019.2007642,1170596,strong_user_01,password_77,unknown,ARGON2ID,False,False,False,False,True,401,False,298.55192321220625,Invalid TOTP code
