attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767752000,1170596,strong_user_01,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,319.5678376320596,
2,1767752000.319568,1170596,strong_user_01,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,309.35626474700064,
3,1767752000.6289241,1170596,strong_user_01,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,374.7267410114888,
4,1767752001.003651,1170596,strong_user_01,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,393.1405169656248,
5,1767752001.3967915,1170596,strong_user_01,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,315.9988027099342,
7,1767752302.3967915,1170596,strong_user_01,password_7,unknown,BCRYPT,False,True,False,False,False,401,False,392.408719171847,
8,1767752302.7892,1170596,strong_user_01,password_8,unknown,BCRYPT,False,True,False,False,False,401,False,373.60270504419196,
9,1767752303.1628027,1170596,strong_user_01,password_9,unknown,BCRYPT,False,True,False,False,False,401,False,323.7666203570943,
10,1767752303.4865694,1170596,strong_user_01,password_10,unknown,BCRYPT,False,True,False,False,False,401,False,306.77966625518275,
11,1767752303.793349,1170596,strong_user_01,password_11,unknown,BCRYPT,False,True,False,False,False,401,False,355.57321985159854,
13,1767752604.793349,1170596,strong_user_01,password_13,unknown,BCRYPT,False,True,False,False,False,401,False,352.7786596497576,
14,1767752605.1461277,1170596,strong_user_01,password_14,unknown,BCRYPT,False,True,False,False,False,401,False,352.10740726115415,
15,1767752605.4982352,1170596,strong_user_01,password_15,unknown,BCRYPT,False,True,False,False,False,401,False,319.713526050503,
16,1767752605.8179488,1170596,strong_user_01,password_16,unknown,BCRYPT,False,True,False,False,False,401,False,312.695553262698,
17,1767752606.1306443,1170596,strong_user_01,password_17,unknown,BCRYPT,False,True,False,False,False,401,False,308.1692841463256,
19,1767752907.1306443,1170596,strong_user_01,password_19,unknown,BCRYPT,False,True,False,False,False,401,False,340.0785018431904,
20,1767752907.470723,1170596,strong_user_01,password_20,unknown,BCRYPT,False,True,False,False,False,401,False,312.90668166722276,
21,1767752907.7836297,1170596,strong_user_01,password_21,unknown,BCRYPT,False,True,False,False,False,401,False,370.1282985394501,
22,1767752908.153758,1170596,strong_user_01,password_22,unknown,BCRYPT,False,True,False,False,False,401,False,301.1362217101176,
23,1767752908.4548943,1170596,strong_user_01,password_23,unknown,BCRYPT,False,True,False,False,False,401,False,314.66231442950107,
