attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767750000,1170596,strong_user_01,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,312.5122453333699,
2,1767750000.3125122,1170596,strong_user_01,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,393.4630342717762,
3,1767750000.7059753,1170596,strong_user_01,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,379.12236013566485,
4,1767750001.0850976,1170596,strong_user_01,password_4,unknown,BCRYPT,False,False,False,False,False,401,False,346.1335630715496,
5,1767750001.431231,1170596,strong_user_01,password_5,unknown,BCRYPT,False,False,False,False,False,401,False,345.5224527699186,
6,1767750001.7767534,1170596,strong_user_01,password_6,unknown,BCRYPT,False,False,False,False,False,401,False,335.39837646298884,
7,1767750002.1121519,1170596,strong_user_01,password_7,unknown,BCRYPT,False,False,False,False,False,401,False,320.6582636995876,
8,1767750002.43281,1170596,strong_user_01,password_8,unknown,BCRYPT,False,False,False,False,False,401,False,335.42999883489404,
9,1767750002.76824,1170596,strong_user_01,password_9,unknown,BCRYPT,False,False,False,False,False,401,False,337.2183325844917,
10,1767750003.1054583,1170596,strong_user_01,password_10,unknown,BCRYPT,False,False,False,False,False,401,False,341.42835849338377,
11,1767750003.4468865,1170596,strong_user_01,password_11,unknown,BCRYPT,False,False,False,False,False,401,False,380.07304497756195,
12,1767750003.8269596,1170596,strong_user_01,password_12,unknown,BCRYPT,False,False,False,False,False,401,False,392.9169302713914,
13,1767750004.2198765,1170596,strong_user_01,password_13,unknown,BCRYPT,False,False,False,False,False,401,False,352.98063825482984,
14,1767750004.5728571,1170596,strong_user_01,password_14,unknown,BCRYPT,False,False,False,False,False,401,False,327.20610551190725,
15,1767750004.9000633,1170596,strong_user_01,password_15,unknown,BCRYPT,False,False,False,False,False,401,False,370.7603501618912,
16,1767750005.2708237,1170596,strong_user_01,password_16,unknown,BCRYPT,False,False,False,False,False,401,False,332.2354939601978,
17,1767750005.6030593,1170596,strong_user_01,password_17,unknown,BCRYPT,False,False,False,False,False,401,False,358.67371453361403,
18,1767750005.961733,1170596,strong_user_01,password_18,unknown,BCRYPT,False,False,False,False,False,401,False,390.2136943691304,
19,1767750006.3519468,1170596,strong_user_01,password_19,unknown,BCRYPT,False,False,False,False,False,401,False,315.39173240925993,
20,1767750006.6673386,1170596,strong_user_01,password_20,unknown,BCRYPT,False,False,False,False,False,401,False,372.45483443822593,
21,1767750007.0397935,1170596,strong_user_01,password_21,unknown,BCRYPT,False,False,False,False,False,401,False,302.7622415919332,
22,1767750007.3425558,1170596,strong_user_01,password_22,unknown,BCRYPT,False,False,False,False,False,401,False,379.32244774140895,
23,1767750007.7218783,1170596,strong_user_01,password_23,unknown,BCRYPT,False,False,False,False,False,401,False,388.16945243046325,
24,1767750008.1100478,1170596,strong_user_01,password_24,unknown,BCRYPT,False,False,False,False,False,401,False,380.26662683705405,
25,1767750008.4903145,1170596,strong_user_01,password_25,unknown,BCRYPT,False,False,False,False,False,401,False,368.5889839225196,
26,1767750008.8589034,1170596,strong_user_01,password_26,unknown,BCRYPT,False,False,False,False,False,401,False,394.1538410687435,
27,1767750009.2530572,1170596,strong_user_01,password_27,unknown,BCRYPT,False,False,False,False,False,401,False,343.98582754431914,
28,1767750009.597043,1170596,strong_user_01,password_28,unknown,BCRYPT,False,False,False,False,False,401,False,382.6300034228795,
29,1767750009.9796731,1170596,strong_user_01,password_29,unknown,BCRYPT,False,False,False,False,False,401,False,326.8314629097399,
30,1767750010.3065047,1170596,strong_user_01,password_30,unknown,BCRYPT,False,False,False,False,False,401,False,319.4898722322028,
31,1767750010.6259947,1170596,strong_user_01,password_31,unknown,BCRYPT,False,False,False,False,False,401,False,394.39033715509544,
32,1767750011.020385,1170596,strong_user_01,password_32,unknown,BCRYPT,False,False,False,False,False,401,False,384.7997685387479,
33,1767750011.4051847,1170596,strong_user_01,password_33,unknown,BCRYPT,False,False,False,False,False,401,False,391.2927684058103,
34,1767750011.7964776,1170596,strong_user_01,password_34,unknown,BCRYPT,False,False,False,False,False,401,False,319.9083030497899,
35,1767750012.116386,1170596,strong_user_01,password_35,unknown,BCRYPT,False,False,False,False,False,401,False,303.12153228311684,
36,1767750012.4195075,1170596,strong_user_01,password_36,unknown,BCRYPT,False,False,False,False,False,401,False,376.23412415893495,
37,1767750012.7957416,1170596,strong_user_01,password_37,unknown,BCRYPT,False,False,False,False,False,401,False,329.9387193260058,
38,1767750013.1256802,1170596,strong_user_01,password_38,unknown,BCRYPT,False,False,False,False,False,401,False,305.2036416025372,
39,1767750013.430884,1170596,strong_user_01,password_39,unknown,BCRYPT,False,False,False,False,False,401,False,363.4628010477538,
40,1767750013.7943466,1170596,strong_user_01,password_40,unknown,BCRYPT,False,False,False,False,False,401,False,339.87780729453544,
41,1767750014.1342244,1170596,strong_user_01,password_41,unknown,BCRYPT,False,False,False,False,False,401,False,317.9495562512685,
42,1767750014.452174,1170596,strong_user_01,password_42,unknown,BCRYPT,False,False,False,False,False,401,False,398.4163505489273,
43,1767750014.8505902,1170596,strong_user_01,password_43,unknown,BCRYPT,False,False,False,False,False,401,False,318.77185723258947,
44,1767750015.169362,1170596,strong_user_01,password_44,unknown,BCRYPT,False,False,False,False,False,401,False,304.48536363841225,
45,1767750015.4738474,1170596,strong_user_01,password_45,unknown,BCRYPT,False,False,False,False,False,401,False,355.6500784857725,
46,1767750015.8294976,1170596,strong_user_01,password_46,unknown,BCRYPT,False,False,False,False,False,401,False,364.09863471746627,
47,1767750016.1935961,1170596,strong_user_01,password_47,unknown,BCRYPT,False,False,False,False,False,401,False,373.26233397590136,
48,1767750016.5668585,1170596,strong_user_01,password_48,unknown,BCRYPT,False,False,False,False,False,401,False,376.3581355342124,
49,1767750016.9432166,1170596,strong_user_01,password_49,unknown,BCRYPT,False,False,False,False,False,401,False,385.52067542568795,
50,1767750017.3287373,1170596,strong_user_01,password_50,unknown,BCRYPT,False,False,False,False,False,401,False,351.9202956612544,
51,1767750017.6806576,1170596,strong_user_01,password_51,unknown,BCRYPT,False,False,False,False,False,401,False,361.39437179676486,
52,1767750018.042052,1170596,strong_user_01,password_52,unknown,BCRYPT,False,False,False,False,False,401,False,390.7353375144166,
53,1767750018.4327874,1170596,strong_user_01,password_53,unknown,BCRYPT,False,False,False,False,False,401,False,326.31171903210725,
54,1767750018.7590992,1170596,strong_user_01,password_54,unknown,BCRYPT,False,False,False,False,False,401,False,381.99280340569976,
55,1767750019.141092,1170596,strong_user_01,password_55,unknown,BCRYPT,False,False,False,False,False,401,False,369.1166367732174,
56,1767750019.5102086,1170596,strong_user_01,password_56,unknown,BCRYPT,False,False,False,False,False,401,False,341.90805809637726,
57,1767750019.8521166,1170596,strong_user_01,password_57,unknown,BCRYPT,False,False,False,False,False,401,False,321.3308623220138,
58,1767750020.1734474,1170596,strong_user_01,password_58,unknown,BCRYPT,False,False,False,False,False,401,False,376.2902731645611,
59,1767750020.5497377,1170596,strong_user_01,password_59,unknown,BCRYPT,False,False,False,False,False,401,False,383.6010398093905,
60,1767750020.9333386,1170596,strong_user_01,password_60,unknown,BCRYPT,False,False,False,False,False,401,False,319.6842111965516,
61,1767750021.253023,1170596,strong_user_01,password_61,unknown,BCRYPT,False,False,False,False,False,401,False,337.2218371275687,
62,1767750021.5902448,1170596,strong_user_01,password_62,unknown,BCRYPT,False,False,False,False,False,401,False,352.7759146199711,
63,1767750021.9430206,1170596,strong_user_01,password_63,unknown,BCRYPT,False,False,False,False,False,401,False,381.59837875878486,
64,1767750022.324619,1170596,strong_user_01,password_64,unknown,BCRYPT,False,False,False,False,False,401,False,392.98595701084935,
65,1767750022.717605,1170596,strong_user_01,password_65,unknown,BCRYPT,False,False,False,False,False,401,False,380.4298220983387,
66,1767750023.0980349,1170596,strong_user_01,password_66,unknown,BCRYPT,False,False,False,False,False,401,False,329.3697911748857,
67,1767750023.4274046,1170596,strong_user_01,password_67,unknown,BCRYPT,False,False,False,False,False,401,False,397.16500769429456,
68,1767750023.8245697,1170596,strong_user_01,password_68,unknown,BCRYPT,False,False,False,False,False,401,False,338.16504928907614,
69,1767750024.1627347,1170596,strong_user_01,password_69,unknown,BCRYPT,False,False,False,False,False,401,False,391.6912909011756,
70,1767750024.554426,1170596,strong_user_01,password_70,unknown,BCRYPT,False,False,False,False,False,401,False,381.33778054751446,
71,1767750024.9357638,1170596,strong_user_01,password_71,unknown,BCRYPT,False,False,False,False,False,401,False,366.9871389376968,
72,1767750025.302751,1170596,strong_user_01,password_72,unknown,BCRYPT,False,False,False,False,False,401,False,315.03887931517545,
73,1767750025.61779,1170596,strong_user_01,password_73,unknown,BCRYPT,False,False,False,False,False,401,False,399.0431355738824,
74,1767750026.016833,1170596,strong_user_01,password_74,unknown,BCRYPT,False,False,False,False,False,401,False,348.5682642030423,
75,1767750026.3654013,1170596,strong_user_01,password_75,unknown,BCRYPT,False,False,False,False,False,401,False,368.532596798113,
