attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767754000,1170596,strong_user_01,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,367.5934153691391,
2,1767754000.3675935,1170596,strong_user_01,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,371.5122026979183,
3,1767754000.7391057,1170596,strong_user_01,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,390.5428362425221,
4,1767754001.1296484,1170596,strong_user_01,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,396.02398795086606,
5,1767754001.5256724,1170596,strong_user_01,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,345.2556208485147,
6,1767754001.870928,1170596,strong_user_01,password_6,unknown,BCRYPT,False,False,False,True,False,401,False,355.45450445065705,
7,1767754002.2263825,1170596,strong_user_01,password_7,unknown,BCRYPT,False,False,False,True,False,401,False,307.5422101123689,
8,1767754002.5339248,1170596,strong_user_01,password_8,unknown,BCRYPT,False,False,False,True,False,401,False,335.7449838476067,
9,1767754002.86967,1170596,strong_user_01,password_9,unknown,BCRYPT,False,False,False,True,False,401,False,373.61002529842983,
10,1767754003.24328,1170596,strong_user_01,password_10,unknown,BCRYPT,False,False,False,True,False,401,False,367.35991797358633,
11,1767754003.6106398,1170596,strong_user_01,password_11,unknown,BCRYPT,False,False,False,True,False,401,False,341.20547331925064,
12,1767754003.9518452,1170596,strong_user_01,password_12,unknown,BCRYPT,False,False,False,True,False,401,False,326.1035396279831,
13,1767754004.2779486,1170596,strong_user_01,password_13,unknown,BCRYPT,False,False,False,True,False,401,False,302.6188730335333,
14,1767754004.5805676,1170596,strong_user_01,password_14,unknown,BCRYPT,False,False,False,True,False,401,False,359.5278689524656,
15,1767754004.9400954,1170596,strong_user_01,password_15,unknown,BCRYPT,False,False,False,True,False,401,False,309.03716267625344,
16,1767754005.2491326,1170596,strong_user_01,password_16,unknown,BCRYPT,False,False,False,True,False,401,False,354.0492073475682,
17,1767754005.6031818,1170596,strong_user_01,password_17,unknown,BCRYPT,False,False,False,True,False,401,False,315.61691485551364,
18,1767754005.9187987,1170596,strong_user_01,password_18,unknown,BCRYPT,False,False,False,True,False,401,False,311.4486610179976,
19,1767754006.2302473,1170596,strong_user_01,password_19,unknown,BCRYPT,False,False,False,True,False,401,False,312.53518523338596,
20,1767754006.5427825,1170596,strong_user_01,password_20,unknown,BCRYPT,False,False,False,True,False,401,False,340.42359012419627,
21,1767754006.8832061,1170596,strong_user_01,password_21,unknown,BCRYPT,False,False,False,True,False,401,False,374.6632971152605,
22,1767754007.2578695,1170596,strong_user_01,password_22,unknown,BCRYPT,False,False,False,True,False,401,False,322.0212507810853,
23,1767754007.5798907,1170596,strong_user_01,password_23,unknown,BCRYPT,False,False,False,True,False,401,False,340.70132470858147,
24,1767754007.920592,1170596,strong_user_01,password_24,unknown,BCRYPT,False,False,False,True,False,401,False,370.17562816002896,
25,1767754008.2907677,1170596,strong_user_01,password_25,unknown,BCRYPT,False,False,False,True,False,401,False,371.4759262926289,
26,1767754008.6622436,1170596,strong_user_01,password_26,unknown,BCRYPT,False,False,False,True,False,401,False,339.21706720512987,
27,1767754009.0014608,1170596,strong_user_01,password_27,unknown,BCRYPT,False,False,False,True,False,401,False,391.9994991977233,
28,1767754009.3934603,1170596,strong_user_01,password_28,unknown,BCRYPT,False,False,False,True,False,401,False,306.104609598378,
29,1767754009.699565,1170596,strong_user_01,password_29,unknown,BCRYPT,False,False,False,True,False,401,False,305.7655946480396,
30,1767754010.0053306,1170596,strong_user_01,password_30,unknown,BCRYPT,False,False,False,True,False,401,False,392.6232708666479,
31,1767754010.3979537,1170596,strong_user_01,password_31,unknown,BCRYPT,False,False,False,True,False,401,False,396.6597421475043,
32,1767754010.7946136,1170596,strong_user_01,password_32,unknown,BCRYPT,False,False,False,True,False,401,False,325.4109898503068,
33,1767754011.1200247,1170596,strong_user_01,password_33,unknown,BCRYPT,False,False,False,True,False,401,False,393.7746459289765,
34,1767754011.5137994,1170596,strong_user_01,password_34,unknown,BCRYPT,False,False,False,True,False,401,False,393.2571846839066,
35,1767754011.9070566,1170596,strong_user_01,password_35,unknown,BCRYPT,False,False,False,True,False,401,False,393.35137157394945,
36,1767754012.300408,1170596,strong_user_01,password_36,unknown,BCRYPT,False,False,False,True,False,401,False,361.16871138262366,
37,1767754012.6615765,1170596,strong_user_01,password_37,unknown,BCRYPT,False,False,False,True,False,401,False,379.197151586583,
38,1767754013.0407736,1170596,strong_user_01,password_38,unknown,BCRYPT,False,False,False,True,False,401,False,324.4787113649812,
39,1767754013.3652523,1170596,strong_user_01,password_39,unknown,BCRYPT,False,False,False,True,False,401,False,327.61793896043844,
40,1767754013.6928701,1170596,strong_user_01,password_40,unknown,BCRYPT,False,False,False,True,False,401,False,317.28349279586905,
41,1767754014.0101535,1170596,strong_user_01,password_41,unknown,BCRYPT,False,False,False,True,False,401,False,376.6200969718602,
42,1767754014.3867736,1170596,strong_user_01,password_42,unknown,BCRYPT,False,False,False,True,False,401,False,301.87063134522464,
43,1767754014.6886442,1170596,strong_user_01,password_43,unknown,BCRYPT,False,False,False,True,False,401,False,314.4515282755281,
44,1767754015.0030956,1170596,strong_user_01,password_44,unknown,BCRYPT,False,False,False,True,False,401,False,320.72003685833056,
45,1767754015.3238156,1170596,strong_user_01,password_45,unknown,BCRYPT,False,False,False,True,False,401,False,307.9159777445737,
46,1767754015.6317315,1170596,strong_user_01,password_46,unknown,BCRYPT,False,False,False,True,False,401,False,370.5819959635041,
47,1767754016.0023136,1170596,strong_user_01,password_47,unknown,BCRYPT,False,False,False,True,False,401,False,383.1779233207833,
48,1767754016.3854916,1170596,strong_user_01,password_48,unknown,BCRYPT,False,False,False,True,False,401,False,308.1881158800878,
49,1767754016.6936798,1170596,strong_user_01,password_49,unknown,BCRYPT,False,False,False,True,False,401,False,361.80321948024175,
50,1767754017.055483,1170596,strong_user_01,password_50,unknown,BCRYPT,False,False,False,True,False,401,False,327.4244892050056,
51,1767754017.3829076,1170596,strong_user_01,password_51,unknown,BCRYPT,False,False,False,True,False,401,False,353.50521342414834,
52,1767754017.7364128,1170596,strong_user_01,password_52,unknown,BCRYPT,False,False,False,True,False,401,False,394.9923770436052,
53,1767754018.131405,1170596,strong_user_01,password_53,unknown,BCRYPT,False,False,False,True,False,401,False,372.4430553893305,
54,1767754018.503848,1170596,strong_user_01,password_54,unknown,BCRYPT,False,False,False,True,False,401,False,329.58244475298335,
55,1767754018.8334305,1170596,strong_user_01,password_55,unknown,BCRYPT,False,False,False,True,False,401,False,330.9597102530066,
56,1767754019.1643903,1170596,strong_user_01,password_56,unknown,BCRYPT,False,False,False,True,False,401,False,335.5326361486819,
57,1767754019.499923,1170596,strong_user_01,password_57,unknown,BCRYPT,False,False,False,True,False,401,False,369.26017431928796,
58,1767754019.869183,1170596,strong_user_01,password_58,unknown,BCRYPT,False,False,False,True,False,401,False,322.04292202796904,
59,1767754020.191226,1170596,strong_user_01,password_59,unknown,BCRYPT,False,False,False,True,False,401,False,331.08353724579536,
60,1767754020.5223095,1170596,strong_user_01,password_60,unknown,BCRYPT,False,False,False,True,False,401,False,317.6358234444594,
61,1767754020.8399453,1170596,strong_user_01,password_61,unknown,BCRYPT,False,False,False,True,False,401,False,330.2559899647814,
62,1767754021.1702013,1170596,strong_user_01,password_62,unknown,BCRYPT,False,False,False,True,False,401,False,361.0944406645185,
63,1767754021.5312958,1170596,strong_user_01,password_63,unknown,BCRYPT,False,False,False,True,False,401,False,307.0598961378061,
64,1767754021.8383558,1170596,strong_user_01,password_64,unknown,BCRYPT,False,False,False,True,False,401,False,337.8297165634846,
65,1767754022.1761856,1170596,strong_user_01,password_65,unknown,BCRYPT,False,False,False,True,False,401,False,396.4690274667521,
66,1767754022.5726547,1170596,strong_user_01,password_66,unknown,BCRYPT,False,False,False,True,False,401,False,330.90703157576723,
67,1767754022.9035618,1170596,strong_user_01,password_67,unknown,BCRYPT,False,False,False,True,False,401,False,360.3878433215484,
68,1767754023.2639496,1170596,strong_user_01,password_68,unknown,BCRYPT,False,False,False,True,False,401,False,380.89802146732205,
69,1767754023.6448476,1170596,strong_user_01,password_69,unknown,BCRYPT,False,False,False,True,False,401,False,360.6947556908525,
70,1767754024.0055423,1170596,strong_user_01,password_70,unknown,BCRYPT,False,False,False,True,False,401,False,373.1833071024594,
71,1767754024.3787255,1170596,strong_user_01,password_71,unknown,BCRYPT,False,False,False,True,False,401,False,380.0463731801739,
72,1767754024.758772,1170596,strong_user_01,password_72,unknown,BCRYPT,False,False,False,True,False,401,False,398.99202633271125,
73,1767754025.157764,1170596,strong_user_01,password_73,unknown,BCRYPT,False,False,False,True,False,401,False,312.8995502637921,
74,1767754025.4706635,1170596,strong_user_01,password_74,unknown,BCRYPT,False,False,False,True,False,401,False,341.8256806239376,
75,1767754025.8124893,1170596,strong_user_01,password_75,unknown,BCRYPT,False,False,False,True,False,401,False,315.8092486893291,
76,1767754026.1282985,1170596,strong_user_01,password_76,unknown,BCRYPT,False,False,False,True,False,401,False,321.05797962016845,
77,1767754026.4493566,1170596,strong_user_01,password_77,unknown,BCRYPT,False,False,False,True,False,401,False,326.9370561882816,
78,1767754026.7762935,1170596,strong_user_01,password_78,unknown,BCRYPT,False,False,False,True,False,401,False,318.5940864982803,
79,1767754027.0948875,1170596,strong_user_01,password_79,unknown,BCRYPT,False,False,False,True,False,401,False,324.0035638646202,
