attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767751000,1170596,strong_user_01,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,305.69064640260746,
2,1767751000.3056908,1170596,strong_user_01,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,365.2953071035723,
3,1767751000.6709862,1170596,strong_user_01,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,332.51576931508185,
4,1767751001.003502,1170596,strong_user_01,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,385.8295109874424,
5,1767751001.3893313,1170596,strong_user_01,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,382.9137289219847,
6,1767751001.7722452,1170596,strong_user_01,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,360.58150294493794,
7,1767751002.1328266,1170596,strong_user_01,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,371.9049091566809,
8,1767751002.5047314,1170596,strong_user_01,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,366.58334860943825,
9,1767751002.8713148,1170596,strong_user_01,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,356.9555516390178,
10,1767751003.2282703,1170596,strong_user_01,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,372.3123370835526,
11,1767751008.6005826,1170596,strong_user_01,password_11,unknown,BCRYPT,True,False,False,False,False,401,False,322.3684649738215,
12,1767751008.922951,1170596,strong_user_01,password_12,unknown,BCRYPT,True,False,False,False,False,401,False,336.71445699252496,
13,1767751009.2596655,1170596,strong_user_01,password_13,unknown,BCRYPT,True,False,False,False,False,401,False,361.0549456989844,
14,1767751009.6207204,1170596,strong_user_01,password_14,unknown,BCRYPT,True,False,False,False,False,401,False,387.9390221435332,
15,1767751010.0086594,1170596,strong_user_01,password_15,unknown,BCRYPT,True,False,False,False,False,401,False,352.93944501644376,
16,1767751010.3615987,1170596,strong_user_01,password_16,unknown,BCRYPT,True,False,False,False,False,401,False,331.92567629693013,
17,1767751010.6935244,1170596,strong_user_01,password_17,unknown,BCRYPT,True,False,False,False,False,401,False,312.80074380889636,
18,1767751011.006325,1170596,strong_user_01,password_18,unknown,BCRYPT,True,False,False,False,False,401,False,392.7847927047772,
19,1767751011.3991098,1170596,strong_user_01,password_19,unknown,BCRYPT,True,False,False,False,False,401,False,392.05922486011605,
