attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767756000,1170596,strong_user_01,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,362.67869000714995,
2,1767756000.3626788,1170596,strong_user_01,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,304.48291489857866,
3,1767756000.6671617,1170596,strong_user_01,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,348.51312079293257,
4,1767756001.0156748,1170596,strong_user_01,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,318.9716999937283,
5,1767756001.3346465,1170596,strong_user_01,password_5,unknown,BCRYPT,True,True,False,False,False,401,False,308.70851486182903,
7,1767756302.3346465,1170596,strong_user_01,password_7,unknown,BCRYPT,True,True,False,False,False,401,False,312.7431925929224,
8,1767756302.6473897,1170596,strong_user_01,password_8,unknown,BCRYPT,True,True,False,False,False,401,False,330.024421979992,
9,1767756302.9774141,1170596,strong_user_01,password_9,unknown,BCRYPT,True,True,False,False,False,401,False,383.4833335263855,
10,1767756303.3608975,1170596,strong_user_01,password_10,unknown,BCRYPT,True,True,False,False,False,401,False,340.1882203219536,
11,1767756303.7010858,1170596,strong_user_01,password_11,unknown,BCRYPT,True,True,False,False,False,401,False,388.25175314877583,
13,1767756604.7010858,1170596,strong_user_01,password_13,unknown,BCRYPT,True,True,False,False,False,401,False,399.07481557262076,
14,1767756605.1001606,1170596,strong_user_01,password_14,unknown,BCRYPT,True,True,False,False,False,401,False,315.0383762608828,
15,1767756605.415199,1170596,strong_user_01,password_15,unknown,BCRYPT,True,True,False,False,False,401,False,367.6697029894443,
16,1767756605.7828689,1170596,strong_user_01,password_16,unknown,BCRYPT,True,True,False,False,False,401,False,308.43980288046873,
17,1767756606.0913086,1170596,strong_user_01,password_17,unknown,BCRYPT,True,True,False,False,False,401,False,392.5837569157777,
19,1767756907.0913086,1170596,strong_user_01,password_19,unknown,BCRYPT,True,True,False,False,False,401,False,302.5399960631913,
20,1767756907.3938487,1170596,strong_user_01,password_20,unknown,BCRYPT,True,True,False,False,False,401,False,395.2148531008937,
21,1767756907.7890635,1170596,strong_user_01,password_21,unknown,BCRYPT,True,True,False,False,False,401,False,309.2653315053369,
22,1767756908.0983288,1170596,strong_user_01,password_22,unknown,BCRYPT,True,True,False,False,False,401,False,347.30924787758556,
23,1767756908.4456382,1170596,strong_user_01,password_23,unknown,BCRYPT,True,True,False,False,False,401,False,397.77015627431547,
25,1767757209.4456382,1170596,strong_user_01,password_25,unknown,BCRYPT,True,True,False,False,False,401,False,361.48036422651364,
26,1767757209.8071187,1170596,strong_user_01,password_26,unknown,BCRYPT,True,True,False,False,False,401,False,393.71493985875753,
