attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767755000,1170596,strong_user_01,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,324.2351008236509,Invalid TOTP code
2,1767755000.3242352,1170596,strong_user_01,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,304.72328878896514,Invalid TOTP code
3,1767755000.6289585,1170596,strong_user_01,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,350.0184074234809,Invalid TOTP code
4,1767755000.978977,1170596,strong_user_01,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,358.85758531914956,Invalid TOTP code
5,1767755001.3378346,1170596,strong_user_01,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,350.9156682247341,Invalid TOTP code
6,1767755001.6887503,1170596,strong_user_01,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,356.2512337889516,Invalid TOTP code
7,1767755002.0450015,1170596,strong_user_01,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,333.55097317426834,Invalid TOTP code
8,1767755002.3785524,1170596,strong_user_01,password_8,unknown,BCRYPT,False,False,False,False,True,401,False,382.48492447055895,Invalid TOTP code
9,1767755002.7610373,1170596,strong_user_01,password_9,unknown,BCRYPT,False,False,False,False,True,401,False,360.0191313509703,Invalid TOTP code
10,1767755003.1210566,1170596,strong_user_01,password_10,unknown,BCRYPT,False,False,False,False,True,401,False,390.2329079690691,Invalid TOTP code
11,1767755003.5112894,1170596,strong_user_01,password_11,unknown,BCRYPT,False,False,False,False,True,401,False,316.25894265062027,Invalid TOTP code
12,1767755003.8275483,1170596,strong_user_01,password_12,unknown,BCRYPT,False,False,False,False,True,401,False,325.26984793255906,Invalid TOTP code
13,1767755004.1528182,1170596,strong_user_01,password_13,unknown,BCRYPT,False,False,False,False,True,401,False,323.711587812062,Invalid TOTP code
14,1767755004.4765298,1170596,strong_user_01,password_14,unknown,BCRYPT,False,False,False,False,True,401,False,369.3820228193907,Invalid TOTP code
15,1767755004.8459117,1170596,strong_user_01,password_15,unknown,BCRYPT,False,False,False,False,True,401,False,300.27962548336393,Invalid TOTP code
16,1767755005.1461914,1170596,strong_user_01,password_16,unknown,BCRYPT,False,False,False,False,True,401,False,372.8680195479668,Invalid TOTP code
17,1767755005.5190594,1170596,strong_user_01,password_17,unknown,BCRYPT,False,False,False,False,True,401,False,398.56873623153547,Invalid TOTP code
18,1767755005.917628,1170596,strong_user_01,password_18,unknown,BCRYPT,False,False,False,False,True,401,False,354.4687601636004,Invalid TOTP code
19,1767755006.2720969,1170596,strong_user_01,password_19,unknown,BCRYPT,False,False,False,False,True,401,False,330.1351800019256,Invalid TOTP code
20,1767755006.602232,1170596,strong_user_01,password_20,unknown,BCRYPT,False,False,False,False,True,401,False,348.5595517811953,Invalid TOTP code
21,1767755006.9507916,1170596,strong_user_01,password_21,unknown,BCRYPT,False,False,False,False,True,401,False,325.78167788001747,Invalid TOTP code
22,1767755007.2765732,1170596,strong_user_01,password_22,unknown,BCRYPT,False,False,False,False,True,401,False,359.95381172663144,Invalid TOTP code
23,1767755007.636527,1170596,strong_user_01,password_23,unknown,BCRYPT,False,False,False,False,True,401,False,379.8691200006632,Invalid TOTP code
24,1767755008.0163963,1170596,strong_user_01,password_24,unknown,BCRYPT,False,False,False,False,True,401,False,347.65027628414896,Invalid TOTP code
