attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767722000,1170596,strong_user_01,password_1,unknown,SHA256,False,True,False,False,False,401,False,126.5398803008022,
2,1767722000.12654,1170596,strong_user_01,password_2,unknown,SHA256,False,True,False,False,False,401,False,120.6752401250094,
3,1767722000.2472153,1170596,strong_user_01,password_3,unknown,SHA256,False,True,False,False,False,401,False,107.24133751461211,
4,1767722000.3544567,1170596,strong_user_01,password_4,unknown,SHA256,False,True,False,False,False,401,False,162.96566497224853,
5,1767722000.5174224,1170596,strong_user_01,password_5,unknown,SHA256,False,True,False,False,False,401,False,140.04877697043787,
7,1767722301.5174224,1170596,strong_user_01,password_7,unknown,SHA256,False,True,False,False,False,401,False,184.85567063104705,
8,1767722301.7022781,1170596,strong_user_01,password_8,unknown,SHA256,False,True,False,False,False,401,False,122.12578837984402,
9,1767722301.824404,1170596,strong_user_01,password_9,unknown,SHA256,False,True,False,False,False,401,False,156.9996829309337,
10,1767722301.9814036,1170596,strong_user_01,password_10,unknown,SHA256,False,True,False,False,False,401,False,185.18052711910056,
11,1767722302.166584,1170596,strong_user_01,password_11,unknown,SHA256,False,True,False,False,False,401,False,173.35014934246277,
13,1767722603.166584,1170596,strong_user_01,password_13,unknown,SHA256,False,True,False,False,False,401,False,141.89604616088178,
14,1767722603.30848,1170596,strong_user_01,password_14,unknown,SHA256,False,True,False,False,False,401,False,170.34134599590482,
15,1767722603.4788213,1170596,strong_user_01,password_15,unknown,SHA256,False,True,False,False,False,401,False,183.26750244320777,
16,1767722603.6620889,1170596,strong_user_01,password_16,unknown,SHA256,False,True,False,False,False,401,False,164.91965337851826,
17,1767722603.8270085,1170596,strong_user_01,password_17,unknown,SHA256,False,True,False,False,False,401,False,113.3273648733509,
19,1767722904.8270085,1170596,strong_user_01,password_19,unknown,SHA256,False,True,False,False,False,401,False,109.03760282979545,
20,1767722904.9360461,1170596,strong_user_01,password_20,unknown,SHA256,False,True,False,False,False,401,False,123.81597757443234,
21,1767722905.0598621,1170596,strong_user_01,password_21,unknown,SHA256,False,True,False,False,False,401,False,154.5664773429432,
22,1767722905.2144287,1170596,strong_user_01,password_22,unknown,SHA256,False,True,False,False,False,401,False,126.84820544585179,
23,1767722905.341277,1170596,strong_user_01,password_23,unknown,SHA256,False,True,False,False,False,401,False,124.64203425136942,
25,1767723206.341277,1170596,strong_user_01,password_25,unknown,SHA256,False,True,False,False,False,401,False,184.27164585760482,
26,1767723206.5255485,1170596,strong_user_01,password_26,unknown,SHA256,False,True,False,False,False,401,False,146.66702779071508,
27,1767723206.6722155,1170596,strong_user_01,password_27,unknown,SHA256,False,True,False,False,False,401,False,143.57135314400722,
28,1767723206.8157868,1170596,strong_user_01,password_28,unknown,SHA256,False,True,False,False,False,401,False,177.55885916318763,
29,1767723206.9933457,1170596,strong_user_01,password_29,unknown,SHA256,False,True,False,False,False,401,False,107.39249273710197,
31,1767723507.9933457,1170596,strong_user_01,password_31,unknown,SHA256,False,True,False,False,False,401,False,185.6109539618312,
32,1767723508.1789567,1170596,strong_user_01,password_32,unknown,SHA256,False,True,False,False,False,401,False,181.9296077224531,
33,1767723508.3608863,1170596,strong_user_01,password_33,unknown,SHA256,False,True,False,False,False,401,False,143.21613277166387,
34,1767723508.5041025,1170596,strong_user_01,password_34,unknown,SHA256,False,True,False,False,False,401,False,156.0664138135329,
35,1767723508.660169,1170596,strong_user_01,password_35,unknown,SHA256,False,True,False,False,False,401,False,195.84155737614162,
37,1767723809.660169,1170596,strong_user_01,password_37,unknown,SHA256,False,True,False,False,False,401,False,167.69046539751773,
38,1767723809.8278594,1170596,strong_user_01,password_38,unknown,SHA256,False,True,False,False,False,401,False,172.75038449686537,
39,1767723810.0006099,1170596,strong_user_01,password_39,unknown,SHA256,False,True,False,False,False,401,False,118.0163855346457,
40,1767723810.1186264,1170596,strong_user_01,password_40,unknown,SHA256,False,True,False,False,False,401,False,181.01859813994366,
41,1767723810.299645,1170596,strong_user_01,password_41,unknown,SHA256,False,True,False,False,False,401,False,130.18896036370154,
43,1767724111.299645,1170596,strong_user_01,password_43,unknown,SHA256,False,True,False,False,False,401,False,116.29386784127206,
44,1767724111.4159389,1170596,strong_user_01,password_44,unknown,SHA256,False,True,False,False,False,401,False,185.60206542252325,
45,1767724111.6015408,1170596,strong_user_01,password_45,unknown,SHA256,False,True,False,False,False,401,False,184.17648145586773,
46,1767724111.7857172,1170596,strong_user_01,password_46,unknown,SHA256,False,True,False,False,False,401,False,175.13862383088676,
47,1767724111.960856,1170596,strong_user_01,password_47,unknown,SHA256,False,True,False,False,False,401,False,100.17104731543503,
49,1767724412.960856,1170596,strong_user_01,password_49,unknown,SHA256,False,True,False,False,False,401,False,171.0183523032806,
50,1767724413.1318743,1170596,strong_user_01,password_50,unknown,SHA256,False,True,False,False,False,401,False,123.9461140531649,
51,1767724413.2558205,1170596,strong_user_01,password_51,unknown,SHA256,False,True,False,False,False,401,False,147.35555535870955,
52,1767724413.403176,1170596,strong_user_01,password_52,unknown,SHA256,False,True,False,False,False,401,False,153.03527545437333,
53,1767724413.5562112,1170596,strong_user_01,password_53,unknown,SHA256,False,True,False,False,False,401,False,165.5108061750604,
55,1767724714.5562112,1170596,strong_user_01,password_55,unknown,SHA256,False,True,False,False,False,401,False,136.95362478136278,
56,1767724714.6931648,1170596,strong_user_01,password_56,unknown,SHA256,False,True,False,False,False,401,False,192.95165290432828,
57,1767724714.8861165,1170596,strong_user_01,password_57,unknown,SHA256,False,True,False,False,False,401,False,104.17650132099956,
58,1767724714.990293,1170596,strong_user_01,password_58,unknown,SHA256,False,True,False,False,False,401,False,111.61056357963713,
59,1767724715.1019037,1170596,strong_user_01,password_59,unknown,SHA256,False,True,False,False,False,401,False,106.62638547098888,
61,1767725016.1019037,1170596,strong_user_01,password_61,unknown,SHA256,False,True,False,False,False,401,False,177.57978702872978,
62,1767725016.2794836,1170596,strong_user_01,password_62,unknown,SHA256,False,True,False,False,False,401,False,152.87604158976262,
63,1767725016.4323597,1170596,strong_user_01,password_63,unknown,SHA256,False,True,False,False,False,401,False,123.75268204472897,
64,1767725016.5561123,1170596,strong_user_01,password_64,unknown,SHA256,False,True,False,False,False,401,False,138.01683692826788,
65,1767725016.6941292,1170596,strong_user_01,password_65,unknown,SHA256,False,True,False,False,False,401,False,179.14592422722694,
67,1767725317.6941292,1170596,strong_user_01,password_67,unknown,SHA256,False,True,False,False,False,401,False,143.11279866954328,
68,1767725317.8372421,1170596,strong_user_01,password_68,unknown,SHA256,False,True,False,False,False,401,False,141.0617240309936,
69,1767725317.978304,1170596,strong_user_01,password_69,unknown,SHA256,False,True,False,False,False,401,False,199.443551676195,
70,1767725318.1777475,1170596,strong_user_01,password_70,unknown,SHA256,False,True,False,False,False,401,False,136.40770820279394,
71,1767725318.314155,1170596,strong_user_01,password_71,unknown,SHA256,False,True,False,False,False,401,False,146.769691280087,
73,1767725619.314155,1170596,strong_user_01,password_73,unknown,SHA256,False,True,False,False,False,401,False,129.39494229776503,
74,1767725619.44355,1170596,strong_user_01,password_74,unknown,SHA256,False,True,False,False,False,401,False,189.29507198212238,
75,1767725619.6328452,1170596,strong_user_01,password_75,unknown,SHA256,False,True,False,False,False,401,False,161.42180923239934,
76,1767725619.794267,1170596,strong_user_01,password_76,unknown,SHA256,False,True,False,False,False,401,False,131.50867419423818,
77,1767725619.9257755,1170596,strong_user_01,password_77,unknown,SHA256,False,True,False,False,False,401,False,194.26484507922189,
79,1767725920.9257755,1170596,strong_user_01,password_79,unknown,SHA256,False,True,False,False,False,401,False,129.84705900536784,
80,1767725921.0556226,1170596,strong_user_01,password_80,unknown,SHA256,False,True,False,False,False,401,False,177.63585944643603,
81,1767725921.2332585,1170596,strong_user_01,password_81,unknown,SHA256,False,True,False,False,False,401,False,147.7942768166074,
82,1767725921.3810527,1170596,strong_user_01,password_82,unknown,SHA256,False,True,False,False,False,401,False,187.2051331719819,
83,1767725921.5682578,1170596,strong_user_01,password_83,unknown,SHA256,False,True,False,False,False,401,False,169.73065273681792,
85,1767726222.5682578,1170596,strong_user_01,password_85,unknown,SHA256,False,True,False,False,False,401,False,129.07080799875416,
