attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767720000,1170596,strong_user_01,password_1,unknown,SHA256,False,False,False,False,False,401,False,129.5657932335817,
2,1767720000.1295657,1170596,strong_user_01,password_2,unknown,SHA256,False,False,False,False,False,401,False,138.03562533851292,
3,1767720000.2676013,1170596,strong_user_01,password_3,unknown,SHA256,False,False,False,False,False,401,False,148.41260638070764,
4,1767720000.416014,1170596,strong_user_01,password_4,unknown,SHA256,False,False,False,False,False,401,False,183.83535621790364,
5,1767720000.5998492,1170596,strong_user_01,password_5,unknown,SHA256,False,False,False,False,False,401,False,175.91908602214428,
6,1767720000.7757683,1170596,strong_user_01,password_6,unknown,SHA256,False,False,False,False,False,401,False,163.81454962868315,
7,1767720000.9395828,1170596,strong_user_01,password_7,unknown,SHA256,False,False,False,False,False,401,False,163.19920108880723,
8,1767720001.102782,1170596,strong_user_01,password_8,unknown,SHA256,False,False,False,False,False,401,False,150.74301791931777,
9,1767720001.253525,1170596,strong_user_01,password_9,unknown,SHA256,False,False,False,False,False,401,False,113.2285959001455,
10,1767720001.3667536,1170596,strong_user_01,password_10,unknown,SHA256,False,False,False,False,False,401,False,105.568557906194,
11,1767720001.4723222,1170596,strong_user_01,password_11,unknown,SHA256,False,False,False,False,False,401,False,106.26264681615136,
12,1767720001.578585,1170596,strong_user_01,password_12,unknown,SHA256,False,False,False,False,False,401,False,190.12793088914427,
13,1767720001.7687128,1170596,strong_user_01,password_13,unknown,SHA256,False,False,False,False,False,401,False,125.5151881247994,
14,1767720001.894228,1170596,strong_user_01,password_14,unknown,SHA256,False,False,False,False,False,401,False,120.17387468791199,
15,1767720002.014402,1170596,strong_user_01,password_15,unknown,SHA256,False,False,False,False,False,401,False,197.73729555429543,
16,1767720002.2121391,1170596,strong_user_01,password_16,unknown,SHA256,False,False,False,False,False,401,False,189.4336920294666,
17,1767720002.4015727,1170596,strong_user_01,password_17,unknown,SHA256,False,False,False,False,False,401,False,155.22006784663785,
18,1767720002.5567927,1170596,strong_user_01,password_18,unknown,SHA256,False,False,False,False,False,401,False,110.88389785530362,
19,1767720002.6676767,1170596,strong_user_01,password_19,unknown,SHA256,False,False,False,False,False,401,False,117.5761262284018,
20,1767720002.7852528,1170596,strong_user_01,password_20,unknown,SHA256,False,False,False,False,False,401,False,155.94014272061915,
21,1767720002.9411929,1170596,strong_user_01,password_21,unknown,SHA256,False,False,False,False,False,401,False,165.87206203973534,
22,1767720003.107065,1170596,strong_user_01,password_22,unknown,SHA256,False,False,False,False,False,401,False,197.64550814038478,
23,1767720003.3047104,1170596,strong_user_01,password_23,unknown,SHA256,False,False,False,False,False,401,False,151.07895414052442,
24,1767720003.4557893,1170596,strong_user_01,password_24,unknown,SHA256,False,False,False,False,False,401,False,168.89142674919177,
25,1767720003.6246808,1170596,strong_user_01,password_25,unknown,SHA256,False,False,False,False,False,401,False,102.88877776195983,
26,1767720003.7275696,1170596,strong_user_01,password_26,unknown,SHA256,False,False,False,False,False,401,False,128.6044371187712,
27,1767720003.856174,1170596,strong_user_01,password_27,unknown,SHA256,False,False,False,False,False,401,False,105.83275319944951,
28,1767720003.9620068,1170596,strong_user_01,password_28,unknown,SHA256,False,False,False,False,False,401,False,102.55075943259213,
29,1767720004.0645576,1170596,strong_user_01,password_29,unknown,SHA256,False,False,False,False,False,401,False,162.93283317998888,
30,1767720004.2274904,1170596,strong_user_01,password_30,unknown,SHA256,False,False,False,False,False,401,False,186.24847158805642,
31,1767720004.413739,1170596,strong_user_01,password_31,unknown,SHA256,False,False,False,False,False,401,False,149.11052485458674,
32,1767720004.5628495,1170596,strong_user_01,password_32,unknown,SHA256,False,False,False,False,False,401,False,136.30356072689364,
33,1767720004.6991532,1170596,strong_user_01,password_33,unknown,SHA256,False,False,False,False,False,401,False,180.00702783093783,
34,1767720004.8791602,1170596,strong_user_01,password_34,unknown,SHA256,False,False,False,False,False,401,False,103.96078390967662,
35,1767720004.983121,1170596,strong_user_01,password_35,unknown,SHA256,False,False,False,False,False,401,False,195.36065490347966,
36,1767720005.1784816,1170596,strong_user_01,password_36,unknown,SHA256,False,False,False,False,False,401,False,113.18936141116838,
37,1767720005.291671,1170596,strong_user_01,password_37,unknown,SHA256,False,False,False,False,False,401,False,148.38863785748939,
38,1767720005.4400597,1170596,strong_user_01,password_38,unknown,SHA256,False,False,False,False,False,401,False,166.49975228910978,
39,1767720005.6065595,1170596,strong_user_01,password_39,unknown,SHA256,False,False,False,False,False,401,False,103.2082879605805,
40,1767720005.7097678,1170596,strong_user_01,password_40,unknown,SHA256,False,False,False,False,False,401,False,189.62222822957665,
41,1767720005.89939,1170596,strong_user_01,password_41,unknown,SHA256,False,False,False,False,False,401,False,119.50876390466196,
