attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767724000,1170596,strong_user_01,password_1,unknown,SHA256,False,False,False,True,False,401,False,125.75668939508542,
2,1767724000.1257567,1170596,strong_user_01,password_2,unknown,SHA256,False,False,False,True,False,401,False,136.95751882253728,
3,1767724000.2627141,1170596,strong_user_01,password_3,unknown,SHA256,False,False,False,True,False,401,False,175.38766986439967,
4,1767724000.4381018,1170596,strong_user_01,password_4,unknown,SHA256,False,False,False,True,False,401,False,180.65294138918125,
5,1767724000.6187546,1170596,strong_user_01,password_5,unknown,SHA256,False,False,False,True,False,401,False,143.90404155069254,
6,1767724000.7626586,1170596,strong_user_01,password_6,unknown,SHA256,False,False,False,True,False,401,False,116.65510442220969,
7,1767724000.8793137,1170596,strong_user_01,password_7,unknown,SHA256,False,False,False,True,False,401,False,130.48663047783987,
8,1767724001.0098004,1170596,strong_user_01,password_8,unknown,SHA256,False,False,False,True,False,401,False,154.8345547266855,
9,1767724001.164635,1170596,strong_user_01,password_9,unknown,SHA256,False,False,False,True,False,401,False,116.57498776199493,
10,1767724001.28121,1170596,strong_user_01,password_10,unknown,SHA256,False,False,False,True,False,401,False,176.50968790700534,
11,1767724001.4577196,1170596,strong_user_01,password_11,unknown,SHA256,False,False,False,True,False,401,False,108.3026559155484,
12,1767724001.5660222,1170596,strong_user_01,password_12,unknown,SHA256,False,False,False,True,False,401,False,125.27571241553964,
13,1767724001.6912978,1170596,strong_user_01,password_13,unknown,SHA256,False,False,False,True,False,401,False,176.49726038478974,
14,1767724001.867795,1170596,strong_user_01,password_14,unknown,SHA256,False,False,False,True,False,401,False,163.98481634843137,
15,1767724002.0317798,1170596,strong_user_01,password_15,unknown,SHA256,False,False,False,True,False,401,False,176.87939976567816,
16,1767724002.2086592,1170596,strong_user_01,password_16,unknown,SHA256,False,False,False,True,False,401,False,198.39840129148797,
17,1767724002.4070575,1170596,strong_user_01,password_17,unknown,SHA256,False,False,False,True,False,401,False,199.12911093046594,
18,1767724002.6061866,1170596,strong_user_01,password_18,unknown,SHA256,False,False,False,True,False,401,False,151.2908953808244,
19,1767724002.7574775,1170596,strong_user_01,password_19,unknown,SHA256,False,False,False,True,False,401,False,106.03379796529225,
20,1767724002.8635113,1170596,strong_user_01,password_20,unknown,SHA256,False,False,False,True,False,401,False,171.24844421815806,
21,1767724003.0347598,1170596,strong_user_01,password_21,unknown,SHA256,False,False,False,True,False,401,False,110.41952982171588,
22,1767724003.1451793,1170596,strong_user_01,password_22,unknown,SHA256,False,False,False,True,False,401,False,122.21469660808755,
23,1767724003.267394,1170596,strong_user_01,password_23,unknown,SHA256,False,False,False,True,False,401,False,197.83713212349954,
24,1767724003.4652312,1170596,strong_user_01,password_24,unknown,SHA256,False,False,False,True,False,401,False,162.20571715544003,
25,1767724003.6274369,1170596,strong_user_01,password_25,unknown,SHA256,False,False,False,True,False,401,False,167.02581417157143,
26,1767724003.7944627,1170596,strong_user_01,password_26,unknown,SHA256,False,False,False,True,False,401,False,126.81884772232706,
27,1767724003.9212816,1170596,strong_user_01,password_27,unknown,SHA256,False,False,False,True,False,401,False,169.40875811294217,
28,1767724004.0906904,1170596,strong_user_01,password_28,unknown,SHA256,False,False,False,True,False,401,False,135.68524467226214,
29,1767724004.2263756,1170596,strong_user_01,password_29,unknown,SHA256,False,False,False,True,False,401,False,146.21922738074352,
30,1767724004.3725948,1170596,strong_user_01,password_30,unknown,SHA256,False,False,False,True,False,401,False,141.73820600897244,
31,1767724004.514333,1170596,strong_user_01,password_31,unknown,SHA256,False,False,False,True,False,401,False,102.66860857486051,
32,1767724004.6170015,1170596,strong_user_01,password_32,unknown,SHA256,False,False,False,True,False,401,False,109.8698848444342,
33,1767724004.7268715,1170596,strong_user_01,password_33,unknown,SHA256,False,False,False,True,False,401,False,150.46437133306992,
34,1767724004.8773358,1170596,strong_user_01,password_34,unknown,SHA256,False,False,False,True,False,401,False,153.93338382821386,
35,1767724005.031269,1170596,strong_user_01,password_35,unknown,SHA256,False,False,False,True,False,401,False,102.1111709765909,
36,1767724005.1333802,1170596,strong_user_01,password_36,unknown,SHA256,False,False,False,True,False,401,False,171.95560975894682,
37,1767724005.3053358,1170596,strong_user_01,password_37,unknown,SHA256,False,False,False,True,False,401,False,186.51502741139953,
38,1767724005.4918509,1170596,strong_user_01,password_38,unknown,SHA256,False,False,False,True,False,401,False,137.69149988513192,
39,1767724005.6295424,1170596,strong_user_01,password_39,unknown,SHA256,False,False,False,True,False,401,False,138.23644648559252,
