attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767721000,1170596,strong_user_01,password_1,unknown,SHA256,True,False,False,False,False,401,False,126.02758140196194,
2,1767721000.1260276,1170596,strong_user_01,password_2,unknown,SHA256,True,False,False,False,False,401,False,175.75044295213962,
3,1767721000.301778,1170596,strong_user_01,password_3,unknown,SHA256,True,False,False,False,False,401,False,133.494734004044,
4,1767721000.4352727,1170596,strong_user_01,password_4,unknown,SHA256,True,False,False,False,False,401,False,191.6309708655627,
5,1767721000.6269038,1170596,strong_user_01,password_5,unknown,SHA256,True,False,False,False,False,401,False,106.08553709907707,
6,1767721000.7329893,1170596,strong_user_01,password_6,unknown,SHA256,True,False,False,False,False,401,False,128.97141552904804,
7,1767721000.8619606,1170596,strong_user_01,password_7,unknown,SHA256,True,False,False,False,False,401,False,112.13306062364909,
8,1767721000.9740937,1170596,strong_user_01,password_8,unknown,SHA256,True,False,False,False,False,401,False,152.59054973463165,
9,1767721001.1266842,1170596,strong_user_01,password_9,unknown,SHA256,True,False,False,False,False,401,False,193.16170652049297,
10,1767721001.319846,1170596,strong_user_01,password_10,unknown,SHA256,True,False,False,False,False,401,False,171.90383441181046,
11,1767721006.4917498,1170596,strong_user_01,password_11,unknown,SHA256,True,False,False,False,False,401,False,139.67101061097765,
12,1767721006.6314209,1170596,strong_user_01,password_12,unknown,SHA256,True,False,False,False,False,401,False,171.4983126141104,
13,1767721006.8029191,1170596,strong_user_01,password_13,unknown,SHA256,True,False,False,False,False,401,False,180.95107346494598,
14,1767721006.9838703,1170596,strong_user_01,password_14,unknown,SHA256,True,False,False,False,False,401,False,169.58770421880965,
15,1767721007.1534579,1170596,strong_user_01,password_15,unknown,SHA256,True,False,False,False,False,401,False,156.25399038041425,
16,1767721007.309712,1170596,strong_user_01,password_16,unknown,SHA256,True,False,False,False,False,401,False,143.48800630653037,
17,1767721007.4531999,1170596,strong_user_01,password_17,unknown,SHA256,True,False,False,False,False,401,False,195.69458334111246,
