attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767726000,1170596,strong_user_01,password_1,unknown,SHA256,True,True,False,False,False,401,False,166.52065963317975,
2,1767726000.1665206,1170596,strong_user_01,password_2,unknown,SHA256,True,True,False,False,False,401,False,134.76844285451176,
3,1767726000.301289,1170596,strong_user_01,password_3,unknown,SHA256,True,True,False,False,False,401,False,116.03353590333074,
4,1767726000.4173226,1170596,strong_user_01,password_4,unknown,SHA256,True,True,False,False,False,401,False,173.34438585802275,
5,1767726000.590667,1170596,strong_user_01,password_5,unknown,SHA256,True,True,False,False,False,401,False,105.72761139889856,
7,1767726301.590667,1170596,strong_user_01,password_7,unknown,SHA256,True,True,False,False,False,401,False,173.24312797780402,
8,1767726301.76391,1170596,strong_user_01,password_8,unknown,SHA256,True,True,False,False,False,401,False,128.16250819567492,
9,1767726301.8920727,1170596,strong_user_01,password_9,unknown,SHA256,True,True,False,False,False,401,False,105.89855532807186,
10,1767726301.9979713,1170596,strong_user_01,password_10,unknown,SHA256,True,True,False,False,False,401,False,122.32151469947706,
11,1767726302.120293,1170596,strong_user_01,password_11,unknown,SHA256,True,True,False,False,False,401,False,151.03477609699925,
13,1767726603.120293,1170596,strong_user_01,password_13,unknown,SHA256,True,True,False,False,False,401,False,131.21360262112125,
14,1767726603.2515066,1170596,strong_user_01,password_14,unknown,SHA256,True,True,False,False,False,401,False,182.5828259086731,
15,1767726603.4340894,1170596,strong_user_01,password_15,unknown,SHA256,True,True,False,False,False,401,False,184.10976001059183,
16,1767726603.618199,1170596,strong_user_01,password_16,unknown,SHA256,True,True,False,False,False,401,False,160.45354795121287,
17,1767726603.7786527,1170596,strong_user_01,password_17,unknown,SHA256,True,True,False,False,False,401,False,146.934296837968,
19,1767726904.7786527,1170596,strong_user_01,password_19,unknown,SHA256,True,True,False,False,False,401,False,175.44970419693655,
20,1767726904.9541023,1170596,strong_user_01,password_20,unknown,SHA256,True,True,False,False,False,401,False,151.43194889395988,
21,1767726905.1055343,1170596,strong_user_01,password_21,unknown,SHA256,True,True,False,False,False,401,False,112.39660507789239,
22,1767726905.217931,1170596,strong_user_01,password_22,unknown,SHA256,True,True,False,False,False,401,False,113.47960190138869,
23,1767726905.3314106,1170596,strong_user_01,password_23,unknown,SHA256,True,True,False,False,False,401,False,104.76171879464334,
25,1767727206.3314106,1170596,strong_user_01,password_25,unknown,SHA256,True,True,False,False,False,401,False,175.7425084360343,
26,1767727206.5071533,1170596,strong_user_01,password_26,unknown,SHA256,True,True,False,False,False,401,False,182.3872712916368,
27,1767727206.6895406,1170596,strong_user_01,password_27,unknown,SHA256,True,True,False,False,False,401,False,112.86570923436189,
28,1767727206.8024063,1170596,strong_user_01,password_28,unknown,SHA256,True,True,False,False,False,401,False,139.84609630440485,
29,1767727206.9422524,1170596,strong_user_01,password_29,unknown,SHA256,True,True,False,False,False,401,False,192.0985990570036,
31,1767727507.9422524,1170596,strong_user_01,password_31,unknown,SHA256,True,True,False,False,False,401,False,101.72872144588709,
32,1767727508.043981,1170596,strong_user_01,password_32,unknown,SHA256,True,True,False,False,False,401,False,102.90441092379825,
33,1767727508.1468854,1170596,strong_user_01,password_33,unknown,SHA256,True,True,False,False,False,401,False,182.12824715778373,
34,1767727508.3290136,1170596,strong_user_01,password_34,unknown,SHA256,True,True,False,False,False,401,False,163.91148073365372,
35,1767727508.4929252,1170596,strong_user_01,password_35,unknown,SHA256,True,True,False,False,False,401,False,105.4321302802488,
37,1767727809.4929252,1170596,strong_user_01,password_37,unknown,SHA256,True,True,False,False,False,401,False,126.13613737283818,
38,1767727809.6190612,1170596,strong_user_01,password_38,unknown,SHA256,True,True,False,False,False,401,False,178.95676934109167,
39,1767727809.798018,1170596,strong_user_01,password_39,unknown,SHA256,True,True,False,False,False,401,False,146.52129268537092,
40,1767727809.9445393,1170596,strong_user_01,password_40,unknown,SHA256,True,True,False,False,False,401,False,164.9062434384428,
41,1767727810.1094456,1170596,strong_user_01,password_41,unknown,SHA256,True,True,False,False,False,401,False,160.95305270935197,
43,1767728111.1094456,1170596,strong_user_01,password_43,unknown,SHA256,True,True,False,False,False,401,False,147.84758057080893,
44,1767728111.2572932,1170596,strong_user_01,password_44,unknown,SHA256,True,True,False,False,False,401,False,114.91786240621106,
45,1767728111.372211,1170596,strong_user_01,password_45,unknown,SHA256,True,True,False,False,False,401,False,198.72848689548368,
46,1767728111.5709395,1170596,strong_user_01,password_46,unknown,SHA256,True,True,False,False,False,401,False,146.946297987208,
47,1767728111.7178857,1170596,strong_user_01,password_47,unknown,SHA256,True,True,False,False,False,401,False,170.38618262971696,
49,1767728412.7178857,1170596,strong_user_01,password_49,unknown,SHA256,True,True,False,False,False,401,False,192.79100488074874,
50,1767728412.9106767,1170596,strong_user_01,password_50,unknown,SHA256,True,True,False,False,False,401,False,182.89184240066447,
51,1767728413.0935686,1170596,strong_user_01,password_51,unknown,SHA256,True,True,False,False,False,401,False,181.71173124388855,
52,1767728413.2752802,1170596,strong_user_01,password_52,unknown,SHA256,True,True,False,False,False,401,False,144.11856414706045,
53,1767728413.4193988,1170596,strong_user_01,password_53,unknown,SHA256,True,True,False,False,False,401,False,199.06263732448645,
55,1767728714.4193988,1170596,strong_user_01,password_55,unknown,SHA256,True,True,False,False,False,401,False,160.43025813541857,
56,1767728714.579829,1170596,strong_user_01,password_56,unknown,SHA256,True,True,False,False,False,401,False,164.021666927725,
57,1767728714.7438507,1170596,strong_user_01,password_57,unknown,SHA256,True,True,False,False,False,401,False,101.58315618571625,
58,1767728714.845434,1170596,strong_user_01,password_58,unknown,SHA256,True,True,False,False,False,401,False,136.30858337312736,
59,1767728714.9817426,1170596,strong_user_01,password_59,unknown,SHA256,True,True,False,False,False,401,False,146.68386252644086,
61,1767729015.9817426,1170596,strong_user_01,password_61,unknown,SHA256,True,True,False,False,False,401,False,194.67467214243607,
62,1767729016.1764174,1170596,strong_user_01,password_62,unknown,SHA256,True,True,False,False,False,401,False,100.0174035172835,
63,1767729016.2764347,1170596,strong_user_01,password_63,unknown,SHA256,True,True,False,False,False,401,False,182.97535399486526,
64,1767729016.45941,1170596,strong_user_01,password_64,unknown,SHA256,True,True,False,False,False,401,False,113.91752766375231,
65,1767729016.5733275,1170596,strong_user_01,password_65,unknown,SHA256,True,True,False,False,False,401,False,191.975067472969,
67,1767729317.5733275,1170596,strong_user_01,password_67,unknown,SHA256,True,True,False,False,False,401,False,170.7438193681084,
68,1767729317.7440712,1170596,strong_user_01,password_68,unknown,SHA256,True,True,False,False,False,401,False,168.43578393158418,
69,1767729317.912507,1170596,strong_user_01,password_69,unknown,SHA256,True,True,False,False,False,401,False,130.4231584430243,
70,1767729318.0429301,1170596,strong_user_01,password_70,unknown,SHA256,True,True,False,False,False,401,False,179.76405282090468,
71,1767729318.2226942,1170596,strong_user_01,password_71,unknown,SHA256,True,True,False,False,False,401,False,179.18092668248204,
73,1767729619.2226942,1170596,strong_user_01,password_73,unknown,SHA256,True,True,False,False,False,401,False,188.6072241277405,
74,1767729619.4113014,1170596,strong_user_01,password_74,unknown,SHA256,True,True,False,False,False,401,False,130.21653583321006,
75,1767729619.541518,1170596,strong_user_01,password_75,unknown,SHA256,True,True,False,False,False,401,False,139.09685378984918,
76,1767729619.6806147,1170596,strong_user_01,password_76,unknown,SHA256,True,True,False,False,False,401,False,185.2462299190799,
77,1767729619.865861,1170596,strong_user_01,password_77,unknown,SHA256,True,True,False,False,False,401,False,132.41312096237283,
79,1767729920.865861,1170596,strong_user_01,password_79,unknown,SHA256,True,True,False,False,False,401,False,149.35625398141957,
80,1767729921.0152173,1170596,strong_user_01,password_80,unknown,SHA256,True,True,False,False,False,401,False,130.42166737292308,
