attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767725000,1170596,strong_user_01,password_1,unknown,SHA256,False,False,False,False,True,401,False,145.83165258587476,Invalid TOTP code
2,1767725000.1458316,1170596,strong_user_01,password_2,unknown,SHA256,False,False,False,False,True,401,False,190.67331900158143,Invalid TOTP code
3,1767725000.336505,1170596,strong_user_01,password_3,unknown,SHA256,False,False,False,False,True,401,False,156.3088595692921,Invalid TOTP code
4,1767725000.4928138,1170596,strong_user_01,password_4,unknown,SHA256,False,False,False,False,True,401,False,163.64623742412422,Invalid TOTP code
5,1767725000.65646,1170596,strong_user_01,password_5,unknown,SHA256,False,False,False,False,True,401,False,147.7222214305231,Invalid TOTP code
6,1767725000.8041823,1170596,strong_user_01,password_6,unknown,SHA256,False,False,False,False,True,401,False,153.22073165134282,Invalid TOTP code
7,1767725000.957403,1170596,strong_user_01,password_7,unknown,SHA256,False,False,False,False,True,401,False,155.95895947978062,Invalid TOTP code
8,1767725001.1133618,1170596,strong_user_01,password_8,unknown,SHA256,False,False,False,False,True,401,False,143.06645620468237,Invalid TOTP code
9,1767725001.2564282,1170596,strong_user_01,password_9,unknown,SHA256,False,False,False,False,True,401,False,105.72365053762455,Invalid TOTP code
10,1767725001.3621519,1170596,strong_user_01,password_10,unknown,SHA256,False,False,False,False,True,401,False,156.51704718971015,Invalid TOTP code
11,1767725001.518669,1170596,strong_user_01,password_11,unknown,SHA256,False,False,False,False,True,401,False,110.35908241006585,Invalid TOTP code
12,1767725001.629028,1170596,strong_user_01,password_12,unknown,SHA256,False,False,False,False,True,401,False,196.99606577078674,Invalid TOTP code
13,1767725001.826024,1170596,strong_user_01,password_13,unknown,SHA256,False,False,False,False,True,401,False,155.23516928222966,Invalid TOTP code
14,1767725001.981259,1170596,strong_user_01,password_14,unknown,SHA256,False,False,False,False,True,401,False,110.8419276023973,Invalid TOTP code
15,1767725002.092101,1170596,strong_user_01,password_15,unknown,SHA256,False,False,False,False,True,401,False,133.47525290887023,Invalid TOTP code
16,1767725002.2255764,1170596,strong_user_01,password_16,unknown,SHA256,False,False,False,False,True,401,False,192.68291351743693,Invalid TOTP code
17,1767725002.4182594,1170596,strong_user_01,password_17,unknown,SHA256,False,False,False,False,True,401,False,185.24220094964022,Invalid TOTP code
18,1767725002.6035016,1170596,strong_user_01,password_18,unknown,SHA256,False,False,False,False,True,401,False,134.73057990566068,Invalid TOTP code
19,1767725002.7382321,1170596,strong_user_01,password_19,unknown,SHA256,False,False,False,False,True,401,False,103.59376765479145,Invalid TOTP code
20,1767725002.841826,1170596,strong_user_01,password_20,unknown,SHA256,False,False,False,False,True,401,False,114.56671801470664,Invalid TOTP code
21,1767725002.9563928,1170596,strong_user_01,password_21,unknown,SHA256,False,False,False,False,True,401,False,171.8194145356285,Invalid TOTP code
22,1767725003.1282122,1170596,strong_user_01,password_22,unknown,SHA256,False,False,False,False,True,401,False,157.7612452540349,Invalid TOTP code
23,1767725003.2859735,1170596,strong_user_01,password_23,unknown,SHA256,False,False,False,False,True,401,False,101.21099634029318,Invalid TOTP code
