attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767765000,1170596,weak_user_01,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,250.90888586799653,Invalid TOTP code
2,1767765000.2509089,1170596,weak_user_01,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,262.10176291584315,Invalid TOTP code
3,1767765000.5130105,1170596,weak_user_01,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,293.9751411448651,Invalid TOTP code
4,1767765000.8069856,1170596,weak_user_01,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,248.5169711535337,Invalid TOTP code
5,1767765001.0555027,1170596,weak_user_01,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,243.09412675299245,Invalid TOTP code
6,1767765001.2985969,1170596,weak_user_01,password_6,unknown,ARGON2ID,False,False,False,False,True,401,False,214.8603713040609,Invalid TOTP code
7,1767765001.5134573,1170596,weak_user_01,password_7,unknown,ARGON2ID,False,False,False,False,True,401,False,218.708064508601,Invalid TOTP code
8,1767765001.7321653,1170596,weak_user_01,password_8,unknown,ARGON2ID,False,False,False,False,True,401,False,235.1549612741979,Invalid TOTP code
9,1767765001.9673202,1170596,weak_user_01,password_9,unknown,ARGON2ID,False,False,False,False,True,401,False,282.7052304478569,Invalid TOTP code
10,1767765002.2500255,1170596,weak_user_01,password_10,unknown,ARGON2ID,False,False,False,False,True,401,False,292.27108175763834,Invalid TOTP code
11,1767765002.5422966,1170596,weak_user_01,password_11,unknown,ARGON2ID,False,False,False,False,True,401,False,267.1010044938322,Invalid TOTP code
12,1767765002.8093977,1170596,weak_user_01,password_12,unknown,ARGON2ID,False,False,False,False,True,401,False,245.37012367471704,Invalid TOTP code
13,1767765003.0547678,1170596,weak_user_01,password_13,unknown,ARGON2ID,False,False,False,False,True,401,False,274.04324365721396,Invalid TOTP code
14,1767765003.3288112,1170596,weak_user_01,password_14,unknown,ARGON2ID,False,False,False,False,True,401,False,226.58734052161634,Invalid TOTP code
15,1767765003.5553985,1170596,weak_user_01,password_15,unknown,ARGON2ID,False,False,False,False,True,401,False,203.36661184149767,Invalid TOTP code
16,1767765003.758765,1170596,weak_user_01,password_16,unknown,ARGON2ID,False,False,False,False,True,401,False,226.71797698944985,Invalid TOTP code
17,1767765003.985483,1170596,weak_user_01,password_17,unknown,ARGON2ID,False,False,False,False,True,401,False,234.17473126365542,Invalid TOTP code
18,1767765004.2196577,1170596,weak_user_01,password_18,unknown,ARGON2ID,False,False,False,False,True,401,False,249.70003282040318,Invalid TOTP code
19,1767765004.4693577,1170596,weak_user_01,password_19,unknown,ARGON2ID,False,False,False,False,True,401,False,218.11570421907197,Invalid TOTP code
20,1767765004.6874735,1170596,weak_user_01,password_20,unknown,ARGON2ID,False,False,False,False,True,401,False,281.54567729339357,Invalid TOTP code
21,1767765004.9690192,1170596,weak_user_01,password_21,unknown,ARGON2ID,False,False,False,False,True,401,False,282.87603950227987,Invalid TOTP code
22,1767765005.2518952,1170596,weak_user_01,password_22,unknown,ARGON2ID,False,False,False,False,True,401,False,254.53272497452463,Invalid TOTP code
23,1767765005.506428,1170596,weak_user_01,password_23,unknown,ARGON2ID,False,False,False,False,True,401,False,273.2090431141369,Invalid TOTP code
24,1767765005.779637,1170596,weak_user_01,password_24,unknown,ARGON2ID,False,False,False,False,True,401,False,200.957536558976,Invalid TOTP code
25,1767765005.9805946,1170596,weak_user_01,password_25,unknown,ARGON2ID,False,False,False,False,True,401,False,204.20401143663463,Invalid TOTP code
26,1767765006.1847987,1170596,weak_user_01,password_26,unknown,ARGON2ID,False,False,False,False,True,401,False,237.5147628056285,Invalid TOTP code
27,1767765006.4223135,1170596,weak_user_01,password_27,unknown,ARGON2ID,False,False,False,False,True,401,False,264.803583580766,Invalid TOTP code
28,1767765006.687117,1170596,weak_user_01,password_28,unknown,ARGON2ID,False,False,False,False,True,401,False,277.1384042587133,Invalid TOTP code
29,1767765006.9642556,1170596,weak_user_01,password_29,unknown,ARGON2ID,False,False,False,False,True,401,False,217.5311996647987,Invalid TOTP code
30,1767765007.1817868,1170596,weak_user_01,password_30,unknown,ARGON2ID,False,False,False,False,True,401,False,281.03705752981904,Invalid TOTP code
31,1767765007.4628239,1170596,weak_user_01,password_31,unknown,ARGON2ID,False,False,False,False,True,401,False,247.78947887568543,Invalid TOTP code
32,1767765007.7106133,1170596,weak_user_01,password_32,unknown,ARGON2ID,False,False,False,False,True,401,False,227.12253440694622,Invalid TOTP code
33,1767765007.9377358,1170596,weak_user_01,password_33,unknown,ARGON2ID,False,False,False,False,True,401,False,203.10359334859788,Invalid TOTP code
34,1767765008.1408393,1170596,weak_user_01,password_34,unknown,ARGON2ID,False,False,False,False,True,401,False,226.47287204106397,Invalid TOTP code
35,1767765008.3673122,1170596,weak_user_01,password_35,unknown,ARGON2ID,False,False,False,False,True,401,False,281.5228138209991,Invalid TOTP code
36,1767765008.648835,1170596,weak_user_01,password_36,unknown,ARGON2ID,False,False,False,False,True,401,False,247.75415683387362,Invalid TOTP code
37,1767765008.896589,1170596,weak_user_01,password_37,unknown,ARGON2ID,False,False,False,False,True,401,False,292.3996486930563,Invalid TOTP code
38,1767765009.1889887,1170596,weak_user_01,password_38,unknown,ARGON2ID,False,False,False,False,True,401,False,298.0814437848124,Invalid TOTP code
39,1767765009.48707,1170596,weak_user_01,password_39,unknown,ARGON2ID,False,False,False,False,True,401,False,235.51968610194814,Invalid TOTP code
40,1767765009.7225897,1170596,weak_user_01,password_40,unknown,ARGON2ID,False,False,False,False,True,401,False,288.2051771158292,Invalid TOTP code
41,1767765010.0107949,1170596,weak_user_01,password_41,unknown,ARGON2ID,False,False,False,False,True,401,False,205.66083466566593,Invalid TOTP code
42,1767765010.2164557,1170596,weak_user_01,password_42,unknown,ARGON2ID,False,False,False,False,True,401,False,269.91070104590244,Invalid TOTP code
43,1767765010.4863665,1170596,weak_user_01,password_43,unknown,ARGON2ID,False,False,False,False,True,401,False,241.68615402201766,Invalid TOTP code
44,1767765010.7280526,1170596,weak_user_01,password_44,unknown,ARGON2ID,False,False,False,False,True,401,False,201.5622208411114,Invalid TOTP code
45,1767765010.9296148,1170596,weak_user_01,password_45,unknown,ARGON2ID,False,False,False,False,True,401,False,272.8725334551509,Invalid TOTP code
46,1767765011.2024872,1170596,weak_user_01,password_46,unknown,ARGON2ID,False,False,False,False,True,401,False,210.2467663774757,Invalid TOTP code
47,1767765011.412734,1170596,weak_user_01,password_47,unknown,ARGON2ID,False,False,False,False,True,401,False,269.42408901109263,Invalid TOTP code
48,1767765011.6821582,1170596,weak_user_01,password_48,unknown,ARGON2ID,False,False,False,False,True,401,False,241.6128704300698,Invalid TOTP code
49,1767765011.9237711,1170596,weak_user_01,password_49,unknown,ARGON2ID,False,False,False,False,True,401,False,272.6832960703041,Invalid TOTP code
50,1767765012.1964545,1170596,weak_user_01,password_50,unknown,ARGON2ID,False,False,False,False,True,401,False,248.44250480521953,Invalid TOTP code
51,1767765012.444897,1170596,weak_user_01,password_51,unknown,ARGON2ID,False,False,False,False,True,401,False,265.59931743842606,Invalid TOTP code
52,1767765012.7104962,1170596,weak_user_01,password_52,unknown,ARGON2ID,False,False,False,False,True,401,False,229.0584626762424,Invalid TOTP code
53,1767765012.9395547,1170596,weak_user_01,password_53,unknown,ARGON2ID,False,False,False,False,True,401,False,287.6086784408728,Invalid TOTP code
54,1767765013.2271633,1170596,weak_user_01,password_54,unknown,ARGON2ID,False,False,False,False,True,401,False,207.08359596582577,Invalid TOTP code
