attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767735000,1170596,weak_user_01,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,378.44162379562033,Invalid TOTP code
2,1767735000.3784416,1170596,weak_user_01,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,359.16367214671396,Invalid TOTP code
3,1767735000.7376053,1170596,weak_user_01,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,394.2941887509917,Invalid TOTP code
4,1767735001.1318996,1170596,weak_user_01,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,322.8296650192307,Invalid TOTP code
5,1767735001.4547293,1170596,weak_user_01,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,362.1819139236999,Invalid TOTP code
6,1767735001.8169112,1170596,weak_user_01,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,325.68927447697604,Invalid TOTP code
7,1767735002.1426005,1170596,weak_user_01,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,314.99968146882924,Invalid TOTP code
8,1767735002.4576,1170596,weak_user_01,password_8,unknown,BCRYPT,False,False,False,False,True,401,False,349.7731081645679,Invalid TOTP code
9,1767735002.8073733,1170596,weak_user_01,password_9,unknown,BCRYPT,False,False,False,False,True,401,False,387.8648342535655,Invalid TOTP code
10,1767735003.195238,1170596,weak_user_01,password_10,unknown,BCRYPT,False,False,False,False,True,401,False,302.70642517496674,Invalid TOTP code
11,1767735003.4979446,1170596,weak_user_01,password_11,unknown,BCRYPT,False,False,False,False,True,401,False,369.18340127915167,Invalid TOTP code
12,1767735003.867128,1170596,weak_user_01,password_12,unknown,BCRYPT,False,False,False,False,True,401,False,305.39990972978455,Invalid TOTP code
13,1767735004.1725278,1170596,weak_user_01,password_13,unknown,BCRYPT,False,False,False,False,True,401,False,312.3077259277951,Invalid TOTP code
14,1767735004.4848356,1170596,weak_user_01,password_14,unknown,BCRYPT,False,False,False,False,True,401,False,393.69170588869883,Invalid TOTP code
15,1767735004.8785274,1170596,weak_user_01,password_15,unknown,BCRYPT,False,False,False,False,True,401,False,357.3627495515712,Invalid TOTP code
16,1767735005.2358902,1170596,weak_user_01,password_16,unknown,BCRYPT,False,False,False,False,True,401,False,380.5387106197685,Invalid TOTP code
17,1767735005.6164289,1170596,weak_user_01,password_17,unknown,BCRYPT,False,False,False,False,True,401,False,357.03463758805805,Invalid TOTP code
18,1767735005.9734635,1170596,weak_user_01,password_18,unknown,BCRYPT,False,False,False,False,True,401,False,370.7421529258869,Invalid TOTP code
19,1767735006.3442056,1170596,weak_user_01,password_19,unknown,BCRYPT,False,False,False,False,True,401,False,367.13312364803176,Invalid TOTP code
20,1767735006.7113388,1170596,weak_user_01,password_20,unknown,BCRYPT,False,False,False,False,True,401,False,397.1115299187674,Invalid TOTP code
21,1767735007.1084502,1170596,weak_user_01,password_21,unknown,BCRYPT,False,False,False,False,True,401,False,333.80124290116055,Invalid TOTP code
22,1767735007.4422514,1170596,weak_user_01,password_22,unknown,BCRYPT,False,False,False,False,True,401,False,329.33881054026324,Invalid TOTP code
23,1767735007.7715902,1170596,weak_user_01,password_23,unknown,BCRYPT,False,False,False,False,True,401,False,309.50880962161415,Invalid TOTP code
24,1767735008.081099,1170596,weak_user_01,password_24,unknown,BCRYPT,False,False,False,False,True,401,False,367.8864368382055,Invalid TOTP code
25,1767735008.4489856,1170596,weak_user_01,password_25,unknown,BCRYPT,False,False,False,False,True,401,False,345.1951560554611,Invalid TOTP code
26,1767735008.7941806,1170596,weak_user_01,password_26,unknown,BCRYPT,False,False,False,False,True,401,False,369.2951655777732,Invalid TOTP code
27,1767735009.1634758,1170596,weak_user_01,password_27,unknown,BCRYPT,False,False,False,False,True,401,False,390.7950574994653,Invalid TOTP code
28,1767735009.5542707,1170596,weak_user_01,password_28,unknown,BCRYPT,False,False,False,False,True,401,False,390.47303480303924,Invalid TOTP code
29,1767735009.9447439,1170596,weak_user_01,password_29,unknown,BCRYPT,False,False,False,False,True,401,False,394.95866206244165,Invalid TOTP code
30,1767735010.3397026,1170596,weak_user_01,password_30,unknown,BCRYPT,False,False,False,False,True,401,False,360.7107067447329,Invalid TOTP code
31,1767735010.7004132,1170596,weak_user_01,password_31,unknown,BCRYPT,False,False,False,False,True,401,False,356.912590599605,Invalid TOTP code
32,1767735011.0573258,1170596,weak_user_01,password_32,unknown,BCRYPT,False,False,False,False,True,401,False,364.47893537968565,Invalid TOTP code
33,1767735011.4218047,1170596,weak_user_01,password_33,unknown,BCRYPT,False,False,False,False,True,401,False,329.002192137198,Invalid TOTP code
34,1767735011.7508068,1170596,weak_user_01,password_34,unknown,BCRYPT,False,False,False,False,True,401,False,358.391746370155,Invalid TOTP code
35,1767735012.1091986,1170596,weak_user_01,password_35,unknown,BCRYPT,False,False,False,False,True,401,False,300.4233060366137,Invalid TOTP code
36,1767735012.409622,1170596,weak_user_01,password_36,unknown,BCRYPT,False,False,False,False,True,401,False,305.60731129944725,Invalid TOTP code
37,1767735012.7152293,1170596,weak_user_01,password_37,unknown,BCRYPT,False,False,False,False,True,401,False,322.41921726541,Invalid TOTP code
38,1767735013.0376484,1170596,weak_user_01,password_38,unknown,BCRYPT,False,False,False,False,True,401,False,324.2923360288131,Invalid TOTP code
39,1767735013.3619409,1170596,weak_user_01,password_39,unknown,BCRYPT,False,False,False,False,True,401,False,369.0257248020416,Invalid TOTP code
