attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767705000,1170596,weak_user_01,password_1,unknown,SHA256,False,False,False,False,True,401,False,138.55048069085467,Invalid TOTP code
2,1767705000.1385505,1170596,weak_user_01,password_2,unknown,SHA256,False,False,False,False,True,401,False,112.71762036630332,Invalid TOTP code
3,1767705000.2512681,1170596,weak_user_01,password_3,unknown,SHA256,False,False,False,False,True,401,False,166.47239600296703,Invalid TOTP code
4,1767705000.4177406,1170596,weak_user_01,password_4,unknown,SHA256,False,False,False,False,True,401,False,158.31763020764447,Invalid TOTP code
5,1767705000.5760581,1170596,weak_user_01,password_5,unknown,SHA256,False,False,False,False,True,401,False,147.84341887629688,Invalid TOTP code
6,1767705000.7239015,1170596,weak_user_01,password_6,unknown,SHA256,False,False,False,False,True,401,False,109.87592879803731,Invalid TOTP code
7,1767705000.8337774,1170596,weak_user_01,password_7,unknown,SHA256,False,False,False,False,True,401,False,119.79764094561479,Invalid TOTP code
8,1767705000.9535751,1170596,weak_user_01,password_8,unknown,SHA256,False,False,False,False,True,401,False,189.32789191143883,Invalid TOTP code
9,1767705001.142903,1170596,weak_user_01,password_9,unknown,SHA256,False,False,False,False,True,401,False,112.12335271388324,Invalid TOTP code
10,1767705001.2550263,1170596,weak_user_01,password_10,unknown,SHA256,False,False,False,False,True,401,False,182.32926560068012,Invalid TOTP code
11,1767705001.4373555,1170596,weak_user_01,password_11,unknown,SHA256,False,False,False,False,True,401,False,197.91857429013908,Invalid TOTP code
12,1767705001.6352742,1170596,weak_user_01,password_12,unknown,SHA256,False,False,False,False,True,401,False,176.13104898388468,Invalid TOTP code
13,1767705001.8114052,1170596,weak_user_01,password_13,unknown,SHA256,False,False,False,False,True,401,False,157.21629004274757,Invalid TOTP code
14,1767705001.9686215,1170596,weak_user_01,password_14,unknown,SHA256,False,False,False,False,True,401,False,192.35240369729252,Invalid TOTP code
15,1767705002.1609738,1170596,weak_user_01,password_15,unknown,SHA256,False,False,False,False,True,401,False,167.90769017292655,Invalid TOTP code
16,1767705002.3288815,1170596,weak_user_01,password_16,unknown,SHA256,False,False,False,False,True,401,False,124.52050849899497,Invalid TOTP code
17,1767705002.453402,1170596,weak_user_01,password_17,unknown,SHA256,False,False,False,False,True,401,False,189.9498245830929,Invalid TOTP code
18,1767705002.6433518,1170596,weak_user_01,password_18,unknown,SHA256,False,False,False,False,True,401,False,159.4338562772973,Invalid TOTP code
19,1767705002.8027856,1170596,weak_user_01,password_19,unknown,SHA256,False,False,False,False,True,401,False,101.85591850737208,Invalid TOTP code
20,1767705002.9046416,1170596,weak_user_01,password_20,unknown,SHA256,False,False,False,False,True,401,False,185.60465929296453,Invalid TOTP code
21,1767705003.0902462,1170596,weak_user_01,password_21,unknown,SHA256,False,False,False,False,True,401,False,111.73028599444744,Invalid TOTP code
22,1767705003.2019765,1170596,weak_user_01,password_22,unknown,SHA256,False,False,False,False,True,401,False,150.68175083035925,Invalid TOTP code
23,1767705003.3526583,1170596,weak_user_01,password_23,unknown,SHA256,False,False,False,False,True,401,False,154.14157491004585,Invalid TOTP code
24,1767705003.5068,1170596,weak_user_01,password_24,unknown,SHA256,False,False,False,False,True,401,False,105.12449994344726,Invalid TOTP code
25,1767705003.6119244,1170596,weak_user_01,password_25,unknown,SHA256,False,False,False,False,True,401,False,100.78862841180485,Invalid TOTP code
26,1767705003.712713,1170596,weak_user_01,password_26,unknown,SHA256,False,False,False,False,True,401,False,123.69472912548616,Invalid TOTP code
27,1767705003.8364077,1170596,weak_user_01,password_27,unknown,SHA256,False,False,False,False,True,401,False,139.1280475007133,Invalid TOTP code
28,1767705003.9755356,1170596,weak_user_01,password_28,unknown,SHA256,False,False,False,False,True,401,False,195.7595130467289,Invalid TOTP code
29,1767705004.1712952,1170596,weak_user_01,password_29,unknown,SHA256,False,False,False,False,True,401,False,118.11205558713581,Invalid TOTP code
