attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767862000,1170596,medium_user_01,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,265.0142754478385,
2,1767862000.2650142,1170596,medium_user_02,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,291.8566831343459,
3,1767862000.556871,1170596,medium_user_03,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,213.27548772502564,
4,1767862000.7701464,1170596,medium_user_04,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,292.0513708782857,
5,1767862001.0621977,1170596,medium_user_05,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,270.2729413857443,
6,1767862001.3324707,1170596,medium_user_06,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,216.87024133344357,
7,1767862001.549341,1170596,medium_user_07,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,274.18967780066333,
8,1767862001.8235307,1170596,medium_user_08,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,279.9416102564961,
9,1767862002.1034722,1170596,medium_user_09,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,238.00021997800684,
10,1767862002.3414724,1170596,medium_user_10,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,204.9850977104353,
11,1767862002.5464575,1170596,medium_user_01,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,272.24540538017607,
12,1767862002.818703,1170596,medium_user_02,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,239.90481783625327,
13,1767862003.0586078,1170596,medium_user_03,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,277.55743382049025,
14,1767862003.3361652,1170596,medium_user_04,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,230.6306394595364,
15,1767862003.5667958,1170596,medium_user_05,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,231.5994788734885,
16,1767862003.7983954,1170596,medium_user_06,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,256.2020125700874,
17,1767862004.0545974,1170596,medium_user_07,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,259.657617217992,
18,1767862004.314255,1170596,medium_user_08,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,267.19641682585166,
19,1767862004.5814514,1170596,medium_user_09,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,219.13234114804027,
20,1767862004.8005838,1170596,medium_user_10,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,281.1939408418515,
21,1767862005.0817778,1170596,medium_user_01,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,247.20655131484097,
22,1767862005.3289843,1170596,medium_user_02,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,218.24579460850538,
23,1767862005.54723,1170596,medium_user_03,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,235.34437034519823,
24,1767862005.7825744,1170596,medium_user_04,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,252.7667427998199,
25,1767862006.0353413,1170596,medium_user_05,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,221.96677636606495,
26,1767862006.257308,1170596,medium_user_06,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,263.1112367722676,
27,1767862006.5204194,1170596,medium_user_07,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,265.2631467893726,
28,1767862006.7856824,1170596,medium_user_08,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,229.26957346237327,
29,1767862007.014952,1170596,medium_user_09,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,209.8960803147504,
30,1767862007.224848,1170596,medium_user_10,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,253.89049090371898,
31,1767862007.4787385,1170596,medium_user_01,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,213.48894569775348,
32,1767862007.6922276,1170596,medium_user_02,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,296.3797368581561,
33,1767862007.9886074,1170596,medium_user_03,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,274.57792548854627,
34,1767862008.2631853,1170596,medium_user_04,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,274.1169969983448,
35,1767862008.5373023,1170596,medium_user_05,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,267.5460435078866,
