attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767860000,1170596,medium_user_01,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,274.4742340795876,
2,1767860000.2744741,1170596,medium_user_02,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,260.6992951433415,
3,1767860000.5351734,1170596,medium_user_03,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,257.7987561396379,
4,1767860000.792972,1170596,medium_user_04,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,293.1974922631156,
5,1767860001.0861695,1170596,medium_user_05,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,277.4714848690086,
6,1767860001.363641,1170596,medium_user_06,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,260.77831520783275,
7,1767860001.6244195,1170596,medium_user_07,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,287.83844063728986,
8,1767860001.912258,1170596,medium_user_08,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,225.38112022725625,
9,1767860002.137639,1170596,medium_user_09,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,247.72721731257548,
10,1767860002.3853662,1170596,medium_user_10,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,249.7805322354455,
11,1767860002.6351466,1170596,medium_user_01,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,226.37105091995198,
12,1767860002.8615177,1170596,medium_user_02,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,251.913560956104,
13,1767860003.1134312,1170596,medium_user_03,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,285.3527864549912,
14,1767860003.398784,1170596,medium_user_04,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,235.69331468186033,
15,1767860003.6344771,1170596,medium_user_05,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,202.30347815669978,
16,1767860003.8367805,1170596,medium_user_06,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,253.6643229659275,
17,1767860004.0904448,1170596,medium_user_07,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,228.45644173658584,
18,1767860004.3189013,1170596,medium_user_08,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,295.96859612020864,
