attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767864000,1170596,medium_user_01,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,203.27312668869598,
2,1767864000.203273,1170596,medium_user_02,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,279.7581010272175,
3,1767864000.4830313,1170596,medium_user_03,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,266.27434686196216,
4,1767864000.7493057,1170596,medium_user_04,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,252.26431498965187,
5,1767864001.00157,1170596,medium_user_05,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,218.8217794679636,
6,1767864001.2203918,1170596,medium_user_06,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,295.4268225334381,
7,1767864001.5158186,1170596,medium_user_07,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,289.57419161319064,
8,1767864001.8053927,1170596,medium_user_08,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,292.8623468819052,
9,1767864002.0982552,1170596,medium_user_09,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,285.7791976708078,
10,1767864002.3840344,1170596,medium_user_10,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,277.42674727213074,
11,1767864002.661461,1170596,medium_user_01,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,284.99614141755507,
12,1767864002.9464571,1170596,medium_user_02,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,241.41780579205556,
13,1767864003.187875,1170596,medium_user_03,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,236.52675940818418,
14,1767864003.4244018,1170596,medium_user_04,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,209.62453036899052,
15,1767864003.6340263,1170596,medium_user_05,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,298.54801603168704,
16,1767864003.9325743,1170596,medium_user_06,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,220.40964066177293,
17,1767864004.152984,1170596,medium_user_07,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,231.27760813391723,
18,1767864004.3842616,1170596,medium_user_08,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,242.15667390371652,
