attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767866000,1170596,medium_user_01,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,215.7115470073078,
2,1767866000.2157116,1170596,medium_user_02,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,227.1817546138715,
3,1767866000.4428933,1170596,medium_user_03,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,261.83542187670605,
4,1767866000.7047286,1170596,medium_user_04,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,217.7470431385017,
5,1767866000.9224756,1170596,medium_user_05,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,265.5458015038479,
6,1767866001.1880214,1170596,medium_user_06,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,229.82733959939196,
7,1767866001.4178488,1170596,medium_user_07,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,253.377260775937,
8,1767866001.671226,1170596,medium_user_08,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,245.86345736867978,
9,1767866001.9170895,1170596,medium_user_09,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,200.48794960694542,
10,1767866002.1175773,1170596,medium_user_10,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,237.21254493961587,
11,1767866007.35479,1170596,medium_user_01,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,270.4584997384548,
12,1767866007.6252484,1170596,medium_user_02,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,231.26928947265515,
13,1767866007.8565178,1170596,medium_user_03,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,211.89363407378198,
14,1767866008.0684114,1170596,medium_user_04,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,231.14109454665106,
15,1767866008.2995524,1170596,medium_user_05,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,208.44193739493838,
16,1767866008.5079944,1170596,medium_user_06,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,268.8966900303725,
17,1767866008.776891,1170596,medium_user_07,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,270.74278750280735,
18,1767866009.047634,1170596,medium_user_08,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,209.53188612617336,
19,1767866009.2571657,1170596,medium_user_09,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,262.298587704356,
20,1767866009.5194643,1170596,medium_user_10,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,225.98076104905672,
21,1767866014.745445,1170596,medium_user_01,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,239.65504124105428,
22,1767866014.9851,1170596,medium_user_02,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,290.9522664855086,
23,1767866015.2760522,1170596,medium_user_03,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,284.84630524857926,
24,1767866015.5608985,1170596,medium_user_04,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,268.51426485338465,
25,1767866015.8294127,1170596,medium_user_05,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,285.0837689280764,
26,1767866016.1144965,1170596,medium_user_06,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,252.3133835310197,
27,1767866016.3668098,1170596,medium_user_07,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,232.63050804010456,
28,1767866016.5994403,1170596,medium_user_08,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,213.0218579187137,
29,1767866016.812462,1170596,medium_user_09,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,220.28937140376706,
30,1767866017.0327516,1170596,medium_user_10,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,234.60995930127652,
31,1767866022.2673614,1170596,medium_user_01,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,254.97118864872917,
32,1767866022.5223327,1170596,medium_user_02,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,214.78878254172054,
33,1767866022.7371213,1170596,medium_user_03,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,232.9793137672936,
34,1767866022.9701006,1170596,medium_user_04,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,273.97499402098185,
35,1767866023.2440755,1170596,medium_user_05,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,240.92081013371222,
36,1767866023.4849963,1170596,medium_user_06,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,292.0059173163153,
37,1767866023.7770023,1170596,medium_user_07,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,231.49945767805545,
38,1767866024.0085018,1170596,medium_user_08,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,237.91696880856742,
39,1767866024.2464187,1170596,medium_user_09,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,234.12010879048813,
40,1767866024.4805388,1170596,medium_user_10,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,276.3506496470194,
41,1767866029.7568896,1170596,medium_user_01,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,220.19890419805543,
42,1767866029.9770885,1170596,medium_user_02,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,249.09046424578807,
43,1767866030.226179,1170596,medium_user_03,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,229.10235046521365,
44,1767866030.4552813,1170596,medium_user_04,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,217.47666266110207,
45,1767866030.6727579,1170596,medium_user_05,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,289.9097935263865,
46,1767866030.9626677,1170596,medium_user_06,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,271.28158308369245,
47,1767866031.2339492,1170596,medium_user_07,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,273.5369430247789,
48,1767866031.507486,1170596,medium_user_08,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,200.3954346379369,
49,1767866031.7078815,1170596,medium_user_09,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,210.17819366986888,
50,1767866031.9180596,1170596,medium_user_10,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,220.14742707497578,
