attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767865000,1170596,medium_user_01,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,227.65954701030898,Invalid TOTP
2,1767865000.2276595,1170596,medium_user_02,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,282.16561211116795,Invalid TOTP
3,1767865000.509825,1170596,medium_user_03,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,269.1739800753136,Invalid TOTP
4,1767865000.778999,1170596,medium_user_04,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,268.18429186894747,Invalid TOTP
5,1767865001.0471833,1170596,medium_user_05,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,277.4469170795673,Invalid TOTP
6,1767865001.3246303,1170596,medium_user_06,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,205.832908733734,Invalid TOTP
7,1767865001.5304632,1170596,medium_user_07,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,294.186572439716,Invalid TOTP
8,1767865001.8246498,1170596,medium_user_08,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,236.6245330559218,Invalid TOTP
9,1767865002.0612743,1170596,medium_user_09,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,284.6505926868411,Invalid TOTP
10,1767865002.3459249,1170596,medium_user_10,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,271.5764103187505,Invalid TOTP
11,1767865002.6175013,1170596,medium_user_01,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,213.58363834181503,Invalid TOTP
12,1767865002.831085,1170596,medium_user_02,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,271.45958394994767,Invalid TOTP
13,1767865003.1025445,1170596,medium_user_03,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,257.62827528148836,Invalid TOTP
14,1767865003.3601727,1170596,medium_user_04,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,228.48463660022836,Invalid TOTP
15,1767865003.5886574,1170596,medium_user_05,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,248.5671505440058,Invalid TOTP
