attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767832000,1170596,medium_user_01,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,359.93448079284315,
2,1767832000.3599346,1170596,medium_user_02,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,380.5225048870996,
3,1767832000.740457,1170596,medium_user_03,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,382.71043593772083,
4,1767832001.1231675,1170596,medium_user_04,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,390.107499124719,
5,1767832001.513275,1170596,medium_user_05,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,350.5545709717952,
6,1767832001.8638294,1170596,medium_user_06,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,322.3642768426382,
7,1767832002.1861937,1170596,medium_user_07,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,340.2256545641484,
8,1767832002.5264194,1170596,medium_user_08,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,395.69297007784377,
9,1767832002.9221125,1170596,medium_user_09,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,393.5853647219202,
10,1767832003.315698,1170596,medium_user_10,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,380.02543680830746,
11,1767832003.6957233,1170596,medium_user_01,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,312.32142036069075,
12,1767832004.0080447,1170596,medium_user_02,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,369.27334538849396,
13,1767832004.3773181,1170596,medium_user_03,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,329.7364077478063,
14,1767832004.7070546,1170596,medium_user_04,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,380.9771313786937,
15,1767832005.0880318,1170596,medium_user_05,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,373.91442546698056,
16,1767832005.4619462,1170596,medium_user_06,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,376.14646288303913,
17,1767832005.8380928,1170596,medium_user_07,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,325.0528113322024,
18,1767832006.1631455,1170596,medium_user_08,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,330.46098692206476,
19,1767832006.4936066,1170596,medium_user_09,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,377.4153086488028,
20,1767832006.871022,1170596,medium_user_10,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,379.666791453274,
21,1767832007.2506888,1170596,medium_user_01,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,313.4079344073404,
22,1767832007.5640967,1170596,medium_user_02,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,368.16863632304467,
23,1767832007.9322653,1170596,medium_user_03,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,377.3727582883654,
24,1767832008.309638,1170596,medium_user_04,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,321.38526128292875,
25,1767832008.6310232,1170596,medium_user_05,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,305.8479987778788,
26,1767832008.936871,1170596,medium_user_06,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,332.6409104413664,
27,1767832009.269512,1170596,medium_user_07,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,391.76708460411373,
28,1767832009.661279,1170596,medium_user_08,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,339.1448598338539,
29,1767832010.000424,1170596,medium_user_09,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,323.43901234045717,
30,1767832010.323863,1170596,medium_user_10,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,349.9439296790049,
31,1767832010.673807,1170596,medium_user_01,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,352.61304286859286,
32,1767832011.0264199,1170596,medium_user_02,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,397.2292273214342,
33,1767832011.423649,1170596,medium_user_03,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,309.273747133126,
34,1767832011.7329228,1170596,medium_user_04,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,313.89742692074566,
35,1767832012.0468202,1170596,medium_user_05,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,331.3937497873185,
36,1767832012.378214,1170596,medium_user_06,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,384.7024583637794,
37,1767832012.7629163,1170596,medium_user_07,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,394.3019117960742,
38,1767832013.1572182,1170596,medium_user_08,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,371.56871848686615,
39,1767832013.528787,1170596,medium_user_09,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,386.52765721330024,
40,1767832013.9153144,1170596,medium_user_10,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,358.5545463799775,
41,1767832014.273869,1170596,medium_user_01,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,379.7724394378874,
42,1767832014.6536415,1170596,medium_user_02,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,377.4960010866855,
43,1767832015.0311375,1170596,medium_user_03,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,387.3743006335696,
44,1767832015.4185119,1170596,medium_user_04,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,330.2642673654831,
45,1767832015.7487762,1170596,medium_user_05,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,348.3578703570241,
46,1767832016.097134,1170596,medium_user_06,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,376.75455251893135,
47,1767832016.4738886,1170596,medium_user_07,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,379.7846856574845,
48,1767832016.8536732,1170596,medium_user_08,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,332.1724027514058,
49,1767832017.1858456,1170596,medium_user_09,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,354.41443097234685,
50,1767832017.54026,1170596,medium_user_10,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,319.21104137985486,
