attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767830000,1170596,medium_user_01,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,306.85033785039093,
2,1767830000.3068504,1170596,medium_user_02,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,364.8978168836049,
3,1767830000.6717482,1170596,medium_user_03,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,349.84234534212237,
4,1767830001.0215905,1170596,medium_user_04,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,337.29000558307837,
5,1767830001.3588805,1170596,medium_user_05,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,387.420099413038,
6,1767830001.7463007,1170596,medium_user_06,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,369.0327296676049,
7,1767830002.1153333,1170596,medium_user_07,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,323.1270789350323,
8,1767830002.4384604,1170596,medium_user_08,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,356.70944521397416,
9,1767830002.7951698,1170596,medium_user_09,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,366.1409439553273,
10,1767830003.1613107,1170596,medium_user_10,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,316.3055910895193,
11,1767830003.4776163,1170596,medium_user_01,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,345.47779056780996,
12,1767830003.8230941,1170596,medium_user_02,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,312.92156381442175,
13,1767830004.1360157,1170596,medium_user_03,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,383.0815434237143,
14,1767830004.519097,1170596,medium_user_04,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,308.75416342987893,
15,1767830004.8278513,1170596,medium_user_05,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,368.4257591001428,
16,1767830005.1962771,1170596,medium_user_06,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,376.95237326981623,
17,1767830005.5732296,1170596,medium_user_07,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,302.12919651571156,
18,1767830005.8753588,1170596,medium_user_08,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,390.53925296298013,
19,1767830006.265898,1170596,medium_user_09,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,380.9972301118255,
20,1767830006.6468952,1170596,medium_user_10,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,366.56023720651774,
21,1767830007.0134554,1170596,medium_user_01,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,303.71520607565174,
22,1767830007.3171706,1170596,medium_user_02,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,316.97054759086063,
23,1767830007.6341412,1170596,medium_user_03,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,388.3834013678944,
24,1767830008.0225246,1170596,medium_user_04,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,339.5432917376093,
25,1767830008.362068,1170596,medium_user_05,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,361.3430944188334,
