attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767834000,1170596,medium_user_01,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,311.66366530948306,
2,1767834000.3116636,1170596,medium_user_02,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,327.7076191772527,
3,1767834000.6393712,1170596,medium_user_03,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,335.41221062046156,
4,1767834000.9747834,1170596,medium_user_04,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,384.2696470441935,
5,1767834001.3590531,1170596,medium_user_05,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,359.5590791780748,
6,1767834001.7186122,1170596,medium_user_06,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,314.5567390520774,
7,1767834002.033169,1170596,medium_user_07,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,352.8368439029649,
8,1767834002.3860059,1170596,medium_user_08,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,376.5087472087412,
9,1767834002.7625146,1170596,medium_user_09,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,323.3941891498454,
10,1767834003.085909,1170596,medium_user_10,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,311.64327886484875,
11,1767834003.3975523,1170596,medium_user_01,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,356.1229787733217,
12,1767834003.7536752,1170596,medium_user_02,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,397.88655736248467,
13,1767834004.1515617,1170596,medium_user_03,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,336.48163983185555,
14,1767834004.4880433,1170596,medium_user_04,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,390.0201813122237,
15,1767834004.8780634,1170596,medium_user_05,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,326.6150940649603,
16,1767834005.2046785,1170596,medium_user_06,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,310.6667342175453,
17,1767834005.5153453,1170596,medium_user_07,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,352.9369646133359,
18,1767834005.8682823,1170596,medium_user_08,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,351.9770346070572,
19,1767834006.2202594,1170596,medium_user_09,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,376.96694265776625,
20,1767834006.5972264,1170596,medium_user_10,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,374.94216808180886,
21,1767834006.9721684,1170596,medium_user_01,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,331.5741792232127,
22,1767834007.3037426,1170596,medium_user_02,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,335.6896447497464,
23,1767834007.6394322,1170596,medium_user_03,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,367.08372205417976,
24,1767834008.006516,1170596,medium_user_04,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,368.46982579381023,
25,1767834008.3749857,1170596,medium_user_05,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,369.94642596561823,
26,1767834008.7449322,1170596,medium_user_06,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,320.727346628955,
27,1767834009.0656595,1170596,medium_user_07,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,378.84595833346907,
28,1767834009.4445055,1170596,medium_user_08,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,310.60961740592836,
29,1767834009.755115,1170596,medium_user_09,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,393.5658119495701,
30,1767834010.148681,1170596,medium_user_10,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,362.3771877630385,
31,1767834010.511058,1170596,medium_user_01,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,308.25717915400526,
32,1767834010.8193152,1170596,medium_user_02,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,312.1909588316431,
33,1767834011.1315062,1170596,medium_user_03,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,359.78395196675024,
34,1767834011.49129,1170596,medium_user_04,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,353.248800387571,
35,1767834011.844539,1170596,medium_user_05,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,360.7788036766036,
36,1767834012.2053177,1170596,medium_user_06,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,378.9967461707115,
37,1767834012.5843146,1170596,medium_user_07,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,361.436917362652,
38,1767834012.9457514,1170596,medium_user_08,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,321.0790467785548,
39,1767834013.2668304,1170596,medium_user_09,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,392.3402091972104,
40,1767834013.6591706,1170596,medium_user_10,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,345.24399403079667,
41,1767834014.0044146,1170596,medium_user_01,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,361.40825612922805,
42,1767834014.3658228,1170596,medium_user_02,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,312.22086138012054,
43,1767834014.6780436,1170596,medium_user_03,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,388.3583428930695,
44,1767834015.066402,1170596,medium_user_04,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,395.9608911055749,
45,1767834015.4623628,1170596,medium_user_05,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,316.2477097232502,
46,1767834015.7786105,1170596,medium_user_06,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,319.69239195921716,
47,1767834016.0983028,1170596,medium_user_07,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,368.795861254056,
48,1767834016.4670987,1170596,medium_user_08,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,386.11396641307135,
49,1767834016.8532126,1170596,medium_user_09,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,365.83894363589485,
50,1767834017.2190516,1170596,medium_user_10,password_5,unknown,BCRYPT,False,False,False,True,False,401,False,331.4174969770206,
51,1767834017.5504692,1170596,medium_user_01,password_6,unknown,BCRYPT,False,False,False,True,False,401,False,376.03388126032553,
52,1767834017.926503,1170596,medium_user_02,password_6,unknown,BCRYPT,False,False,False,True,False,401,False,306.3778250977532,
53,1767834018.2328808,1170596,medium_user_03,password_6,unknown,BCRYPT,False,False,False,True,False,401,False,346.9940686249614,
54,1767834018.579875,1170596,medium_user_04,password_6,unknown,BCRYPT,False,False,False,True,False,401,False,355.8710042616073,
55,1767834018.935746,1170596,medium_user_05,password_6,unknown,BCRYPT,False,False,False,True,False,401,False,386.72973238458474,
56,1767834019.3224757,1170596,medium_user_06,password_6,unknown,BCRYPT,False,False,False,True,False,401,False,396.36077292238645,
