attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767831000,1170596,medium_user_01,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,357.90089714015403,
2,1767831000.3579009,1170596,medium_user_02,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,361.0570237219347,
3,1767831000.718958,1170596,medium_user_03,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,343.970963464802,
4,1767831001.062929,1170596,medium_user_04,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,333.850351438293,
5,1767831001.3967793,1170596,medium_user_05,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,353.0365696364596,
6,1767831001.749816,1170596,medium_user_06,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,323.6644044363215,
7,1767831002.0734804,1170596,medium_user_07,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,395.8483972842565,
8,1767831002.4693289,1170596,medium_user_08,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,335.2283557878326,
9,1767831002.8045573,1170596,medium_user_09,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,392.1179489164021,
10,1767831003.1966753,1170596,medium_user_10,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,396.1978639815486,
11,1767831008.592873,1170596,medium_user_01,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,378.10862717540266,
12,1767831008.9709818,1170596,medium_user_02,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,324.0594581176964,
13,1767831009.2950413,1170596,medium_user_03,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,324.98372642012106,
14,1767831009.6200252,1170596,medium_user_04,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,322.60955144407507,
15,1767831009.9426348,1170596,medium_user_05,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,314.5013887862767,
16,1767831010.257136,1170596,medium_user_06,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,385.29387835695917,
17,1767831010.64243,1170596,medium_user_07,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,378.89619596186316,
18,1767831011.0213263,1170596,medium_user_08,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,366.0099207390437,
19,1767831011.3873363,1170596,medium_user_09,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,372.7224250368197,
20,1767831011.7600586,1170596,medium_user_10,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,331.7978773852526,
21,1767831017.0918565,1170596,medium_user_01,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,376.58944616718503,
22,1767831017.468446,1170596,medium_user_02,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,307.11508403183893,
23,1767831017.775561,1170596,medium_user_03,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,377.0607879616836,
24,1767831018.152622,1170596,medium_user_04,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,336.19928159649993,
25,1767831018.4888213,1170596,medium_user_05,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,350.1985414337794,
26,1767831018.8390198,1170596,medium_user_06,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,319.6035038015976,
27,1767831019.1586232,1170596,medium_user_07,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,379.69070128743346,
28,1767831019.5383139,1170596,medium_user_08,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,374.7545165010866,
29,1767831019.9130683,1170596,medium_user_09,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,375.7655868381895,
30,1767831020.2888339,1170596,medium_user_10,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,376.4639939025882,
31,1767831025.6652977,1170596,medium_user_01,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,380.1819176730513,
32,1767831026.0454798,1170596,medium_user_02,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,377.08349199612405,
33,1767831026.4225633,1170596,medium_user_03,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,322.5067083684785,
34,1767831026.74507,1170596,medium_user_04,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,328.1497242157744,
35,1767831027.0732198,1170596,medium_user_05,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,360.63695277926274,
36,1767831027.4338567,1170596,medium_user_06,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,357.03783270476407,
37,1767831027.7908945,1170596,medium_user_07,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,323.98019184077737,
38,1767831028.1148746,1170596,medium_user_08,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,399.4725030363344,
39,1767831028.514347,1170596,medium_user_09,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,314.48416322963783,
40,1767831028.8288312,1170596,medium_user_10,password_4,unknown,BCRYPT,True,False,False,False,False,401,False,383.52853787823915,
41,1767831034.2123597,1170596,medium_user_01,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,353.45018829148427,
42,1767831034.56581,1170596,medium_user_02,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,357.22773925381387,
43,1767831034.9230378,1170596,medium_user_03,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,390.21655257901006,
44,1767831035.3132544,1170596,medium_user_04,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,346.2931757964524,
45,1767831035.6595476,1170596,medium_user_05,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,385.7910323040661,
46,1767831036.0453386,1170596,medium_user_06,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,325.67145110164233,
47,1767831036.37101,1170596,medium_user_07,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,317.13062086229843,
48,1767831036.6881406,1170596,medium_user_08,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,323.03498265838977,
49,1767831037.0111756,1170596,medium_user_09,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,332.39197631634005,
50,1767831037.3435676,1170596,medium_user_10,password_5,unknown,BCRYPT,True,False,False,False,False,401,False,309.0187084813001,
51,1767831042.6525862,1170596,medium_user_01,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,393.0267834464213,
52,1767831043.045613,1170596,medium_user_02,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,375.4704311804163,
53,1767831043.4210835,1170596,medium_user_03,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,330.84431119916815,
54,1767831043.7519279,1170596,medium_user_04,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,335.0827275690978,
55,1767831044.0870106,1170596,medium_user_05,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,325.69836211629496,
56,1767831044.412709,1170596,medium_user_06,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,380.3634982147318,
57,1767831044.7930725,1170596,medium_user_07,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,307.0954184879643,
58,1767831045.100168,1170596,medium_user_08,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,391.0004531931424,
59,1767831045.4911685,1170596,medium_user_09,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,316.9146319280122,
60,1767831045.808083,1170596,medium_user_10,password_6,unknown,BCRYPT,True,False,False,False,False,401,False,321.1607592273157,
61,1767831051.1292439,1170596,medium_user_01,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,339.949229382718,
62,1767831051.469193,1170596,medium_user_02,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,360.1290279691373,
63,1767831051.829322,1170596,medium_user_03,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,310.5811549070732,
64,1767831052.1399033,1170596,medium_user_04,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,336.6338432935348,
65,1767831052.4765372,1170596,medium_user_05,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,385.9036996652385,
66,1767831052.8624408,1170596,medium_user_06,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,383.2253169271245,
67,1767831053.245666,1170596,medium_user_07,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,303.3446856674741,
68,1767831053.5490108,1170596,medium_user_08,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,304.6846848608436,
69,1767831053.8536954,1170596,medium_user_09,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,336.9762683142395,
70,1767831054.1906717,1170596,medium_user_10,password_7,unknown,BCRYPT,True,False,False,False,False,401,False,364.39189943463543,
71,1767831059.5550635,1170596,medium_user_01,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,372.60112287926495,
72,1767831059.9276645,1170596,medium_user_02,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,301.9428705634981,
73,1767831060.2296073,1170596,medium_user_03,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,352.7087897329283,
74,1767831060.5823162,1170596,medium_user_04,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,315.38272181237994,
75,1767831060.8976989,1170596,medium_user_05,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,332.53529381597843,
76,1767831061.2302341,1170596,medium_user_06,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,327.941415415861,
77,1767831061.5581756,1170596,medium_user_07,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,382.0885461509503,
78,1767831061.9402642,1170596,medium_user_08,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,396.8016020495559,
79,1767831062.337066,1170596,medium_user_09,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,357.6422826153679,
80,1767831062.694708,1170596,medium_user_10,password_8,unknown,BCRYPT,True,False,False,False,False,401,False,392.90177201993015,
81,1767831068.0876098,1170596,medium_user_01,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,372.31040580039667,
82,1767831068.4599202,1170596,medium_user_02,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,388.8388664630625,
83,1767831068.848759,1170596,medium_user_03,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,341.1118650920571,
84,1767831069.1898708,1170596,medium_user_04,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,307.8492046720794,
85,1767831069.49772,1170596,medium_user_05,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,315.7835968791654,
86,1767831069.8135035,1170596,medium_user_06,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,335.92637481027305,
87,1767831070.1494298,1170596,medium_user_07,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,330.0747712826966,
88,1767831070.4795046,1170596,medium_user_08,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,363.35548948664325,
89,1767831070.84286,1170596,medium_user_09,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,332.7546150414288,
90,1767831071.1756146,1170596,medium_user_10,password_9,unknown,BCRYPT,True,False,False,False,False,401,False,358.5757946617619,
91,1767831076.5341904,1170596,medium_user_01,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,375.65919414640507,
92,1767831076.9098496,1170596,medium_user_02,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,362.14928956850486,
93,1767831077.271999,1170596,medium_user_03,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,302.8787917004152,
94,1767831077.5748777,1170596,medium_user_04,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,321.00905120995105,
95,1767831077.895887,1170596,medium_user_05,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,358.06328290549186,
96,1767831078.25395,1170596,medium_user_06,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,345.0390571767444,
97,1767831078.5989892,1170596,medium_user_07,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,364.16595520574225,
98,1767831078.9631553,1170596,medium_user_08,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,347.38708662692966,
99,1767831079.3105423,1170596,medium_user_09,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,314.92511729457414,
100,1767831079.6254675,1170596,medium_user_10,password_10,unknown,BCRYPT,True,False,False,False,False,401,False,339.82127413849895,
101,1767831084.9652889,1170596,medium_user_01,password_11,unknown,BCRYPT,True,False,False,False,False,401,False,361.68693602292774,
102,1767831085.3269758,1170596,medium_user_02,password_11,unknown,BCRYPT,True,False,False,False,False,401,False,346.56217789138236,
103,1767831085.673538,1170596,medium_user_03,password_11,unknown,BCRYPT,True,False,False,False,False,401,False,359.9837712403136,
104,1767831086.0335217,1170596,medium_user_04,password_11,unknown,BCRYPT,True,False,False,False,False,401,False,362.4324627676988,
105,1767831086.3959541,1170596,medium_user_05,password_11,unknown,BCRYPT,True,False,False,False,False,401,False,337.7166507086432,
106,1767831086.7336707,1170596,medium_user_06,password_11,unknown,BCRYPT,True,False,False,False,False,401,False,316.1469141674712,
