attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767836000,1170596,medium_user_01,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,337.77801704886565,
2,1767836000.337778,1170596,medium_user_02,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,386.8859821907496,
3,1767836000.724664,1170596,medium_user_03,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,361.5000587081789,
4,1767836001.086164,1170596,medium_user_04,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,319.6624634720232,
5,1767836001.4058266,1170596,medium_user_05,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,392.559294116699,
6,1767836001.7983859,1170596,medium_user_06,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,389.31898735736195,
7,1767836002.1877048,1170596,medium_user_07,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,320.5304695430787,
8,1767836002.5082352,1170596,medium_user_08,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,335.1269473065969,
9,1767836002.843362,1170596,medium_user_09,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,374.52997235611076,
10,1767836003.2178922,1170596,medium_user_10,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,398.9390250376424,
11,1767836008.6168313,1170596,medium_user_01,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,315.589242497499,
12,1767836008.9324205,1170596,medium_user_02,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,395.632785653317,
13,1767836009.3280532,1170596,medium_user_03,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,390.2983018355805,
14,1767836009.7183516,1170596,medium_user_04,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,317.7883071859076,
15,1767836010.03614,1170596,medium_user_05,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,302.22607169476385,
16,1767836010.338366,1170596,medium_user_06,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,384.0509026172924,
