attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767835000,1170596,medium_user_01,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,365.1465581643826,Invalid TOTP
2,1767835000.3651466,1170596,medium_user_02,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,324.90948655254,Invalid TOTP
3,1767835000.690056,1170596,medium_user_03,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,308.4261169506908,Invalid TOTP
4,1767835000.9984822,1170596,medium_user_04,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,335.74799554438437,Invalid TOTP
5,1767835001.3342302,1170596,medium_user_05,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,312.0422120850033,Invalid TOTP
6,1767835001.6462724,1170596,medium_user_06,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,344.18123684370687,Invalid TOTP
7,1767835001.9904537,1170596,medium_user_07,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,372.3023665669842,Invalid TOTP
8,1767835002.362756,1170596,medium_user_08,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,316.1413496539111,Invalid TOTP
9,1767835002.6788974,1170596,medium_user_09,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,377.0947979453302,Invalid TOTP
10,1767835003.0559921,1170596,medium_user_10,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,349.7910957671548,Invalid TOTP
11,1767835003.4057832,1170596,medium_user_01,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,308.2305117074199,Invalid TOTP
12,1767835003.7140136,1170596,medium_user_02,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,398.75638998205375,Invalid TOTP
13,1767835004.11277,1170596,medium_user_03,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,313.9641686925227,Invalid TOTP
14,1767835004.4267342,1170596,medium_user_04,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,350.8057555757044,Invalid TOTP
15,1767835004.77754,1170596,medium_user_05,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,351.4293220541974,Invalid TOTP
16,1767835005.1289692,1170596,medium_user_06,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,326.6556078753057,Invalid TOTP
17,1767835005.4556248,1170596,medium_user_07,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,399.27236078533747,Invalid TOTP
18,1767835005.8548973,1170596,medium_user_08,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,354.13720359512814,Invalid TOTP
19,1767835006.2090344,1170596,medium_user_09,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,351.3546667800081,Invalid TOTP
20,1767835006.560389,1170596,medium_user_10,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,342.7425714600877,Invalid TOTP
21,1767835006.9031317,1170596,medium_user_01,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,393.57708086632545,Invalid TOTP
22,1767835007.2967088,1170596,medium_user_02,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,356.7945666456735,Invalid TOTP
23,1767835007.6535034,1170596,medium_user_03,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,387.3594321156221,Invalid TOTP
24,1767835008.0408628,1170596,medium_user_04,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,384.3835814267137,Invalid TOTP
25,1767835008.4252465,1170596,medium_user_05,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,302.15044638546834,Invalid TOTP
26,1767835008.727397,1170596,medium_user_06,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,352.3155099880732,Invalid TOTP
27,1767835009.0797124,1170596,medium_user_07,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,314.61549251546626,Invalid TOTP
28,1767835009.3943279,1170596,medium_user_08,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,305.08845948646405,Invalid TOTP
29,1767835009.6994164,1170596,medium_user_09,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,312.89541356069924,Invalid TOTP
30,1767835010.0123117,1170596,medium_user_10,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,334.85513750431494,Invalid TOTP
31,1767835010.3471668,1170596,medium_user_01,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,324.1890529747007,Invalid TOTP
32,1767835010.6713557,1170596,medium_user_02,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,309.3390480652092,Invalid TOTP
33,1767835010.9806948,1170596,medium_user_03,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,341.2487366322455,Invalid TOTP
34,1767835011.3219435,1170596,medium_user_04,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,368.54052957462824,Invalid TOTP
35,1767835011.690484,1170596,medium_user_05,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,392.6143505231729,Invalid TOTP
36,1767835012.0830984,1170596,medium_user_06,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,349.7989411183492,Invalid TOTP
37,1767835012.4328973,1170596,medium_user_07,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,347.4961911916132,Invalid TOTP
38,1767835012.7803936,1170596,medium_user_08,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,386.0928006083143,Invalid TOTP
