attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767802000,1170596,medium_user_01,password_1,unknown,SHA256,False,True,False,False,False,401,False,128.03468993787843,
2,1767802000.1280346,1170596,medium_user_02,password_1,unknown,SHA256,False,True,False,False,False,401,False,197.9096491316078,
3,1767802000.3259442,1170596,medium_user_03,password_1,unknown,SHA256,False,True,False,False,False,401,False,113.69989526963184,
4,1767802000.439644,1170596,medium_user_04,password_1,unknown,SHA256,False,True,False,False,False,401,False,163.13484181495681,
5,1767802000.602779,1170596,medium_user_05,password_1,unknown,SHA256,False,True,False,False,False,401,False,138.79578213022552,
6,1767802000.7415748,1170596,medium_user_06,password_1,unknown,SHA256,False,True,False,False,False,401,False,100.53844795389038,
7,1767802000.8421133,1170596,medium_user_07,password_1,unknown,SHA256,False,True,False,False,False,401,False,171.622110303908,
8,1767802001.0137353,1170596,medium_user_08,password_1,unknown,SHA256,False,True,False,False,False,401,False,141.20687903583038,
9,1767802001.1549423,1170596,medium_user_09,password_1,unknown,SHA256,False,True,False,False,False,401,False,166.61729597985703,
10,1767802001.3215597,1170596,medium_user_10,password_1,unknown,SHA256,False,True,False,False,False,401,False,134.90650547099474,
11,1767802001.4564662,1170596,medium_user_01,password_2,unknown,SHA256,False,True,False,False,False,401,False,157.06664866453622,
12,1767802001.6135328,1170596,medium_user_02,password_2,unknown,SHA256,False,True,False,False,False,401,False,164.53179167028034,
13,1767802001.7780645,1170596,medium_user_03,password_2,unknown,SHA256,False,True,False,False,False,401,False,174.6123796189521,
14,1767802001.9526768,1170596,medium_user_04,password_2,unknown,SHA256,False,True,False,False,False,401,False,119.27849259087253,
15,1767802002.0719552,1170596,medium_user_05,password_2,unknown,SHA256,False,True,False,False,False,401,False,113.44003167439239,
16,1767802002.1853952,1170596,medium_user_06,password_2,unknown,SHA256,False,True,False,False,False,401,False,163.14624466800652,
17,1767802002.3485415,1170596,medium_user_07,password_2,unknown,SHA256,False,True,False,False,False,401,False,183.08501609906443,
18,1767802002.5316265,1170596,medium_user_08,password_2,unknown,SHA256,False,True,False,False,False,401,False,143.14885034236184,
19,1767802002.6747754,1170596,medium_user_09,password_2,unknown,SHA256,False,True,False,False,False,401,False,156.76582515051118,
20,1767802002.8315413,1170596,medium_user_10,password_2,unknown,SHA256,False,True,False,False,False,401,False,100.25175328480114,
21,1767802002.931793,1170596,medium_user_01,password_3,unknown,SHA256,False,True,False,False,False,401,False,164.13106739053168,
22,1767802003.0959241,1170596,medium_user_02,password_3,unknown,SHA256,False,True,False,False,False,401,False,147.89730964105314,
23,1767802003.2438214,1170596,medium_user_03,password_3,unknown,SHA256,False,True,False,False,False,401,False,189.45756407185996,
24,1767802003.433279,1170596,medium_user_04,password_3,unknown,SHA256,False,True,False,False,False,401,False,101.49547073594263,
25,1767802003.5347745,1170596,medium_user_05,password_3,unknown,SHA256,False,True,False,False,False,401,False,100.63326010602685,
26,1767802003.6354077,1170596,medium_user_06,password_3,unknown,SHA256,False,True,False,False,False,401,False,122.55462536783646,
27,1767802003.7579622,1170596,medium_user_07,password_3,unknown,SHA256,False,True,False,False,False,401,False,129.14111463842016,
28,1767802003.8871033,1170596,medium_user_08,password_3,unknown,SHA256,False,True,False,False,False,401,False,130.12047072932677,
29,1767802004.0172238,1170596,medium_user_09,password_3,unknown,SHA256,False,True,False,False,False,401,False,129.76756591550446,
30,1767802004.1469915,1170596,medium_user_10,password_3,unknown,SHA256,False,True,False,False,False,401,False,152.72999519286716,
31,1767802004.2997215,1170596,medium_user_01,password_4,unknown,SHA256,False,True,False,False,False,401,False,106.30070413584245,
32,1767802004.406022,1170596,medium_user_02,password_4,unknown,SHA256,False,True,False,False,False,401,False,127.23345078548057,
33,1767802004.5332556,1170596,medium_user_03,password_4,unknown,SHA256,False,True,False,False,False,401,False,126.50123406584348,
34,1767802004.659757,1170596,medium_user_04,password_4,unknown,SHA256,False,True,False,False,False,401,False,194.50675221530008,
35,1767802004.8542635,1170596,medium_user_05,password_4,unknown,SHA256,False,True,False,False,False,401,False,174.8766555232894,
36,1767802005.0291402,1170596,medium_user_06,password_4,unknown,SHA256,False,True,False,False,False,401,False,164.09583716356138,
37,1767802005.193236,1170596,medium_user_07,password_4,unknown,SHA256,False,True,False,False,False,401,False,130.00377592416925,
38,1767802005.3232398,1170596,medium_user_08,password_4,unknown,SHA256,False,True,False,False,False,401,False,132.56484302306364,
39,1767802005.4558046,1170596,medium_user_09,password_4,unknown,SHA256,False,True,False,False,False,401,False,186.00121234982953,
40,1767802005.641806,1170596,medium_user_10,password_4,unknown,SHA256,False,True,False,False,False,401,False,130.4669510460102,
41,1767802005.7722728,1170596,medium_user_01,password_5,unknown,SHA256,False,True,False,False,False,401,False,137.72393336319567,
42,1767802005.9099967,1170596,medium_user_02,password_5,unknown,SHA256,False,True,False,False,False,401,False,109.29720982367249,
43,1767802006.019294,1170596,medium_user_03,password_5,unknown,SHA256,False,True,False,False,False,401,False,168.88274597350903,
44,1767802006.1881769,1170596,medium_user_04,password_5,unknown,SHA256,False,True,False,False,False,401,False,182.86759336369613,
45,1767802006.3710444,1170596,medium_user_05,password_5,unknown,SHA256,False,True,False,False,False,401,False,111.77193564492462,
46,1767802006.4828162,1170596,medium_user_06,password_5,unknown,SHA256,False,True,False,False,False,401,False,170.22627257403042,
47,1767802006.6530426,1170596,medium_user_07,password_5,unknown,SHA256,False,True,False,False,False,401,False,124.95100108650291,
48,1767802006.7779934,1170596,medium_user_08,password_5,unknown,SHA256,False,True,False,False,False,401,False,141.80704488279366,
49,1767802006.9198005,1170596,medium_user_09,password_5,unknown,SHA256,False,True,False,False,False,401,False,128.4642824289666,
50,1767802007.0482647,1170596,medium_user_10,password_5,unknown,SHA256,False,True,False,False,False,401,False,114.87458468809102,
