attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767800000,1170596,medium_user_01,password_1,unknown,SHA256,False,False,False,False,False,401,False,136.49755292986362,
2,1767800000.1364975,1170596,medium_user_02,password_1,unknown,SHA256,False,False,False,False,False,401,False,119.73052033075727,
3,1767800000.256228,1170596,medium_user_03,password_1,unknown,SHA256,False,False,False,False,False,401,False,166.70963099078318,
4,1767800000.4229376,1170596,medium_user_04,password_1,unknown,SHA256,False,False,False,False,False,401,False,148.62768243729533,
5,1767800000.5715654,1170596,medium_user_05,password_1,unknown,SHA256,False,False,False,False,False,401,False,105.18610938060337,
6,1767800000.6767516,1170596,medium_user_06,password_1,unknown,SHA256,False,False,False,False,False,401,False,153.26734348560402,
7,1767800000.830019,1170596,medium_user_07,password_1,unknown,SHA256,False,False,False,False,False,401,False,159.77493817887037,
8,1767800000.989794,1170596,medium_user_08,password_1,unknown,SHA256,False,False,False,False,False,401,False,175.1100718788921,
9,1767800001.164904,1170596,medium_user_09,password_1,unknown,SHA256,False,False,False,False,False,401,False,163.90018752808896,
10,1767800001.3288043,1170596,medium_user_10,password_1,unknown,SHA256,False,False,False,False,False,401,False,153.97838375784738,
11,1767800001.4827826,1170596,medium_user_01,password_2,unknown,SHA256,False,False,False,False,False,401,False,166.24649051571492,
12,1767800001.649029,1170596,medium_user_02,password_2,unknown,SHA256,False,False,False,False,False,401,False,175.67707138762594,
13,1767800001.824706,1170596,medium_user_03,password_2,unknown,SHA256,False,False,False,False,False,401,False,114.7022784915311,
14,1767800001.9394083,1170596,medium_user_04,password_2,unknown,SHA256,False,False,False,False,False,401,False,199.95744460899334,
15,1767800002.1393657,1170596,medium_user_05,password_2,unknown,SHA256,False,False,False,False,False,401,False,182.79747087287052,
16,1767800002.322163,1170596,medium_user_06,password_2,unknown,SHA256,False,False,False,False,False,401,False,122.25988446999145,
17,1767800002.444423,1170596,medium_user_07,password_2,unknown,SHA256,False,False,False,False,False,401,False,142.38198154154705,
18,1767800002.5868049,1170596,medium_user_08,password_2,unknown,SHA256,False,False,False,False,False,401,False,167.89149717315584,
19,1767800002.7546964,1170596,medium_user_09,password_2,unknown,SHA256,False,False,False,False,False,401,False,154.2670833784159,
20,1767800002.9089634,1170596,medium_user_10,password_2,unknown,SHA256,False,False,False,False,False,401,False,109.06427688622776,
21,1767800003.0180278,1170596,medium_user_01,password_3,unknown,SHA256,False,False,False,False,False,401,False,174.42106453058628,
22,1767800003.1924489,1170596,medium_user_02,password_3,unknown,SHA256,False,False,False,False,False,401,False,172.09424933314148,
23,1767800003.3645432,1170596,medium_user_03,password_3,unknown,SHA256,False,False,False,False,False,401,False,145.79800848094075,
24,1767800003.5103412,1170596,medium_user_04,password_3,unknown,SHA256,False,False,False,False,False,401,False,196.18365676631487,
25,1767800003.7065248,1170596,medium_user_05,password_3,unknown,SHA256,False,False,False,False,False,401,False,184.10741434293584,
26,1767800003.8906322,1170596,medium_user_06,password_3,unknown,SHA256,False,False,False,False,False,401,False,163.92619710884972,
27,1767800004.0545583,1170596,medium_user_07,password_3,unknown,SHA256,False,False,False,False,False,401,False,141.00029289723346,
28,1767800004.1955585,1170596,medium_user_08,password_3,unknown,SHA256,False,False,False,False,False,401,False,120.04287333303238,
29,1767800004.3156013,1170596,medium_user_09,password_3,unknown,SHA256,False,False,False,False,False,401,False,168.39049349212786,
30,1767800004.4839919,1170596,medium_user_10,password_3,unknown,SHA256,False,False,False,False,False,401,False,157.68314024064136,
31,1767800004.641675,1170596,medium_user_01,password_4,unknown,SHA256,False,False,False,False,False,401,False,123.83015189198353,
32,1767800004.765505,1170596,medium_user_02,password_4,unknown,SHA256,False,False,False,False,False,401,False,175.35576710592386,
33,1767800004.9408607,1170596,medium_user_03,password_4,unknown,SHA256,False,False,False,False,False,401,False,187.71285700714478,
34,1767800005.1285737,1170596,medium_user_04,password_4,unknown,SHA256,False,False,False,False,False,401,False,165.1344857239282,
35,1767800005.293708,1170596,medium_user_05,password_4,unknown,SHA256,False,False,False,False,False,401,False,174.2275186937297,
36,1767800005.4679356,1170596,medium_user_06,password_4,unknown,SHA256,False,False,False,False,False,401,False,192.48944825327482,
37,1767800005.660425,1170596,medium_user_07,password_4,unknown,SHA256,False,False,False,False,False,401,False,105.32885909744752,
38,1767800005.7657537,1170596,medium_user_08,password_4,unknown,SHA256,False,False,False,False,False,401,False,197.3388426697398,
39,1767800005.9630926,1170596,medium_user_09,password_4,unknown,SHA256,False,False,False,False,False,401,False,144.19347847174015,
40,1767800006.107286,1170596,medium_user_10,password_4,unknown,SHA256,False,False,False,False,False,401,False,171.43527880983874,
41,1767800006.2787213,1170596,medium_user_01,password_5,unknown,SHA256,False,False,False,False,False,401,False,126.86043561988018,
42,1767800006.4055817,1170596,medium_user_02,password_5,unknown,SHA256,False,False,False,False,False,401,False,132.0527667666726,
43,1767800006.5376344,1170596,medium_user_03,password_5,unknown,SHA256,False,False,False,False,False,401,False,121.66181395005192,
44,1767800006.6592963,1170596,medium_user_04,password_5,unknown,SHA256,False,False,False,False,False,401,False,142.41144194609825,
45,1767800006.8017077,1170596,medium_user_05,password_5,unknown,SHA256,False,False,False,False,False,401,False,154.91928522345188,
46,1767800006.9566271,1170596,medium_user_06,password_5,unknown,SHA256,False,False,False,False,False,401,False,126.71538915921857,
47,1767800007.0833426,1170596,medium_user_07,password_5,unknown,SHA256,False,False,False,False,False,401,False,132.64089097296772,
48,1767800007.2159834,1170596,medium_user_08,password_5,unknown,SHA256,False,False,False,False,False,401,False,149.21052881071643,
49,1767800007.3651938,1170596,medium_user_09,password_5,unknown,SHA256,False,False,False,False,False,401,False,164.08728297649108,
50,1767800007.5292811,1170596,medium_user_10,password_5,unknown,SHA256,False,False,False,False,False,401,False,135.86224007767555,
51,1767800007.6651435,1170596,medium_user_01,password_6,unknown,SHA256,False,False,False,False,False,401,False,127.84422004706964,
52,1767800007.7929878,1170596,medium_user_02,password_6,unknown,SHA256,False,False,False,False,False,401,False,118.23622831416401,
53,1767800007.9112241,1170596,medium_user_03,password_6,unknown,SHA256,False,False,False,False,False,401,False,184.84248707384413,
54,1767800008.0960667,1170596,medium_user_04,password_6,unknown,SHA256,False,False,False,False,False,401,False,109.68705077947597,
55,1767800008.2057538,1170596,medium_user_05,password_6,unknown,SHA256,False,False,False,False,False,401,False,162.714714643679,
56,1767800008.3684685,1170596,medium_user_06,password_6,unknown,SHA256,False,False,False,False,False,401,False,105.35460970030226,
57,1767800008.473823,1170596,medium_user_07,password_6,unknown,SHA256,False,False,False,False,False,401,False,140.2307822545137,
58,1767800008.614054,1170596,medium_user_08,password_6,unknown,SHA256,False,False,False,False,False,401,False,193.67325028971447,
59,1767800008.807727,1170596,medium_user_09,password_6,unknown,SHA256,False,False,False,False,False,401,False,167.43683917123462,
60,1767800008.975164,1170596,medium_user_10,password_6,unknown,SHA256,False,False,False,False,False,401,False,110.89452468924755,
61,1767800009.0860584,1170596,medium_user_01,password_7,unknown,SHA256,False,False,False,False,False,401,False,193.7153870458138,
62,1767800009.2797737,1170596,medium_user_02,password_7,unknown,SHA256,False,False,False,False,False,401,False,143.58664443480842,
63,1767800009.4233603,1170596,medium_user_03,password_7,unknown,SHA256,False,False,False,False,False,401,False,151.70035678625408,
64,1767800009.5750606,1170596,medium_user_04,password_7,unknown,SHA256,False,False,False,False,False,401,False,128.83649351496408,
65,1767800009.703897,1170596,medium_user_05,password_7,unknown,SHA256,False,False,False,False,False,401,False,162.68228753053145,
66,1767800009.8665793,1170596,medium_user_06,password_7,unknown,SHA256,False,False,False,False,False,401,False,167.3359401958241,
67,1767800010.0339153,1170596,medium_user_07,password_7,unknown,SHA256,False,False,False,False,False,401,False,160.53988867209625,
68,1767800010.1944551,1170596,medium_user_08,password_7,unknown,SHA256,False,False,False,False,False,401,False,191.10527540266546,
69,1767800010.3855605,1170596,medium_user_09,password_7,unknown,SHA256,False,False,False,False,False,401,False,193.18619312444997,
70,1767800010.5787468,1170596,medium_user_10,password_7,unknown,SHA256,False,False,False,False,False,401,False,195.9438675230519,
71,1767800010.7746906,1170596,medium_user_01,password_8,unknown,SHA256,False,False,False,False,False,401,False,114.00724962138464,
72,1767800010.8886979,1170596,medium_user_02,password_8,unknown,SHA256,False,False,False,False,False,401,False,184.08074243288348,
73,1767800011.0727787,1170596,medium_user_03,password_8,unknown,SHA256,False,False,False,False,False,401,False,148.1095465972966,
74,1767800011.2208881,1170596,medium_user_04,password_8,unknown,SHA256,False,False,False,False,False,401,False,117.68815786724713,
75,1767800011.3385763,1170596,medium_user_05,password_8,unknown,SHA256,False,False,False,False,False,401,False,109.04735841981967,
76,1767800011.4476237,1170596,medium_user_06,password_8,unknown,SHA256,False,False,False,False,False,401,False,199.90741688524224,
77,1767800011.647531,1170596,medium_user_07,password_8,unknown,SHA256,False,False,False,False,False,401,False,184.65005115967807,
78,1767800011.832181,1170596,medium_user_08,password_8,unknown,SHA256,False,False,False,False,False,401,False,119.31086354846342,
79,1767800011.9514918,1170596,medium_user_09,password_8,unknown,SHA256,False,False,False,False,False,401,False,146.18886192246953,
80,1767800012.0976808,1170596,medium_user_10,password_8,unknown,SHA256,False,False,False,False,False,401,False,160.54872146827165,
81,1767800012.2582295,1170596,medium_user_01,password_9,unknown,SHA256,False,False,False,False,False,401,False,154.7231603181641,
82,1767800012.4129527,1170596,medium_user_02,password_9,unknown,SHA256,False,False,False,False,False,401,False,174.2837267334356,
83,1767800012.5872364,1170596,medium_user_03,password_9,unknown,SHA256,False,False,False,False,False,401,False,188.40330803619915,
84,1767800012.7756398,1170596,medium_user_04,password_9,unknown,SHA256,False,False,False,False,False,401,False,127.66045757939784,
85,1767800012.9033003,1170596,medium_user_05,password_9,unknown,SHA256,False,False,False,False,False,401,False,109.9340080501481,
86,1767800013.0132344,1170596,medium_user_06,password_9,unknown,SHA256,False,False,False,False,False,401,False,110.40285606199281,
87,1767800013.1236372,1170596,medium_user_07,password_9,unknown,SHA256,False,False,False,False,False,401,False,110.00538003182791,
88,1767800013.2336426,1170596,medium_user_08,password_9,unknown,SHA256,False,False,False,False,False,401,False,182.44868225850928,
89,1767800013.4160912,1170596,medium_user_09,password_9,unknown,SHA256,False,False,False,False,False,401,False,155.59787613951158,
90,1767800013.5716891,1170596,medium_user_10,password_9,unknown,SHA256,False,False,False,False,False,401,False,133.98645371919204,
91,1767800013.7056756,1170596,medium_user_01,password_10,unknown,SHA256,False,False,False,False,False,401,False,117.9249028215281,
92,1767800013.8236005,1170596,medium_user_02,password_10,unknown,SHA256,False,False,False,False,False,401,False,188.78594436901,
93,1767800014.0123866,1170596,medium_user_03,password_10,unknown,SHA256,False,False,False,False,False,401,False,105.10656977175938,
94,1767800014.1174932,1170596,medium_user_04,password_10,unknown,SHA256,False,False,False,False,False,401,False,189.92352190613826,
95,1767800014.3074167,1170596,medium_user_05,password_10,unknown,SHA256,False,False,False,False,False,401,False,150.1524245994935,
96,1767800014.4575691,1170596,medium_user_06,password_10,unknown,SHA256,False,False,False,False,False,401,False,184.83760225679515,
97,1767800014.6424067,1170596,medium_user_07,password_10,unknown,SHA256,False,False,False,False,False,401,False,191.8899140547474,
98,1767800014.8342967,1170596,medium_user_08,password_10,unknown,SHA256,False,False,False,False,False,401,False,196.52475605575245,
99,1767800015.0308216,1170596,medium_user_09,password_10,unknown,SHA256,False,False,False,False,False,401,False,115.0462197851083,
100,1767800015.1458678,1170596,medium_user_10,password_10,unknown,SHA256,False,False,False,False,False,401,False,166.84255430246156,
101,1767800015.3127103,1170596,medium_user_01,password_11,unknown,SHA256,False,False,False,False,False,401,False,186.58223555955726,
102,1767800015.4992926,1170596,medium_user_02,password_11,unknown,SHA256,False,False,False,False,False,401,False,134.08235870261387,
103,1767800015.633375,1170596,medium_user_03,password_11,unknown,SHA256,False,False,False,False,False,401,False,195.64486641108488,
104,1767800015.8290198,1170596,medium_user_04,password_11,unknown,SHA256,False,False,False,False,False,401,False,163.0104573919819,
