attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767804000,1170596,medium_user_01,password_1,unknown,SHA256,False,False,False,True,False,401,False,111.29824962076967,
2,1767804000.1112983,1170596,medium_user_02,password_1,unknown,SHA256,False,False,False,True,False,401,False,197.6649882197287,
3,1767804000.3089633,1170596,medium_user_03,password_1,unknown,SHA256,False,False,False,True,False,401,False,101.70485801073637,
4,1767804000.4106681,1170596,medium_user_04,password_1,unknown,SHA256,False,False,False,True,False,401,False,170.51737790615698,
5,1767804000.5811856,1170596,medium_user_05,password_1,unknown,SHA256,False,False,False,True,False,401,False,188.53779785715767,
6,1767804000.7697234,1170596,medium_user_06,password_1,unknown,SHA256,False,False,False,True,False,401,False,113.33989217204211,
7,1767804000.8830633,1170596,medium_user_07,password_1,unknown,SHA256,False,False,False,True,False,401,False,112.94809124645262,
8,1767804000.9960115,1170596,medium_user_08,password_1,unknown,SHA256,False,False,False,True,False,401,False,190.3115680574083,
9,1767804001.1863232,1170596,medium_user_09,password_1,unknown,SHA256,False,False,False,True,False,401,False,180.91334872952405,
10,1767804001.3672366,1170596,medium_user_10,password_1,unknown,SHA256,False,False,False,True,False,401,False,164.43545422821677,
11,1767804001.531672,1170596,medium_user_01,password_2,unknown,SHA256,False,False,False,True,False,401,False,188.41442390728537,
12,1767804001.7200863,1170596,medium_user_02,password_2,unknown,SHA256,False,False,False,True,False,401,False,187.36067613023351,
13,1767804001.907447,1170596,medium_user_03,password_2,unknown,SHA256,False,False,False,True,False,401,False,134.26106303477027,
14,1767804002.0417082,1170596,medium_user_04,password_2,unknown,SHA256,False,False,False,True,False,401,False,112.2683242758317,
15,1767804002.1539764,1170596,medium_user_05,password_2,unknown,SHA256,False,False,False,True,False,401,False,155.9987613363275,
16,1767804002.3099751,1170596,medium_user_06,password_2,unknown,SHA256,False,False,False,True,False,401,False,162.6889325982478,
17,1767804002.472664,1170596,medium_user_07,password_2,unknown,SHA256,False,False,False,True,False,401,False,104.19592683113612,
18,1767804002.57686,1170596,medium_user_08,password_2,unknown,SHA256,False,False,False,True,False,401,False,193.97958884682393,
19,1767804002.7708395,1170596,medium_user_09,password_2,unknown,SHA256,False,False,False,True,False,401,False,191.80034505546195,
20,1767804002.9626398,1170596,medium_user_10,password_2,unknown,SHA256,False,False,False,True,False,401,False,177.3766199537718,
21,1767804003.1400163,1170596,medium_user_01,password_3,unknown,SHA256,False,False,False,True,False,401,False,129.1243599382584,
22,1767804003.2691407,1170596,medium_user_02,password_3,unknown,SHA256,False,False,False,True,False,401,False,136.36109916334044,
23,1767804003.4055018,1170596,medium_user_03,password_3,unknown,SHA256,False,False,False,True,False,401,False,157.24690682385207,
24,1767804003.5627487,1170596,medium_user_04,password_3,unknown,SHA256,False,False,False,True,False,401,False,153.4672530809988,
25,1767804003.7162158,1170596,medium_user_05,password_3,unknown,SHA256,False,False,False,True,False,401,False,177.90237904294986,
26,1767804003.8941183,1170596,medium_user_06,password_3,unknown,SHA256,False,False,False,True,False,401,False,108.97613618095255,
27,1767804004.0030944,1170596,medium_user_07,password_3,unknown,SHA256,False,False,False,True,False,401,False,174.11503483793206,
28,1767804004.1772094,1170596,medium_user_08,password_3,unknown,SHA256,False,False,False,True,False,401,False,139.5464037898819,
29,1767804004.3167558,1170596,medium_user_09,password_3,unknown,SHA256,False,False,False,True,False,401,False,116.177993141799,
30,1767804004.4329338,1170596,medium_user_10,password_3,unknown,SHA256,False,False,False,True,False,401,False,177.30900724165912,
31,1767804004.6102428,1170596,medium_user_01,password_4,unknown,SHA256,False,False,False,True,False,401,False,169.42302509962062,
32,1767804004.779666,1170596,medium_user_02,password_4,unknown,SHA256,False,False,False,True,False,401,False,181.77290847347865,
33,1767804004.961439,1170596,medium_user_03,password_4,unknown,SHA256,False,False,False,True,False,401,False,106.06870576314876,
34,1767804005.0675075,1170596,medium_user_04,password_4,unknown,SHA256,False,False,False,True,False,401,False,144.16566245318643,
35,1767804005.2116733,1170596,medium_user_05,password_4,unknown,SHA256,False,False,False,True,False,401,False,191.29070895992214,
36,1767804005.4029639,1170596,medium_user_06,password_4,unknown,SHA256,False,False,False,True,False,401,False,178.49983993607515,
37,1767804005.5814638,1170596,medium_user_07,password_4,unknown,SHA256,False,False,False,True,False,401,False,128.57818732890695,
38,1767804005.710042,1170596,medium_user_08,password_4,unknown,SHA256,False,False,False,True,False,401,False,100.30533208193023,
39,1767804005.8103473,1170596,medium_user_09,password_4,unknown,SHA256,False,False,False,True,False,401,False,161.10283268445136,
40,1767804005.97145,1170596,medium_user_10,password_4,unknown,SHA256,False,False,False,True,False,401,False,134.61130626813014,
41,1767804006.1060615,1170596,medium_user_01,password_5,unknown,SHA256,False,False,False,True,False,401,False,158.94797198594358,
42,1767804006.2650094,1170596,medium_user_02,password_5,unknown,SHA256,False,False,False,True,False,401,False,100.401658780574,
43,1767804006.365411,1170596,medium_user_03,password_5,unknown,SHA256,False,False,False,True,False,401,False,173.93439393222386,
