attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767801000,1170596,medium_user_01,password_1,unknown,SHA256,True,False,False,False,False,401,False,131.79480846927444,
2,1767801000.1317947,1170596,medium_user_02,password_1,unknown,SHA256,True,False,False,False,False,401,False,153.04315761981664,
3,1767801000.284838,1170596,medium_user_03,password_1,unknown,SHA256,True,False,False,False,False,401,False,198.37799505791466,
4,1767801000.483216,1170596,medium_user_04,password_1,unknown,SHA256,True,False,False,False,False,401,False,142.902815344168,
5,1767801000.626119,1170596,medium_user_05,password_1,unknown,SHA256,True,False,False,False,False,401,False,135.05101666104704,
6,1767801000.76117,1170596,medium_user_06,password_1,unknown,SHA256,True,False,False,False,False,401,False,152.1492287045994,
7,1767801000.913319,1170596,medium_user_07,password_1,unknown,SHA256,True,False,False,False,False,401,False,194.71332253448287,
8,1767801001.1080325,1170596,medium_user_08,password_1,unknown,SHA256,True,False,False,False,False,401,False,199.10946485205528,
9,1767801001.307142,1170596,medium_user_09,password_1,unknown,SHA256,True,False,False,False,False,401,False,118.14055695282173,
10,1767801001.4252825,1170596,medium_user_10,password_1,unknown,SHA256,True,False,False,False,False,401,False,127.84334377682832,
11,1767801006.5531259,1170596,medium_user_01,password_2,unknown,SHA256,True,False,False,False,False,401,False,166.32629497147315,
12,1767801006.7194521,1170596,medium_user_02,password_2,unknown,SHA256,True,False,False,False,False,401,False,138.30825501124266,
13,1767801006.8577604,1170596,medium_user_03,password_2,unknown,SHA256,True,False,False,False,False,401,False,191.8246608714805,
14,1767801007.049585,1170596,medium_user_04,password_2,unknown,SHA256,True,False,False,False,False,401,False,199.41587521507518,
15,1767801007.249001,1170596,medium_user_05,password_2,unknown,SHA256,True,False,False,False,False,401,False,163.193291675429,
16,1767801007.4121943,1170596,medium_user_06,password_2,unknown,SHA256,True,False,False,False,False,401,False,141.2732179454763,
17,1767801007.5534675,1170596,medium_user_07,password_2,unknown,SHA256,True,False,False,False,False,401,False,174.45875862116088,
18,1767801007.7279263,1170596,medium_user_08,password_2,unknown,SHA256,True,False,False,False,False,401,False,184.80724758060887,
19,1767801007.9127336,1170596,medium_user_09,password_2,unknown,SHA256,True,False,False,False,False,401,False,140.39567360650418,
20,1767801008.0531292,1170596,medium_user_10,password_2,unknown,SHA256,True,False,False,False,False,401,False,122.50306673448742,
21,1767801013.1756322,1170596,medium_user_01,password_3,unknown,SHA256,True,False,False,False,False,401,False,106.53583798208348,
22,1767801013.2821681,1170596,medium_user_02,password_3,unknown,SHA256,True,False,False,False,False,401,False,189.49672685330006,
23,1767801013.471665,1170596,medium_user_03,password_3,unknown,SHA256,True,False,False,False,False,401,False,180.42494611498051,
24,1767801013.6520898,1170596,medium_user_04,password_3,unknown,SHA256,True,False,False,False,False,401,False,114.13832043741624,
25,1767801013.7662282,1170596,medium_user_05,password_3,unknown,SHA256,True,False,False,False,False,401,False,135.86960794734364,
26,1767801013.9020977,1170596,medium_user_06,password_3,unknown,SHA256,True,False,False,False,False,401,False,142.18809316805732,
27,1767801014.0442858,1170596,medium_user_07,password_3,unknown,SHA256,True,False,False,False,False,401,False,123.34514156786796,
28,1767801014.167631,1170596,medium_user_08,password_3,unknown,SHA256,True,False,False,False,False,401,False,163.2044128394113,
29,1767801014.3308353,1170596,medium_user_09,password_3,unknown,SHA256,True,False,False,False,False,401,False,166.71058468230882,
30,1767801014.497546,1170596,medium_user_10,password_3,unknown,SHA256,True,False,False,False,False,401,False,107.73631463202754,
31,1767801019.6052823,1170596,medium_user_01,password_4,unknown,SHA256,True,False,False,False,False,401,False,143.45425993627006,
32,1767801019.7487366,1170596,medium_user_02,password_4,unknown,SHA256,True,False,False,False,False,401,False,147.83017934914386,
33,1767801019.8965669,1170596,medium_user_03,password_4,unknown,SHA256,True,False,False,False,False,401,False,177.84637994651857,
34,1767801020.0744133,1170596,medium_user_04,password_4,unknown,SHA256,True,False,False,False,False,401,False,134.13263364667208,
