attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767806000,1170596,medium_user_01,password_1,unknown,SHA256,True,True,False,False,False,401,False,122.79643582313221,
2,1767806000.1227965,1170596,medium_user_02,password_1,unknown,SHA256,True,True,False,False,False,401,False,199.46895956704233,
3,1767806000.3222654,1170596,medium_user_03,password_1,unknown,SHA256,True,True,False,False,False,401,False,149.11046758955996,
4,1767806000.471376,1170596,medium_user_04,password_1,unknown,SHA256,True,True,False,False,False,401,False,173.9980038651364,
5,1767806000.645374,1170596,medium_user_05,password_1,unknown,SHA256,True,True,False,False,False,401,False,182.86932241435596,
6,1767806000.8282435,1170596,medium_user_06,password_1,unknown,SHA256,True,True,False,False,False,401,False,150.63720999266678,
7,1767806000.9788806,1170596,medium_user_07,password_1,unknown,SHA256,True,True,False,False,False,401,False,180.86413230855106,
8,1767806001.1597447,1170596,medium_user_08,password_1,unknown,SHA256,True,True,False,False,False,401,False,103.6330093874245,
9,1767806001.2633777,1170596,medium_user_09,password_1,unknown,SHA256,True,True,False,False,False,401,False,159.12597073258786,
10,1767806001.4225037,1170596,medium_user_10,password_1,unknown,SHA256,True,True,False,False,False,401,False,176.32556852382487,
11,1767806006.5988293,1170596,medium_user_01,password_2,unknown,SHA256,True,True,False,False,False,401,False,109.09781040641438,
12,1767806006.707927,1170596,medium_user_02,password_2,unknown,SHA256,True,True,False,False,False,401,False,151.53060601342412,
13,1767806006.8594575,1170596,medium_user_03,password_2,unknown,SHA256,True,True,False,False,False,401,False,163.52805713286767,
14,1767806007.0229855,1170596,medium_user_04,password_2,unknown,SHA256,True,True,False,False,False,401,False,106.59912774070969,
15,1767806007.1295846,1170596,medium_user_05,password_2,unknown,SHA256,True,True,False,False,False,401,False,190.4233490234368,
16,1767806007.3200078,1170596,medium_user_06,password_2,unknown,SHA256,True,True,False,False,False,401,False,148.2012971656299,
17,1767806007.468209,1170596,medium_user_07,password_2,unknown,SHA256,True,True,False,False,False,401,False,177.7641053360269,
18,1767806007.6459732,1170596,medium_user_08,password_2,unknown,SHA256,True,True,False,False,False,401,False,197.748847844774,
19,1767806007.843722,1170596,medium_user_09,password_2,unknown,SHA256,True,True,False,False,False,401,False,128.3744428734753,
20,1767806007.9720964,1170596,medium_user_10,password_2,unknown,SHA256,True,True,False,False,False,401,False,108.83871394437894,
21,1767806013.0809352,1170596,medium_user_01,password_3,unknown,SHA256,True,True,False,False,False,401,False,115.34089164571459,
22,1767806013.1962762,1170596,medium_user_02,password_3,unknown,SHA256,True,True,False,False,False,401,False,190.42910371731062,
23,1767806013.3867054,1170596,medium_user_03,password_3,unknown,SHA256,True,True,False,False,False,401,False,167.65175924433277,
24,1767806013.554357,1170596,medium_user_04,password_3,unknown,SHA256,True,True,False,False,False,401,False,162.21262842630983,
25,1767806013.7165697,1170596,medium_user_05,password_3,unknown,SHA256,True,True,False,False,False,401,False,185.5379103936052,
26,1767806013.9021075,1170596,medium_user_06,password_3,unknown,SHA256,True,True,False,False,False,401,False,102.52630680284128,
27,1767806014.0046337,1170596,medium_user_07,password_3,unknown,SHA256,True,True,False,False,False,401,False,168.0580589255503,
28,1767806014.1726918,1170596,medium_user_08,password_3,unknown,SHA256,True,True,False,False,False,401,False,124.38738573125947,
29,1767806014.2970793,1170596,medium_user_09,password_3,unknown,SHA256,True,True,False,False,False,401,False,149.80844097310916,
30,1767806014.4468877,1170596,medium_user_10,password_3,unknown,SHA256,True,True,False,False,False,401,False,171.69680323198844,
31,1767806019.6185846,1170596,medium_user_01,password_4,unknown,SHA256,True,True,False,False,False,401,False,152.61093298812403,
