attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767805000,1170596,medium_user_01,password_1,unknown,SHA256,False,False,False,False,True,401,False,156.51811782424662,Invalid TOTP
2,1767805000.1565182,1170596,medium_user_02,password_1,unknown,SHA256,False,False,False,False,True,401,False,173.71742743706307,Invalid TOTP
3,1767805000.3302357,1170596,medium_user_03,password_1,unknown,SHA256,False,False,False,False,True,401,False,146.78688137409907,Invalid TOTP
4,1767805000.4770226,1170596,medium_user_04,password_1,unknown,SHA256,False,False,False,False,True,401,False,140.91347253182116,Invalid TOTP
5,1767805000.6179361,1170596,medium_user_05,password_1,unknown,SHA256,False,False,False,False,True,401,False,107.24805383542221,Invalid TOTP
6,1767805000.7251842,1170596,medium_user_06,password_1,unknown,SHA256,False,False,False,False,True,401,False,101.67797234432896,Invalid TOTP
7,1767805000.826862,1170596,medium_user_07,password_1,unknown,SHA256,False,False,False,False,True,401,False,114.3047214084813,Invalid TOTP
8,1767805000.9411669,1170596,medium_user_08,password_1,unknown,SHA256,False,False,False,False,True,401,False,185.07169785575522,Invalid TOTP
9,1767805001.1262386,1170596,medium_user_09,password_1,unknown,SHA256,False,False,False,False,True,401,False,167.0994989039844,Invalid TOTP
10,1767805001.293338,1170596,medium_user_10,password_1,unknown,SHA256,False,False,False,False,True,401,False,105.37691757038428,Invalid TOTP
11,1767805001.398715,1170596,medium_user_01,password_2,unknown,SHA256,False,False,False,False,True,401,False,119.69330563876468,Invalid TOTP
12,1767805001.5184083,1170596,medium_user_02,password_2,unknown,SHA256,False,False,False,False,True,401,False,176.04728868396134,Invalid TOTP
13,1767805001.6944556,1170596,medium_user_03,password_2,unknown,SHA256,False,False,False,False,True,401,False,113.70130775540004,Invalid TOTP
14,1767805001.808157,1170596,medium_user_04,password_2,unknown,SHA256,False,False,False,False,True,401,False,182.74194634571958,Invalid TOTP
15,1767805001.9908988,1170596,medium_user_05,password_2,unknown,SHA256,False,False,False,False,True,401,False,134.7871529787959,Invalid TOTP
16,1767805002.125686,1170596,medium_user_06,password_2,unknown,SHA256,False,False,False,False,True,401,False,180.42515656084228,Invalid TOTP
17,1767805002.306111,1170596,medium_user_07,password_2,unknown,SHA256,False,False,False,False,True,401,False,194.6962172354922,Invalid TOTP
18,1767805002.5008073,1170596,medium_user_08,password_2,unknown,SHA256,False,False,False,False,True,401,False,199.04562956124101,Invalid TOTP
19,1767805002.699853,1170596,medium_user_09,password_2,unknown,SHA256,False,False,False,False,True,401,False,163.0264333390924,Invalid TOTP
20,1767805002.8628793,1170596,medium_user_10,password_2,unknown,SHA256,False,False,False,False,True,401,False,149.69290586677616,Invalid TOTP
21,1767805003.0125723,1170596,medium_user_01,password_3,unknown,SHA256,False,False,False,False,True,401,False,176.7692358858243,Invalid TOTP
22,1767805003.1893415,1170596,medium_user_02,password_3,unknown,SHA256,False,False,False,False,True,401,False,134.61394731002213,Invalid TOTP
23,1767805003.3239555,1170596,medium_user_03,password_3,unknown,SHA256,False,False,False,False,True,401,False,166.3721629577646,Invalid TOTP
24,1767805003.4903276,1170596,medium_user_04,password_3,unknown,SHA256,False,False,False,False,True,401,False,199.6929007482554,Invalid TOTP
25,1767805003.6900206,1170596,medium_user_05,password_3,unknown,SHA256,False,False,False,False,True,401,False,108.57756450138415,Invalid TOTP
26,1767805003.798598,1170596,medium_user_06,password_3,unknown,SHA256,False,False,False,False,True,401,False,180.50880978326282,Invalid TOTP
27,1767805003.979107,1170596,medium_user_07,password_3,unknown,SHA256,False,False,False,False,True,401,False,103.55786354583911,Invalid TOTP
28,1767805004.0826647,1170596,medium_user_08,password_3,unknown,SHA256,False,False,False,False,True,401,False,134.36650644720257,Invalid TOTP
29,1767805004.2170312,1170596,medium_user_09,password_3,unknown,SHA256,False,False,False,False,True,401,False,197.18845397892937,Invalid TOTP
30,1767805004.4142196,1170596,medium_user_10,password_3,unknown,SHA256,False,False,False,False,True,401,False,175.91156912375317,Invalid TOTP
31,1767805004.5901313,1170596,medium_user_01,password_4,unknown,SHA256,False,False,False,False,True,401,False,150.02917456539467,Invalid TOTP
32,1767805004.7401605,1170596,medium_user_02,password_4,unknown,SHA256,False,False,False,False,True,401,False,139.5677101422198,Invalid TOTP
33,1767805004.879728,1170596,medium_user_03,password_4,unknown,SHA256,False,False,False,False,True,401,False,156.09525803345952,Invalid TOTP
34,1767805005.0358233,1170596,medium_user_04,password_4,unknown,SHA256,False,False,False,False,True,401,False,152.1169275253352,Invalid TOTP
35,1767805005.1879404,1170596,medium_user_05,password_4,unknown,SHA256,False,False,False,False,True,401,False,145.10969734814145,Invalid TOTP
