attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767872000,1170596,strong_user_01,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,261.26793905339207,
2,1767872000.261268,1170596,strong_user_02,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,255.7192688402612,
3,1767872000.516987,1170596,strong_user_03,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,226.88749470438782,
4,1767872000.7438745,1170596,strong_user_04,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,210.92871594856265,
5,1767872000.9548032,1170596,strong_user_05,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,203.3911598295157,
6,1767872001.1581943,1170596,strong_user_06,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,238.1000894493772,
7,1767872001.3962944,1170596,strong_user_07,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,276.9478465508528,
8,1767872001.673242,1170596,strong_user_08,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,211.18135499563363,
9,1767872001.8844235,1170596,strong_user_09,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,212.1649179498916,
10,1767872002.0965884,1170596,strong_user_10,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,237.13122010533237,
11,1767872002.3337195,1170596,strong_user_01,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,244.99911240379902,
12,1767872002.5787187,1170596,strong_user_02,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,241.69699114712262,
13,1767872002.8204157,1170596,strong_user_03,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,254.92365452146748,
14,1767872003.0753393,1170596,strong_user_04,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,278.959666663501,
15,1767872003.354299,1170596,strong_user_05,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,281.4308514651532,
16,1767872003.63573,1170596,strong_user_06,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,216.0813787066647,
17,1767872003.8518114,1170596,strong_user_07,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,222.62360943725133,
18,1767872004.074435,1170596,strong_user_08,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,296.2549806246882,
19,1767872004.3706899,1170596,strong_user_09,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,274.4473313019005,
20,1767872004.6451373,1170596,strong_user_10,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,200.29770682720894,
21,1767872004.845435,1170596,strong_user_01,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,270.98354288852113,
22,1767872005.1164184,1170596,strong_user_02,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,224.44822374225512,
23,1767872005.3408666,1170596,strong_user_03,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,230.13438931069933,
24,1767872005.571001,1170596,strong_user_04,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,296.4632396871959,
25,1767872005.8674643,1170596,strong_user_05,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,278.39476566693185,
26,1767872006.145859,1170596,strong_user_06,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,259.7308669584844,
27,1767872006.4055898,1170596,strong_user_07,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,277.0378084613605,
28,1767872006.6826277,1170596,strong_user_08,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,295.35697221612674,
29,1767872006.9779847,1170596,strong_user_09,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,298.98235794685036,
30,1767872007.276967,1170596,strong_user_10,password_3,unknown,ARGON2ID,False,True,False,False,False,401,False,271.6585249332611,
31,1767872007.5486255,1170596,strong_user_01,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,239.5636984247419,
32,1767872007.7881892,1170596,strong_user_02,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,227.87417858420088,
33,1767872008.0160635,1170596,strong_user_03,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,269.7423717929251,
34,1767872008.285806,1170596,strong_user_04,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,286.6542557632697,
35,1767872008.5724602,1170596,strong_user_05,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,265.5630741041236,
36,1767872008.8380232,1170596,strong_user_06,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,278.3723594603249,
37,1767872009.1163955,1170596,strong_user_07,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,275.9574843422654,
38,1767872009.392353,1170596,strong_user_08,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,219.58075183870292,
39,1767872009.6119337,1170596,strong_user_09,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,216.37223752464809,
40,1767872009.828306,1170596,strong_user_10,password_4,unknown,ARGON2ID,False,True,False,False,False,401,False,219.8786192814283,
41,1767872010.0481846,1170596,strong_user_01,password_5,unknown,ARGON2ID,False,True,False,False,False,401,False,242.9342688455826,
