attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767870000,1170596,strong_user_01,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,250.3608702966932,
2,1767870000.250361,1170596,strong_user_02,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,285.7122478512636,
3,1767870000.5360732,1170596,strong_user_03,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,299.82185369177495,
4,1767870000.835895,1170596,strong_user_04,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,298.7053248354167,
5,1767870001.1346004,1170596,strong_user_05,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,284.2406337629313,
6,1767870001.4188411,1170596,strong_user_06,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,269.3582332208565,
7,1767870001.6881993,1170596,strong_user_07,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,260.42656015439195,
8,1767870001.9486258,1170596,strong_user_08,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,248.42075432310165,
9,1767870002.1970465,1170596,strong_user_09,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,294.0862530652953,
10,1767870002.4911327,1170596,strong_user_10,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,288.3335865954241,
11,1767870002.7794664,1170596,strong_user_01,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,260.1294763682788,
12,1767870003.0395958,1170596,strong_user_02,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,261.6983451728645,
13,1767870003.301294,1170596,strong_user_03,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,231.39603687065926,
14,1767870003.53269,1170596,strong_user_04,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,237.73487595537807,
15,1767870003.7704248,1170596,strong_user_05,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,217.21989012135802,
16,1767870003.9876447,1170596,strong_user_06,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,289.89185419667376,
17,1767870004.2775366,1170596,strong_user_07,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,234.76136268859383,
18,1767870004.512298,1170596,strong_user_08,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,230.3136109619461,
19,1767870004.7426116,1170596,strong_user_09,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,240.82410990575534,
20,1767870004.9834359,1170596,strong_user_10,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,276.50795948472125,
21,1767870005.2599437,1170596,strong_user_01,password_3,unknown,ARGON2ID,False,False,False,False,False,401,False,212.2822687993809,
