attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767874000,1170596,strong_user_01,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,217.8564095752391,
2,1767874000.2178564,1170596,strong_user_02,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,231.99365621938483,
3,1767874000.44985,1170596,strong_user_03,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,227.75399181094934,
4,1767874000.677604,1170596,strong_user_04,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,222.65531064546616,
5,1767874000.9002593,1170596,strong_user_05,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,223.0929160147288,
6,1767874001.1233523,1170596,strong_user_06,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,229.34097744507488,
7,1767874001.3526933,1170596,strong_user_07,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,293.9751856990722,
8,1767874001.6466684,1170596,strong_user_08,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,236.86704958207608,
9,1767874001.8835354,1170596,strong_user_09,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,243.3206429088254,
10,1767874002.126856,1170596,strong_user_10,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,248.0866305395503,
11,1767874002.3749428,1170596,strong_user_01,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,216.5769798507235,
12,1767874002.5915198,1170596,strong_user_02,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,288.8241644322824,
13,1767874002.880344,1170596,strong_user_03,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,223.64761269016788,
14,1767874003.1039915,1170596,strong_user_04,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,239.286020111619,
15,1767874003.3432775,1170596,strong_user_05,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,243.53875522981318,
16,1767874003.5868163,1170596,strong_user_06,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,201.51108953549482,
17,1767874003.7883275,1170596,strong_user_07,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,267.7245862702191,
18,1767874004.056052,1170596,strong_user_08,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,273.36615422366714,
19,1767874004.3294182,1170596,strong_user_09,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,238.17475640746272,
20,1767874004.5675929,1170596,strong_user_10,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,244.13967208436748,
21,1767874004.8117325,1170596,strong_user_01,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,260.7372807200961,
22,1767874005.0724697,1170596,strong_user_02,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,233.09162851478857,
23,1767874005.3055613,1170596,strong_user_03,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,234.52081629875437,
24,1767874005.5400822,1170596,strong_user_04,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,285.7004813535091,
25,1767874005.8257828,1170596,strong_user_05,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,252.67778738964324,
26,1767874006.0784605,1170596,strong_user_06,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,208.73180134726812,
27,1767874006.2871923,1170596,strong_user_07,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,250.7727763104915,
28,1767874006.537965,1170596,strong_user_08,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,241.49777295743223,
29,1767874006.7794628,1170596,strong_user_09,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,294.8121509117079,
30,1767874007.074275,1170596,strong_user_10,password_3,unknown,ARGON2ID,False,False,False,True,False,401,False,283.0538010352134,
31,1767874007.357329,1170596,strong_user_01,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,286.62507350803594,
32,1767874007.643954,1170596,strong_user_02,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,293.1252572159475,
33,1767874007.9370792,1170596,strong_user_03,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,286.253134367248,
34,1767874008.2233324,1170596,strong_user_04,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,267.2197501282699,
35,1767874008.4905522,1170596,strong_user_05,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,217.43091660420612,
36,1767874008.707983,1170596,strong_user_06,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,214.58788628632172,
37,1767874008.922571,1170596,strong_user_07,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,255.8962043823837,
38,1767874009.178467,1170596,strong_user_08,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,277.66610334463127,
39,1767874009.4561331,1170596,strong_user_09,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,275.7191808103872,
40,1767874009.7318523,1170596,strong_user_10,password_4,unknown,ARGON2ID,False,False,False,True,False,401,False,264.47857153472603,
41,1767874009.996331,1170596,strong_user_01,password_5,unknown,ARGON2ID,False,False,False,True,False,401,False,238.74947961879425,
42,1767874010.2350805,1170596,strong_user_02,password_5,unknown,ARGON2ID,False,False,False,True,False,401,False,297.3214977279008,
43,1767874010.532402,1170596,strong_user_03,password_5,unknown,ARGON2ID,False,False,False,True,False,401,False,294.9946445215964,
44,1767874010.8273966,1170596,strong_user_04,password_5,unknown,ARGON2ID,False,False,False,True,False,401,False,280.06632191260144,
45,1767874011.107463,1170596,strong_user_05,password_5,unknown,ARGON2ID,False,False,False,True,False,401,False,220.94592401265055,
46,1767874011.3284087,1170596,strong_user_06,password_5,unknown,ARGON2ID,False,False,False,True,False,401,False,270.43901475165717,
47,1767874011.5988476,1170596,strong_user_07,password_5,unknown,ARGON2ID,False,False,False,True,False,401,False,249.46193862031623,
