attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767871000,1170596,strong_user_01,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,276.99649396370506,
2,1767871000.2769966,1170596,strong_user_02,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,277.83802775554796,
3,1767871000.5548346,1170596,strong_user_03,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,263.05539473305123,
4,1767871000.81789,1170596,strong_user_04,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,250.4987084659828,
5,1767871001.0683887,1170596,strong_user_05,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,294.78000805334653,
6,1767871001.3631687,1170596,strong_user_06,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,292.15324875642085,
7,1767871001.655322,1170596,strong_user_07,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,255.29977244463683,
8,1767871001.910622,1170596,strong_user_08,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,275.0847263750415,
9,1767871002.1857066,1170596,strong_user_09,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,285.7591145847981,
10,1767871002.4714658,1170596,strong_user_10,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,252.66853728057947,
11,1767871007.7241344,1170596,strong_user_01,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,219.0168578165578,
12,1767871007.9431512,1170596,strong_user_02,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,259.9412747375326,
13,1767871008.2030926,1170596,strong_user_03,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,263.336391283296,
14,1767871008.466429,1170596,strong_user_04,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,217.37984591112632,
15,1767871008.6838088,1170596,strong_user_05,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,238.0941822705343,
16,1767871008.921903,1170596,strong_user_06,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,273.12095086942213,
17,1767871009.1950238,1170596,strong_user_07,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,297.2322041172754,
18,1767871009.492256,1170596,strong_user_08,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,216.93236109832958,
19,1767871009.7091882,1170596,strong_user_09,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,245.62920772537106,
20,1767871009.9548175,1170596,strong_user_10,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,290.701577024899,
21,1767871015.2455192,1170596,strong_user_01,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,280.5824750001698,
22,1767871015.5261016,1170596,strong_user_02,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,203.41565262718086,
23,1767871015.7295172,1170596,strong_user_03,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,267.55972816195754,
24,1767871015.997077,1170596,strong_user_04,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,239.54932098956616,
25,1767871016.2366264,1170596,strong_user_05,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,275.3392615431719,
26,1767871016.5119658,1170596,strong_user_06,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,204.1350468490819,
27,1767871016.7161007,1170596,strong_user_07,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,223.36232647955197,
28,1767871016.939463,1170596,strong_user_08,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,243.57165819312212,
29,1767871017.1830347,1170596,strong_user_09,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,267.6087484740662,
30,1767871017.4506433,1170596,strong_user_10,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,244.07296423877142,
31,1767871022.6947162,1170596,strong_user_01,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,273.6959725461254,
32,1767871022.9684122,1170596,strong_user_02,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,289.7719956981232,
33,1767871023.2581842,1170596,strong_user_03,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,283.66264841074565,
34,1767871023.5418468,1170596,strong_user_04,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,277.6823935468856,
35,1767871023.819529,1170596,strong_user_05,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,224.18956859453286,
36,1767871024.0437186,1170596,strong_user_06,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,239.93904237255208,
37,1767871024.2836576,1170596,strong_user_07,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,233.909885667622,
38,1767871024.5175674,1170596,strong_user_08,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,216.5871740690187,
39,1767871024.7341545,1170596,strong_user_09,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,276.1029622477666,
40,1767871025.0102575,1170596,strong_user_10,password_4,unknown,ARGON2ID,True,False,False,False,False,401,False,248.6736737918274,
41,1767871030.2589312,1170596,strong_user_01,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,210.21912973001102,
42,1767871030.4691503,1170596,strong_user_02,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,284.91181293944237,
43,1767871030.7540622,1170596,strong_user_03,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,283.6770470601964,
44,1767871031.0377393,1170596,strong_user_04,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,299.92763129925714,
45,1767871031.337667,1170596,strong_user_05,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,244.93730104195276,
46,1767871031.5826044,1170596,strong_user_06,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,231.64441415650438,
47,1767871031.8142488,1170596,strong_user_07,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,214.0148087719736,
48,1767871032.0282636,1170596,strong_user_08,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,239.15859693791725,
49,1767871032.2674222,1170596,strong_user_09,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,271.38010227670196,
50,1767871032.5388024,1170596,strong_user_10,password_5,unknown,ARGON2ID,True,False,False,False,False,401,False,215.99962528339915,
51,1767871037.754802,1170596,strong_user_01,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,200.94496499810944,
52,1767871037.955747,1170596,strong_user_02,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,268.104878242825,
53,1767871038.2238517,1170596,strong_user_03,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,225.8271092447232,
54,1767871038.449679,1170596,strong_user_04,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,287.12718848538856,
55,1767871038.7368062,1170596,strong_user_05,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,248.91788794931355,
56,1767871038.985724,1170596,strong_user_06,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,268.1778909490896,
57,1767871039.253902,1170596,strong_user_07,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,226.45285310139494,
58,1767871039.4803548,1170596,strong_user_08,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,258.4902809712447,
59,1767871039.738845,1170596,strong_user_09,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,271.73952095918685,
60,1767871040.0105846,1170596,strong_user_10,password_6,unknown,ARGON2ID,True,False,False,False,False,401,False,223.54963955065642,
61,1767871045.2341342,1170596,strong_user_01,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,251.7963055163682,
62,1767871045.4859304,1170596,strong_user_02,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,221.46253763898937,
63,1767871045.707393,1170596,strong_user_03,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,209.87043885942677,
64,1767871045.9172633,1170596,strong_user_04,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,228.62787592295052,
65,1767871046.1458912,1170596,strong_user_05,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,277.13904333091034,
66,1767871046.4230301,1170596,strong_user_06,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,232.88913841785967,
67,1767871046.6559193,1170596,strong_user_07,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,254.82887392322976,
68,1767871046.9107482,1170596,strong_user_08,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,220.5977905932718,
69,1767871047.131346,1170596,strong_user_09,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,295.17913470609454,
70,1767871047.426525,1170596,strong_user_10,password_7,unknown,ARGON2ID,True,False,False,False,False,401,False,219.8180501934732,
71,1767871052.6463432,1170596,strong_user_01,password_8,unknown,ARGON2ID,True,False,False,False,False,401,False,270.01819761603167,
72,1767871052.9163613,1170596,strong_user_02,password_8,unknown,ARGON2ID,True,False,False,False,False,401,False,215.93778355320637,
73,1767871053.1322992,1170596,strong_user_03,password_8,unknown,ARGON2ID,True,False,False,False,False,401,False,277.9506636407684,
74,1767871053.41025,1170596,strong_user_04,password_8,unknown,ARGON2ID,True,False,False,False,False,401,False,291.78365730711243,
75,1767871053.7020335,1170596,strong_user_05,password_8,unknown,ARGON2ID,True,False,False,False,False,401,False,236.22617790445366,
76,1767871053.9382596,1170596,strong_user_06,password_8,unknown,ARGON2ID,True,False,False,False,False,401,False,239.56222846800767,
77,1767871054.1778219,1170596,strong_user_07,password_8,unknown,ARGON2ID,True,False,False,False,False,401,False,256.38117781354697,
78,1767871054.4342031,1170596,strong_user_08,password_8,unknown,ARGON2ID,True,False,False,False,False,401,False,231.32942107609537,
