attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767876000,1170596,strong_user_01,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,264.68198541391416,
2,1767876000.264682,1170596,strong_user_02,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,215.2785552650201,
3,1767876000.4799607,1170596,strong_user_03,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,243.27630519459055,
4,1767876000.723237,1170596,strong_user_04,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,242.7653557990119,
5,1767876000.9660025,1170596,strong_user_05,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,243.270129181935,
6,1767876001.2092726,1170596,strong_user_06,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,265.40930377658924,
7,1767876001.4746819,1170596,strong_user_07,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,205.03918571533245,
8,1767876001.679721,1170596,strong_user_08,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,228.33898597663796,
9,1767876001.90806,1170596,strong_user_09,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,260.5678001977716,
10,1767876002.168628,1170596,strong_user_10,password_1,unknown,ARGON2ID,True,True,False,False,False,401,False,227.3104023230792,
11,1767876007.3959384,1170596,strong_user_01,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,248.31453657956524,
12,1767876007.644253,1170596,strong_user_02,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,285.8210354711817,
13,1767876007.930074,1170596,strong_user_03,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,208.2266955147942,
14,1767876008.1383007,1170596,strong_user_04,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,221.76210114976485,
15,1767876008.3600628,1170596,strong_user_05,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,287.07046729646413,
16,1767876008.6471334,1170596,strong_user_06,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,250.68380315721691,
17,1767876008.8978171,1170596,strong_user_07,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,294.1804743396044,
18,1767876009.1919975,1170596,strong_user_08,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,215.3126452839811,
19,1767876009.4073102,1170596,strong_user_09,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,274.7762253054595,
20,1767876009.6820865,1170596,strong_user_10,password_2,unknown,ARGON2ID,True,True,False,False,False,401,False,285.03032616567356,
21,1767876014.9671168,1170596,strong_user_01,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,222.7677609023141,
22,1767876015.1898847,1170596,strong_user_02,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,240.73391358742842,
23,1767876015.4306185,1170596,strong_user_03,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,247.39445718275744,
24,1767876015.678013,1170596,strong_user_04,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,266.10267194348535,
25,1767876015.9441159,1170596,strong_user_05,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,296.27247582893955,
26,1767876016.2403884,1170596,strong_user_06,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,261.8259076064371,
27,1767876016.5022142,1170596,strong_user_07,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,228.3108075720063,
28,1767876016.730525,1170596,strong_user_08,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,247.80202818535713,
29,1767876016.978327,1170596,strong_user_09,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,296.8369191143204,
30,1767876017.275164,1170596,strong_user_10,password_3,unknown,ARGON2ID,True,True,False,False,False,401,False,279.9783632550383,
31,1767876022.5551422,1170596,strong_user_01,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,273.7606152229469,
32,1767876022.8289027,1170596,strong_user_02,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,258.72171269477707,
33,1767876023.0876245,1170596,strong_user_03,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,225.8575364427898,
34,1767876023.313482,1170596,strong_user_04,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,283.49533610619505,
35,1767876023.5969775,1170596,strong_user_05,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,206.3740335981887,
36,1767876023.8033514,1170596,strong_user_06,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,287.9477506076874,
37,1767876024.091299,1170596,strong_user_07,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,284.7824061743835,
38,1767876024.3760815,1170596,strong_user_08,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,242.61778783984448,
39,1767876024.6186993,1170596,strong_user_09,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,255.39763826758343,
40,1767876024.8740969,1170596,strong_user_10,password_4,unknown,ARGON2ID,True,True,False,False,False,401,False,213.97344765439826,
41,1767876030.0880704,1170596,strong_user_01,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,243.20362280756567,
42,1767876030.331274,1170596,strong_user_02,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,276.4875090207479,
43,1767876030.6077616,1170596,strong_user_03,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,292.9985718932163,
44,1767876030.9007602,1170596,strong_user_04,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,237.93437319208005,
45,1767876031.1386945,1170596,strong_user_05,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,280.6318431166816,
46,1767876031.4193263,1170596,strong_user_06,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,206.94037830338644,
47,1767876031.6262667,1170596,strong_user_07,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,200.79710154190724,
48,1767876031.8270638,1170596,strong_user_08,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,235.00886470587085,
49,1767876032.0620728,1170596,strong_user_09,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,294.5022247805927,
50,1767876032.356575,1170596,strong_user_10,password_5,unknown,ARGON2ID,True,True,False,False,False,401,False,240.19481025880492,
