attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767875000,1170596,strong_user_01,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,294.32413403125935,Invalid TOTP
2,1767875000.2943242,1170596,strong_user_02,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,277.57543636360776,Invalid TOTP
3,1767875000.5718997,1170596,strong_user_03,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,226.8469534307754,Invalid TOTP
4,1767875000.7987466,1170596,strong_user_04,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,272.6526350160057,Invalid TOTP
5,1767875001.0713992,1170596,strong_user_05,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,293.1941293004587,Invalid TOTP
6,1767875001.3645933,1170596,strong_user_06,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,254.3409519134561,Invalid TOTP
7,1767875001.6189342,1170596,strong_user_07,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,280.6445842899858,Invalid TOTP
8,1767875001.8995788,1170596,strong_user_08,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,265.17726419241126,Invalid TOTP
9,1767875002.164756,1170596,strong_user_09,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,206.43897542135608,Invalid TOTP
10,1767875002.371195,1170596,strong_user_10,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,245.83264705279748,Invalid TOTP
11,1767875002.6170278,1170596,strong_user_01,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,238.98697432202954,Invalid TOTP
12,1767875002.8560147,1170596,strong_user_02,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,277.4359937330592,Invalid TOTP
13,1767875003.1334507,1170596,strong_user_03,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,288.6456673120647,Invalid TOTP
14,1767875003.4220965,1170596,strong_user_04,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,260.29363199437523,Invalid TOTP
15,1767875003.6823902,1170596,strong_user_05,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,212.08701276568732,Invalid TOTP
16,1767875003.8944771,1170596,strong_user_06,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,294.5866446720775,Invalid TOTP
17,1767875004.1890638,1170596,strong_user_07,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,213.0247664208371,Invalid TOTP
18,1767875004.4020886,1170596,strong_user_08,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,271.47987641791605,Invalid TOTP
19,1767875004.6735685,1170596,strong_user_09,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,233.66886635320327,Invalid TOTP
20,1767875004.9072373,1170596,strong_user_10,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,272.3347382375252,Invalid TOTP
21,1767875005.179572,1170596,strong_user_01,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,252.61581041185758,Invalid TOTP
22,1767875005.432188,1170596,strong_user_02,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,231.88633934085112,Invalid TOTP
23,1767875005.6640744,1170596,strong_user_03,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,286.12187875211805,Invalid TOTP
24,1767875005.9501963,1170596,strong_user_04,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,258.21649338141316,Invalid TOTP
25,1767875006.2084126,1170596,strong_user_05,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,286.00434493764413,Invalid TOTP
26,1767875006.494417,1170596,strong_user_06,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,258.31981771041063,Invalid TOTP
27,1767875006.7527368,1170596,strong_user_07,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,298.35026936534496,Invalid TOTP
28,1767875007.0510871,1170596,strong_user_08,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,277.5956496613466,Invalid TOTP
29,1767875007.328683,1170596,strong_user_09,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,299.8126345003316,Invalid TOTP
30,1767875007.6284955,1170596,strong_user_10,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,253.84152176026615,Invalid TOTP
31,1767875007.882337,1170596,strong_user_01,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,209.38486331003875,Invalid TOTP
32,1767875008.091722,1170596,strong_user_02,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,217.8694295399294,Invalid TOTP
33,1767875008.3095915,1170596,strong_user_03,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,201.16723320520305,Invalid TOTP
34,1767875008.5107589,1170596,strong_user_04,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,224.98422986155578,Invalid TOTP
35,1767875008.735743,1170596,strong_user_05,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,277.0644562340732,Invalid TOTP
36,1767875009.0128076,1170596,strong_user_06,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,292.8244730627589,Invalid TOTP
37,1767875009.305632,1170596,strong_user_07,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,283.3733127248551,Invalid TOTP
38,1767875009.5890055,1170596,strong_user_08,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,211.44794022878946,Invalid TOTP
39,1767875009.8004534,1170596,strong_user_09,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,213.03639780526356,Invalid TOTP
40,1767875010.0134897,1170596,strong_user_10,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,246.08509410604256,Invalid TOTP
41,1767875010.259575,1170596,strong_user_01,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,228.34155097996566,Invalid TOTP
