attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767842000,1170596,strong_user_01,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,383.76368449601966,
2,1767842000.3837638,1170596,strong_user_02,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,398.40988215107564,
3,1767842000.7821736,1170596,strong_user_03,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,309.16140408808155,
4,1767842001.091335,1170596,strong_user_04,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,322.0919713591361,
5,1767842001.413427,1170596,strong_user_05,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,341.48345328377627,
6,1767842001.7549105,1170596,strong_user_06,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,362.8240483026022,
7,1767842002.1177344,1170596,strong_user_07,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,354.91058881905934,
8,1767842002.472645,1170596,strong_user_08,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,324.3065276131892,
9,1767842002.7969515,1170596,strong_user_09,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,307.47724193604216,
10,1767842003.1044288,1170596,strong_user_10,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,336.91206840866926,
11,1767842003.441341,1170596,strong_user_01,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,309.7986718599283,
12,1767842003.7511396,1170596,strong_user_02,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,351.58646144232546,
13,1767842004.1027262,1170596,strong_user_03,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,314.48239787890753,
14,1767842004.4172087,1170596,strong_user_04,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,393.4074645290579,
15,1767842004.8106163,1170596,strong_user_05,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,356.63873558030264,
16,1767842005.167255,1170596,strong_user_06,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,355.7108301732478,
17,1767842005.5229657,1170596,strong_user_07,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,348.87086153585693,
18,1767842005.8718364,1170596,strong_user_08,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,381.6961107623861,
19,1767842006.2535326,1170596,strong_user_09,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,365.83882487176993,
20,1767842006.6193714,1170596,strong_user_10,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,338.43492106894485,
21,1767842006.9578063,1170596,strong_user_01,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,399.09674626923044,
22,1767842007.356903,1170596,strong_user_02,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,358.68527716237685,
23,1767842007.7155883,1170596,strong_user_03,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,382.63942479023797,
24,1767842008.0982277,1170596,strong_user_04,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,301.5757375058896,
25,1767842008.3998034,1170596,strong_user_05,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,338.37482889977355,
26,1767842008.7381783,1170596,strong_user_06,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,382.99000707990626,
27,1767842009.1211684,1170596,strong_user_07,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,307.6839673042092,
28,1767842009.4288523,1170596,strong_user_08,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,371.784447995684,
29,1767842009.8006368,1170596,strong_user_09,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,309.708984421169,
30,1767842010.1103458,1170596,strong_user_10,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,301.052218177562,
31,1767842010.4113982,1170596,strong_user_01,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,395.177231699371,
32,1767842010.8065753,1170596,strong_user_02,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,366.2092089820929,
33,1767842011.1727846,1170596,strong_user_03,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,345.14979563500845,
34,1767842011.5179343,1170596,strong_user_04,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,395.38487668776094,
35,1767842011.913319,1170596,strong_user_05,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,313.75104352196865,
36,1767842012.22707,1170596,strong_user_06,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,369.31674159597924,
37,1767842012.596387,1170596,strong_user_07,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,380.01767209563616,
38,1767842012.9764047,1170596,strong_user_08,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,338.30058233549755,
39,1767842013.3147051,1170596,strong_user_09,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,390.51263704549706,
40,1767842013.7052178,1170596,strong_user_10,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,344.93391231950545,
