attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767840000,1170596,strong_user_01,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,346.604553802826,
2,1767840000.3466046,1170596,strong_user_02,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,372.8064901506769,
3,1767840000.7194111,1170596,strong_user_03,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,331.62129089823804,
4,1767840001.0510325,1170596,strong_user_04,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,301.47206672021696,
5,1767840001.3525045,1170596,strong_user_05,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,318.9045688772299,
6,1767840001.6714091,1170596,strong_user_06,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,367.6897074078472,
7,1767840002.0390987,1170596,strong_user_07,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,338.95042616873695,
8,1767840002.3780491,1170596,strong_user_08,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,377.4423189348286,
9,1767840002.7554915,1170596,strong_user_09,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,384.050096074454,
10,1767840003.1395416,1170596,strong_user_10,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,375.4184722122755,
11,1767840003.51496,1170596,strong_user_01,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,330.5422014393472,
12,1767840003.8455021,1170596,strong_user_02,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,351.24222963169143,
13,1767840004.1967444,1170596,strong_user_03,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,356.2256130114727,
14,1767840004.5529702,1170596,strong_user_04,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,395.4834947853798,
15,1767840004.9484537,1170596,strong_user_05,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,370.913642625247,
16,1767840005.3193674,1170596,strong_user_06,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,394.52680256444813,
17,1767840005.7138941,1170596,strong_user_07,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,382.22526260729506,
18,1767840006.0961194,1170596,strong_user_08,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,321.1815897234903,
19,1767840006.417301,1170596,strong_user_09,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,391.47591813800085,
20,1767840006.8087769,1170596,strong_user_10,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,338.65912134908956,
21,1767840007.147436,1170596,strong_user_01,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,302.2118388469716,
22,1767840007.4496477,1170596,strong_user_02,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,390.6569999204544,
23,1767840007.8403046,1170596,strong_user_03,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,380.8170427532504,
24,1767840008.2211215,1170596,strong_user_04,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,310.9884839545516,
25,1767840008.53211,1170596,strong_user_05,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,376.1272503873694,
26,1767840008.9082372,1170596,strong_user_06,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,397.6949252699114,
27,1767840009.305932,1170596,strong_user_07,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,311.4438444834203,
28,1767840009.6173759,1170596,strong_user_08,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,354.37981803798,
29,1767840009.9717557,1170596,strong_user_09,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,354.9560206833754,
30,1767840010.3267117,1170596,strong_user_10,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,330.30426892396315,
31,1767840010.657016,1170596,strong_user_01,password_4,unknown,BCRYPT,False,False,False,False,False,401,False,393.14027061677933,
32,1767840011.0501564,1170596,strong_user_02,password_4,unknown,BCRYPT,False,False,False,False,False,401,False,329.45374677026837,
33,1767840011.37961,1170596,strong_user_03,password_4,unknown,BCRYPT,False,False,False,False,False,401,False,389.80521243323426,
34,1767840011.7694154,1170596,strong_user_04,password_4,unknown,BCRYPT,False,False,False,False,False,401,False,373.66690602745007,
35,1767840012.1430824,1170596,strong_user_05,password_4,unknown,BCRYPT,False,False,False,False,False,401,False,341.7690054606628,
36,1767840012.4848514,1170596,strong_user_06,password_4,unknown,BCRYPT,False,False,False,False,False,401,False,300.0897179482116,
