attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767844000,1170596,strong_user_01,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,328.9482739305552,
2,1767844000.3289483,1170596,strong_user_02,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,312.440780306911,
3,1767844000.6413891,1170596,strong_user_03,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,348.19813128950443,
4,1767844000.9895873,1170596,strong_user_04,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,350.5642030958983,
5,1767844001.3401515,1170596,strong_user_05,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,302.64982783445976,
6,1767844001.6428013,1170596,strong_user_06,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,323.96931029013956,
7,1767844001.9667706,1170596,strong_user_07,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,319.63501810754343,
8,1767844002.2864056,1170596,strong_user_08,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,376.4187389507852,
9,1767844002.6628244,1170596,strong_user_09,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,333.7759811578112,
10,1767844002.9966004,1170596,strong_user_10,password_1,unknown,BCRYPT,False,False,False,True,False,401,False,310.2266000732866,
11,1767844003.306827,1170596,strong_user_01,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,399.62110846107163,
12,1767844003.706448,1170596,strong_user_02,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,362.58148931756534,
13,1767844004.0690296,1170596,strong_user_03,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,322.8916963279127,
14,1767844004.3919213,1170596,strong_user_04,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,302.54286991332896,
15,1767844004.6944642,1170596,strong_user_05,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,386.7027297933616,
16,1767844005.081167,1170596,strong_user_06,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,392.2793652956351,
17,1767844005.4734464,1170596,strong_user_07,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,342.5417757916715,
18,1767844005.815988,1170596,strong_user_08,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,329.95139270546247,
19,1767844006.1459394,1170596,strong_user_09,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,397.7657968541662,
20,1767844006.5437052,1170596,strong_user_10,password_2,unknown,BCRYPT,False,False,False,True,False,401,False,362.2566390522277,
21,1767844006.9059618,1170596,strong_user_01,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,364.44391588226426,
22,1767844007.2704058,1170596,strong_user_02,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,335.4915072538199,
23,1767844007.6058972,1170596,strong_user_03,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,323.8790922236639,
24,1767844007.9297762,1170596,strong_user_04,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,357.1892310989888,
25,1767844008.2869654,1170596,strong_user_05,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,319.9069999329721,
26,1767844008.6068723,1170596,strong_user_06,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,364.7954187162302,
27,1767844008.9716678,1170596,strong_user_07,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,324.536675127209,
28,1767844009.2962043,1170596,strong_user_08,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,387.1514132046343,
29,1767844009.6833558,1170596,strong_user_09,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,344.78518579487223,
30,1767844010.028141,1170596,strong_user_10,password_3,unknown,BCRYPT,False,False,False,True,False,401,False,323.58647254991473,
31,1767844010.3517275,1170596,strong_user_01,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,366.9823414693857,
32,1767844010.71871,1170596,strong_user_02,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,387.82924707897973,
33,1767844011.1065392,1170596,strong_user_03,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,355.31398458362366,
34,1767844011.4618533,1170596,strong_user_04,password_4,unknown,BCRYPT,False,False,False,True,False,401,False,370.0569784101254,
