attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767841000,1170596,strong_user_01,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,348.3628909674164,
2,1767841000.348363,1170596,strong_user_02,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,357.8686927345416,
3,1767841000.7062316,1170596,strong_user_03,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,317.3706342778531,
4,1767841001.0236022,1170596,strong_user_04,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,374.4171347896416,
5,1767841001.3980193,1170596,strong_user_05,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,390.9227516687016,
6,1767841001.788942,1170596,strong_user_06,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,397.0351436242578,
7,1767841002.1859772,1170596,strong_user_07,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,349.13826672444105,
8,1767841002.5351155,1170596,strong_user_08,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,394.0785910926416,
9,1767841002.929194,1170596,strong_user_09,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,337.6325923082186,
10,1767841003.2668266,1170596,strong_user_10,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,367.91884303894244,
11,1767841008.6347454,1170596,strong_user_01,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,334.78744996265664,
12,1767841008.9695327,1170596,strong_user_02,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,316.4181554832208,
13,1767841009.285951,1170596,strong_user_03,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,357.13712046429964,
14,1767841009.643088,1170596,strong_user_04,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,347.66944921091635,
15,1767841009.9907575,1170596,strong_user_05,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,341.82474606022015,
16,1767841010.3325822,1170596,strong_user_06,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,334.4066737710282,
